shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
BX010044,10001,40.880624,-73.886010
BX010044,10002,40.880472,-73.885939
BX010044,10003,40.879792,-73.885819
BX010044,10004,40.879522,-73.885799
BX010044,10005,40.879316,-73.885768
BX010044,20001,40.879316,-73.885768
BX010044,20002,40.879252,-73.885759
BX010044,20003,40.879212,-73.885639
BX010044,20004,40.879092,-73.885419
BX010044,20005,40.879032,-73.885309
BX010044,20006,40.878862,-73.885029
BX010044,20007,40.878622,-73.884869
BX010044,20008,40.878352,-73.885009
BX010044,20009,40.877892,-73.885199
BX010044,20010,40.877372,-73.885429
BX010044,20011,40.877152,-73.885529
BX010044,20012,40.877002,-73.885599
BX010044,20013,40.876929,-73.885631
BX010044,30001,40.876929,-73.885631
BX010044,30002,40.876552,-73.885799
BX010044,30003,40.876122,-73.885979
BX010044,30004,40.875902,-73.886099
BX010044,30005,40.875382,-73.886339
BX010044,30006,40.874812,-73.886619
BX010044,30007,40.874712,-73.886669
BX010044,30008,40.874622,-73.886709
BX010044,30009,40.874372,-73.886809
BX010044,30010,40.874289,-73.886846
BX010044,40001,40.874289,-73.886846
BX010044,40002,40.874012,-73.886969
BX010044,40003,40.873842,-73.887049
BX010044,40004,40.873622,-73.887149
BX010044,40005,40.873382,-73.887249
BX010044,40006,40.873022,-73.887409
BX010044,40007,40.872742,-73.887559
BX010044,40008,40.872672,-73.887599
BX010044,40009,40.872612,-73.887639
BX010044,40010,40.872522,-73.887709
BX010044,40011,40.872282,-73.887889
BX010044,40012,40.872202,-73.887959
BX010044,40013,40.872132,-73.888039
BX010044,40014,40.871962,-73.888219
BX010044,40015,40.871696,-73.888592
BX010044,50001,40.871696,-73.888592
BX010044,50002,40.871692,-73.888599
BX010044,50003,40.871582,-73.888799
BX010044,50004,40.871522,-73.888899
BX010044,50005,40.870592,-73.890509
BX010044,50006,40.870466,-73.890725
BX010044,60001,40.870466,-73.890725
BX010044,60002,40.870232,-73.891129
BX010044,60003,40.870082,-73.891329
BX010044,60004,40.869952,-73.891489
BX010044,60005,40.869812,-73.891639
BX010044,60006,40.869582,-73.891869
BX010044,60007,40.868952,-73.892359
BX010044,60008,40.868029,-73.893067
BX010044,70001,40.868029,-73.893067
BX010044,70002,40.867922,-73.893149
BX010044,70003,40.866702,-73.894079
BX010044,70004,40.866642,-73.894129
BX010044,70005,40.866212,-73.894459
BX010044,70006,40.866152,-73.894509
BX010044,70007,40.866032,-73.894589
BX010044,70008,40.865752,-73.894799
BX010044,70009,40.865747,-73.894802
BX010044,80001,40.865747,-73.894802
BX010044,80002,40.865412,-73.895069
BX010044,80003,40.865222,-73.895209
BX010044,80004,40.864272,-73.895939
BX010044,80005,40.863963,-73.896173
BX010044,90001,40.863963,-73.896173
BX010044,90002,40.863112,-73.896819
BX010044,90003,40.862462,-73.897329
BX010044,90004,40.862208,-73.897455
BX010044,100001,40.862208,-73.897455
BX010044,100002,40.861822,-73.897649
BX010044,100003,40.861412,-73.897869
BX010044,100004,40.860872,-73.898179
BX010044,100005,40.860392,-73.898439
BX010044,100006,40.860192,-73.898547
BX010044,110001,40.860192,-73.898547
BX010044,110002,40.859352,-73.898999
BX010044,110003,40.858722,-73.899379
BX010044,110004,40.858447,-73.899540
BX010044,120001,40.858447,-73.899540
BX010044,120002,40.857942,-73.899839
BX010044,120003,40.857872,-73.899879
BX010044,120004,40.857472,-73.900129
BX010044,120005,40.856752,-73.900529
BX010044,120006,40.856472,-73.900709
BX010044,120007,40.856102,-73.900959
BX010044,120008,40.855795,-73.901161
BX010044,130001,40.855795,-73.901161
BX010044,130002,40.855662,-73.901249
BX010044,130003,40.855022,-73.901729
BX010044,130004,40.854612,-73.902059
BX010044,130005,40.854243,-73.902354
BX010044,140001,40.854243,-73.902354
BX010044,140002,40.853952,-73.902589
BX010044,140003,40.853592,-73.902879
BX010044,140004,40.852614,-73.903647
BX010044,150001,40.852614,-73.903647
BX010044,150002,40.852522,-73.903719
BX010044,150003,40.852472,-73.903759
BX010044,150004,40.852422,-73.903799
BX010044,150005,40.852282,-73.903919
BX010044,150006,40.851672,-73.904419
BX010044,150007,40.851332,-73.904689
BX010044,150008,40.851211,-73.904785
BX010044,160001,40.851211,-73.904785
BX010044,160002,40.851132,-73.904849
BX010044,160003,40.850562,-73.905299
BX010044,160004,40.850342,-73.905479
BX010044,160005,40.850002,-73.905779
BX010044,160006,40.849962,-73.905809
BX010044,160007,40.849892,-73.905869
BX010044,160008,40.849642,-73.906069
BX010044,160009,40.849542,-73.906149
BX010044,160010,40.849442,-73.906229
BX010044,160011,40.849332,-73.906319
BX010044,160012,40.848967,-73.906656
BX010044,170001,40.848967,-73.906656
BX010044,170002,40.848932,-73.906689
BX010044,170003,40.848572,-73.906999
BX010044,170004,40.848142,-73.907439
BX010044,170005,40.847842,-73.907759
BX010044,170006,40.847562,-73.908049
BX010044,170007,40.847312,-73.908369
BX010044,170008,40.847172,-73.908599
BX010044,170009,40.847062,-73.908749
BX010044,170010,40.846890,-73.908991
BX010044,180001,40.846890,-73.908991
BX010044,180002,40.846502,-73.909539
BX010044,180003,40.846372,-73.909709
BX010044,180004,40.846192,-73.909989
BX010044,180005,40.845992,-73.910269
BX010044,180006,40.845862,-73.910449
BX010044,180007,40.845732,-73.910639
BX010044,180008,40.845592,-73.910819
BX010044,180009,40.845432,-73.910989
BX010044,180010,40.845182,-73.911199
BX010044,180011,40.845032,-73.911329
BX010044,180012,40.844872,-73.911439
BX010044,180013,40.844832,-73.911462
BX010044,190001,40.844832,-73.911462
BX010044,190002,40.844732,-73.911519
BX010044,190003,40.844572,-73.911619
BX010044,190004,40.844382,-73.911699
BX010044,190005,40.844112,-73.911829
BX010044,190006,40.843832,-73.911929
BX010044,190007,40.843312,-73.912089
BX010044,190008,40.843172,-73.912139
BX010044,190009,40.842890,-73.912232
BX010044,200001,40.842890,-73.912232
BX010044,200002,40.842382,-73.912399
BX010044,200003,40.841682,-73.912629
BX010044,200004,40.841172,-73.912809
BX010044,200005,40.840942,-73.912859
BX010044,200006,40.840618,-73.912976
BX010044,210001,40.840618,-73.912976
BX010044,210002,40.840502,-73.913019
BX010044,210003,40.840272,-73.913109
BX010044,210004,40.840212,-73.913129
BX010044,210005,40.839862,-73.913279
BX010044,210006,40.839822,-73.913299
BX010044,210007,40.839562,-73.913439
BX010044,210008,40.839512,-73.913469
BX010044,210009,40.839172,-73.913669
BX010044,210010,40.838862,-73.913869
BX010044,210011,40.838782,-73.913919
BX010044,210012,40.838692,-73.913989
BX010044,210013,40.838417,-73.914202
BX010044,220001,40.838417,-73.914202
BX010044,220002,40.838162,-73.914399
BX010044,220003,40.838092,-73.914449
BX010044,220004,40.837572,-73.914949
BX010044,220005,40.836992,-73.915509
BX010044,220006,40.836709,-73.915787
BX010044,230001,40.836709,-73.915787
BX010044,230002,40.836452,-73.916039
BX010044,230003,40.835842,-73.916629
BX010044,230004,40.835202,-73.917259
BX010044,230005,40.835132,-73.917319
BX010044,230006,40.834992,-73.917459
BX010044,230007,40.834632,-73.917789
BX010044,230008,40.834552,-73.917869
BX010044,230009,40.834482,-73.917939
BX010044,230010,40.834184,-73.918232
BX010044,240001,40.834184,-73.918232
BX010044,240002,40.833832,-73.918579
BX010044,240003,40.833682,-73.918719
BX010044,240004,40.833402,-73.918979
BX010044,240005,40.833219,-73.919140
BX010044,250001,40.833219,-73.919140
BX010044,250002,40.833142,-73.919209
BX010044,250003,40.832782,-73.919499
BX010044,250004,40.832582,-73.919639
BX010044,250005,40.832472,-73.919719
BX010044,250006,40.832002,-73.920029
BX010044,250007,40.831146,-73.920514
BX010045,10001,40.881498,-73.909427
BX010045,10002,40.881392,-73.909509
BX010045,10003,40.881322,-73.909369
BX010045,10004,40.881152,-73.909039
BX010045,10005,40.880812,-73.908399
BX010045,10006,40.880392,-73.907629
BX010045,10007,40.880195,-73.907275
BX010045,20001,40.880195,-73.907275
BX010045,20002,40.879802,-73.906569
BX010045,20003,40.879412,-73.905789
BX010045,20004,40.879002,-73.904989
BX010045,20005,40.878932,-73.904849
BX010045,20006,40.878852,-73.904629
BX010045,20007,40.878832,-73.904589
BX010045,20008,40.878753,-73.904379
BX010045,30001,40.878753,-73.904379
BX010045,30002,40.878522,-73.903759
BX010045,30003,40.878462,-73.903619
BX010045,30004,40.878092,-73.902594
BX010045,40001,40.878092,-73.902594
BX010045,40002,40.878022,-73.902399
BX010045,40003,40.877402,-73.902939
BX010045,40004,40.876912,-73.903359
BX010045,40005,40.876812,-73.903259
BX010045,40006,40.876712,-73.903039
BX010045,40007,40.876572,-73.902669
BX010045,40008,40.876860,-73.902399
BX010045,50001,40.876860,-73.902399
BX010045,50002,40.878112,-73.901229
BX010045,50003,40.878346,-73.901004
BX010045,60001,40.878346,-73.901004
BX010045,60002,40.878352,-73.900999
BX010045,60003,40.878442,-73.900879
BX010045,60004,40.878592,-73.900609
BX010045,60005,40.878692,-73.900319
BX010045,60006,40.878722,-73.900169
BX010045,60007,40.878752,-73.899839
BX010045,60008,40.878742,-73.899609
BX010045,60009,40.878682,-73.899369
BX010045,60010,40.878612,-73.899159
BX010045,60011,40.878502,-73.898749
BX010045,60012,40.878492,-73.898589
BX010045,60013,40.878482,-73.898479
BX010045,60014,40.878452,-73.898359
BX010045,60015,40.878402,-73.898149
BX010045,60016,40.878502,-73.898059
BX010045,60017,40.878690,-73.897798
BX010045,70001,40.878690,-73.897798
BX010045,70002,40.878892,-73.897519
BX010045,70003,40.879372,-73.897139
BX010045,70004,40.879742,-73.896879
BX010045,70005,40.879882,-73.896799
BX010045,70006,40.880022,-73.896739
BX010045,70007,40.880182,-73.896699
BX010045,70008,40.881252,-73.896569
BX010045,70009,40.881509,-73.896508
BX010045,80001,40.881509,-73.896508
BX010045,80002,40.881592,-73.896489
BX010045,80003,40.881812,-73.896399
BX010045,80004,40.882042,-73.896179
BX010045,80005,40.882222,-73.895919
BX010045,80006,40.882572,-73.895259
BX010045,80007,40.882802,-73.894789
BX010045,80008,40.882862,-73.894649
BX010045,80009,40.882952,-73.894439
BX010045,80010,40.882964,-73.894388
BX010045,90001,40.882964,-73.894388
BX010045,90002,40.882992,-73.894279
BX010045,90003,40.883012,-73.894119
BX010045,90004,40.882992,-73.893969
BX010045,90005,40.882932,-73.893759
BX010045,90006,40.882852,-73.893639
BX010045,90007,40.882792,-73.893479
BX010045,90008,40.882752,-73.893339
BX010045,90009,40.882702,-73.893039
BX010045,90010,40.882712,-73.892739
BX010045,90011,40.882612,-73.892639
BX010045,90012,40.882542,-73.892529
BX010045,90013,40.882452,-73.892339
BX010045,90014,40.882444,-73.892321
BX010045,100001,40.882444,-73.892321
BX010045,100002,40.882322,-73.892019
BX010045,100003,40.882282,-73.891849
BX010045,100004,40.882262,-73.891689
BX010045,100005,40.882262,-73.891499
BX010045,100006,40.882342,-73.891099
BX010045,100007,40.882402,-73.890719
BX010045,100008,40.882472,-73.890299
BX010045,100009,40.882632,-73.889149
BX010045,100010,40.882665,-73.888894
BX010045,110001,40.882665,-73.888894
BX010045,110002,40.882702,-73.888619
BX010045,110003,40.882752,-73.888289
BX010045,110004,40.882762,-73.888089
BX010045,110005,40.882752,-73.887839
BX010045,110006,40.882712,-73.887629
BX010045,110007,40.882652,-73.887439
BX010045,110008,40.882572,-73.887249
BX010045,110009,40.882532,-73.887039
BX010045,110010,40.882412,-73.886989
BX010045,110011,40.882332,-73.886949
BX010045,110012,40.881972,-73.886789
BX010045,110013,40.881642,-73.886609
BX010045,110014,40.881562,-73.886559
BX010045,110015,40.880892,-73.886169
BX010045,110016,40.880642,-73.886019
BX010045,110017,40.880624,-73.886010
BX010045,120001,40.880624,-73.886010
BX010045,120002,40.880472,-73.885939
BX010045,120003,40.879792,-73.885819
BX010045,120004,40.879522,-73.885799
BX010045,120005,40.879316,-73.885768
BX010045,130001,40.879316,-73.885768
BX010045,130002,40.879252,-73.885759
BX010045,130003,40.879212,-73.885639
BX010045,130004,40.879092,-73.885419
BX010045,130005,40.879032,-73.885309
BX010045,130006,40.878862,-73.885029
BX010045,130007,40.878622,-73.884869
BX010045,130008,40.878352,-73.885009
BX010045,130009,40.877892,-73.885199
BX010045,130010,40.877372,-73.885429
BX010045,130011,40.877152,-73.885529
BX010045,130012,40.877002,-73.885599
BX010045,130013,40.876929,-73.885631
BX010045,140001,40.876929,-73.885631
BX010045,140002,40.876552,-73.885799
BX010045,140003,40.876122,-73.885979
BX010045,140004,40.875902,-73.886099
BX010045,140005,40.875382,-73.886339
BX010045,140006,40.874812,-73.886619
BX010045,140007,40.874712,-73.886669
BX010045,140008,40.874622,-73.886709
BX010045,140009,40.874372,-73.886809
BX010045,140010,40.874289,-73.886846
BX010045,150001,40.874289,-73.886846
BX010045,150002,40.874012,-73.886969
BX010045,150003,40.873842,-73.887049
BX010045,150004,40.873622,-73.887149
BX010045,150005,40.873382,-73.887249
BX010045,150006,40.873022,-73.887409
BX010045,150007,40.872742,-73.887559
BX010045,150008,40.872672,-73.887599
BX010045,150009,40.872612,-73.887639
BX010045,150010,40.872522,-73.887709
BX010045,150011,40.872282,-73.887889
BX010045,150012,40.872202,-73.887959
BX010045,150013,40.872132,-73.888039
BX010045,150014,40.871962,-73.888219
BX010045,150015,40.871696,-73.888592
BX010045,160001,40.871696,-73.888592
