route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
BX41,GH_E0-Saturday-000000_BX41_1,GH_E0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304
BX24,GH_E0-Saturday-001000_BX24_401,GH_E0-Saturday,PELHAM BAY STATION,0,BX240070
BX40,GH_E0-Saturday-001900_BX402_1,GH_E0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096
BX24,GH_E0-Saturday-003000_BX24_401,GH_E0-Saturday,HUTCHINSON METRO CENTER,1,BX240076
BX41,GH_E0-Saturday-003900_BX41_1,GH_E0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305
BX12,GH_E0-Saturday-004000_BX12_1,GH_E0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121559
BX28,GH_E0-Saturday-004000_BX238_1,GH_E0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270
BX41,GH_E0-Saturday-005300_BX41_2,GH_E0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304
BX22,GH_E0-Saturday-006000_BX22_1,GH_E0-Saturday,PELHAM PKY,0,BX220115
BX40,GH_E0-Saturday-006000_BX402_1,GH_E0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400128
BX40,GH_E0-Saturday-006000_BX402_2,GH_E0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112
BX24,GH_E0-Saturday-007000_BX24_401,GH_E0-Saturday,PELHAM BAY STATION,0,BX240070
BX39,GH_E0-Saturday-007800_BX41_1,GH_E0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157
BX12,GH_E0-Saturday-008000_BX12_2,GH_E0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121559
BX28,GH_E0-Saturday-008000_BX238_2,GH_E0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270
BX28,GH_E0-Saturday-008500_BX238_1,GH_E0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261
BX12,GH_E0-Saturday-009000_BX12_1,GH_E0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516
BX22,GH_E0-Saturday-009000_BX22_1,GH_E0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116
BX24,GH_E0-Saturday-009000_BX24_401,GH_E0-Saturday,HUTCHINSON METRO CENTER,1,BX240076
BX39,GH_E0-Saturday-009500_BX41_1,GH_E0-Saturday,GUN HILL RD,1,BX390167
BX41,GH_E0-Saturday-009900_BX41_2,GH_E0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305
BX41,GH_E0-Saturday-011300_BX41_1,GH_E0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304
BX22,GH_E0-Saturday-012000_BX22_1,GH_E0-Saturday,PELHAM PKY,0,BX220115
BX28,GH_E0-Saturday-012000_BX238_1,GH_E0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270
BX28,GH_E0-Saturday-012000_BX238_2,GH_E0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261
BX40,GH_E0-Saturday-012000_BX402_1,GH_E0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112
BX40,GH_E0-Saturday-012000_BX402_2,GH_E0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400128
BX12,GH_E0-Saturday-013000_BX12_1,GH_E0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121517
BX12,GH_E0-Saturday-013000_BX12_2,GH_E0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516
BX24,GH_E0-Saturday-013000_BX24_401,GH_E0-Saturday,PELHAM BAY STATION,0,BX240070
BX39,GH_E0-Saturday-013700_BX41_2,GH_E0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157
BX22,GH_E0-Saturday-015000_BX22_1,GH_E0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116
BX24,GH_E0-Saturday-015000_BX24_401,GH_E0-Saturday,HUTCHINSON METRO CENTER,1,BX240076
BX39,GH_E0-Saturday-015500_BX41_2,GH_E0-Saturday,GUN HILL RD,1,BX390167
