from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
112,112,,,9843186,9843134,1,
124,124,,,9843263,9843150,1,
124,124,,,9843266,9843154,1,
124,124,,,9843241,9843162,1,
124,124,,,9843273,9843162,1,
124,124,,,9843404,9843166,1,
124,124,,,9843404,9843171,1,
116,116,,,9843179,9843181,1,
124,124,,,9843179,9843181,1,
124,124,,,9843410,9843183,1,
116,116,,,9843295,9843186,1,
124,124,,,9843295,9843186,1,
124,124,,,9843297,9843186,1,
124,124,,,9843299,9843188,1,
116,116,,,9843253,9843191,1,
124,124,,,9843253,9843191,1,
124,124,,,9843302,9843191,1,
124,124,,,9843305,9843192,1,
124,124,,,9843306,9843193,1,
112,112,,,9843138,9843194,1,
124,124,,,9843308,9843195,1,
124,124,,,9843310,9843196,1,
124,124,,,9843313,9843199,1,
124,124,,,9843317,9843203,1,
124,124,,,9843319,9843205,1,
116,116,,,9843321,9843207,1,
124,124,,,9843321,9843207,1,
112,112,,,9843144,9843209,1,
124,124,,,9843323,9843210,1,
124,124,,,9843325,9843211,1,
116,116,,,9843327,9843213,1,
124,124,,,9843327,9843213,1,
116,116,,,9843331,9843216,1,
124,124,,,9843331,9843216,1,
116,116,,,9843332,9843217,1,
124,124,,,9843332,9843217,1,
116,116,,,9843334,9843219,1,
124,124,,,9843334,9843219,1,
116,116,,,9843337,9843223,1,
124,124,,,9843337,9843223,1,
124,124,,,9843427,9843225,1,
124,124,,,9843340,9843227,1,
124,124,,,9843343,9843231,1,
124,124,,,9843344,9843233,1,
124,124,,,9843345,9843234,1,
124,124,,,9843271,9843239,1,
116,116,,,9843272,9843243,1,
124,124,,,9843272,9843243,1,
124,124,,,9843278,9843245,1,
124,124,,,9843411,9843251,1,
131,131,,,9843411,9843251,1,
124,124,,,9843302,9843253,1,
131,131,,,9843302,9843253,1,
124,124,,,9843373,9843253,1,
116,116,,,9843329,9843261,1,
124,124,,,9843329,9843261,1,
124,124,,,9843344,9843263,1,
131,131,,,9843344,9843263,1,
131,131,,,9843430,9843263,1,
124,124,,,9843153,9843265,1,
116,116,,,9843237,9843267,1,
124,124,,,9843237,9843267,1,
116,116,,,9843157,9843268,1,
124,124,,,9843157,9843268,1,
116,116,,,9843159,9843270,1,
124,124,,,9843159,9843270,1,
124,124,,,9843161,9843274,1,
116,116,,,9843163,9843276,1,
124,124,,,9843163,9843276,1,
124,124,,,9843165,9843277,1,
124,124,,,9843169,9843279,1,
124,124,,,9843172,9843281,1,
124,124,,,9843173,9843283,1,
124,124,,,9843407,9843284,1,
131,131,,,9843407,9843284,1,
124,124,,,9843435,9843284,1,
140,140,,,9843435,9843284,1,
124,124,,,9843175,9843285,1,
124,124,,,9843178,9843288,1,
116,116,,,9843179,9843289,1,
124,124,,,9843179,9843289,1,
124,124,,,9843180,9843290,1,
140,140,,,9843437,9843291,1,
124,124,,,9843182,9843292,1,
140,140,,,9843437,9843293,1,
124,124,,,9843184,9843294,1,
124,124,,,9843185,9843296,1,
116,116,,,9843187,9843298,1,
124,124,,,9843187,9843298,1,
116,116,,,9843189,9843300,1,
124,124,,,9843189,9843300,1,
108,108,,,9843136,9843301,1,
131,131,,,9843416,9843305,1,
124,124,,,9843376,9843306,1,
124,124,,,9843190,9843307,1,
124,124,,,9843378,9843310,1,
131,131,,,9843417,9843310,1,
124,124,,,9843380,9843313,1,
131,131,,,9843419,9843315,1,
