route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,8221,9843127,Grand Central,1211,1,,5,1,1
3,8221,9843128,Grand Central,1221,1,,5,1,1
3,8221,9843129,Grand Central,1225,1,,5,1,1
3,8221,9843130,Grand Central,1229,1,,5,1,1
3,8221,9843131,Grand Central,1231,1,,5,1,1
3,8221,9843132,Grand Central,1233,1,,5,1,1
3,8221,9843133,Grand Central,1237,1,,5,1,1
3,8221,9843134,Grand Central,1239,1,,5,1,0
3,8221,9843135,Grand Central,1241,1,,5,1,0
3,8221,9843136,Harrison,1244,0,,16,1,0
3,8221,9843137,Grand Central,1247,1,,5,1,0
3,8221,9843138,Harrison,1248,0,,16,1,1
3,8221,9843139,Harrison,1254,0,,16,1,1
3,8221,9843140,New Rochelle,1256,0,,16,1,1
3,8221,9843141,Harrison,1260,0,,16,1,1
3,8221,9843142,Harrison,1264,0,,16,1,1
3,8221,9843143,New Rochelle,1268,0,,16,1,1
3,8221,9843144,Harrison,1270,0,,16,1,1
3,8221,9843145,Harrison,1274,0,,16,1,1
3,8221,9843146,Grand Central,1275,1,,5,1,0
3,8221,9843147,Harrison,1278,0,,16,1,1
3,8221,9843148,Grand Central,1279,1,,5,1,0
3,8221,9843150,Grand Central,1299,1,,5,1,0
3,8221,9843151,Stamford,1300,0,,16,1,0
3,8221,9843152,Grand Central,1301,1,,5,1,0
3,8221,9843153,Stamford,1302,0,,16,1,0
3,8221,9843154,Grand Central,1303,1,,5,1,1
3,8221,9843155,Stamford,1304,0,,16,1,0
3,8221,9843156,Grand Central,1305,1,,5,1,1
3,8221,9843157,Stamford,1306,0,,16,1,0
3,8221,9843158,Grand Central,1307,1,,5,1,1
3,8221,9843159,Stamford,1308,0,,16,1,1
3,8221,9843160,Grand Central,1309,1,,5,1,1
3,8221,9843161,Stamford,1310,0,,16,1,1
3,8221,9843162,Grand Central,1311,1,,5,1,1
3,8221,9843163,Stamford,1312,0,,16,1,1
3,8221,9843164,Grand Central,1313,1,,5,1,1
3,8221,9843165,Stamford,1314,0,,16,1,1
3,8221,9843166,Grand Central,1315,1,,5,1,1
3,8221,9843167,Stamford,1316,0,,16,1,0
3,8221,9843168,Grand Central,1317,1,,5,1,1
3,8221,9843169,Stamford,1318,0,,16,1,0
3,8221,9843170,Stamford,1320,0,,16,1,0
3,8221,9843171,Grand Central,1321,1,,5,1,1
3,8221,9843172,Stamford,1322,0,,16,1,0
3,8221,9843173,Stamford,1324,0,,16,1,0
3,8221,9843174,Grand Central,1325,1,,5,1,1
3,8221,9843175,Stamford,1326,0,,16,1,0
3,8221,9843176,Grand Central,1327,1,,5,1,1
3,8221,9843177,Stamford,1328,0,,16,1,0
3,8221,9843178,Stamford,1330,0,,16,1,0
3,8221,9843179,Grand Central,1331,1,,5,1,1
3,8221,9843180,Stamford,1332,0,,16,1,0
3,8221,9843181,Grand Central,1333,1,,5,1,1
3,8221,9843182,Stamford,1334,0,,16,1,0
3,8221,9843183,Grand Central,1335,1,,5,1,1
3,8221,9843184,Stamford,1336,0,,16,1,0
3,8221,9843185,Stamford,1338,0,,16,1,0
3,8221,9843186,Grand Central,1339,1,,5,1,1
3,8221,9843187,Stamford,1340,0,,16,1,0
3,8221,9843188,Grand Central,1341,1,,5,1,0
3,8221,9843189,Stamford,1342,0,,16,1,0
3,8221,9843190,Stamford,1346,0,,16,1,1
3,8221,9843191,Grand Central,1347,1,,5,1,0
3,8221,9843192,Grand Central,1349,1,,5,1,0
3,8221,9843193,Grand Central,1351,1,,5,1,0
3,8221,9843194,Stamford,1352,0,,16,1,1
3,8221,9843195,Grand Central,1353,1,,5,1,0
3,8221,9843196,Grand Central,1355,1,,5,1,0
3,8221,9843197,Grand Central,1357,1,,5,1,0
3,8221,9843198,Stamford,1358,0,,16,1,1
3,8221,9843199,Grand Central,1359,1,,5,1,0
3,8221,9843200,Stamford,1360,0,,16,1,1
3,8221,9843201,Grand Central,1361,1,,5,1,0
3,8221,9843202,Old Greenwich,1362,0,,16,1,1
3,8221,9843203,Grand Central,1363,1,,5,1,0
3,8221,9843204,Grand Central,1365,1,,5,1,0
3,8221,9843205,Grand Central,1367,1,,5,1,0
3,8221,9843206,Stamford,1368,0,,16,1,1
3,8221,9843207,Grand Central,1369,1,,5,1,0
3,8221,9843209,Stamford,1370,0,,16,1,1
