route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
M14D+,MQ_E0-Saturday-003000_SBS14_1,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M79+,MQ_E0-Saturday-005900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M14D+,MQ_E0-Saturday-006000_SBS14_1,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M86+,MQ_E0-Saturday-006000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M14A+,MQ_E0-Saturday-006200_SBS14_2,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M42,MQ_E0-Saturday-006300_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M79+,MQ_E0-Saturday-008000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M86+,MQ_E0-Saturday-008000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M42,MQ_E0-Saturday-008400_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M14D+,MQ_E0-Saturday-009000_SBS14_1,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M14A+,MQ_E0-Saturday-009000_SBS14_2,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M60+,MQ_E0-Saturday-009000_SBS60_1,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M79+,MQ_E0-Saturday-009900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M86+,MQ_E0-Saturday-010000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M42,MQ_E0-Saturday-010800_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M60+,MQ_E0-Saturday-011500_SBS60_2,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M79+,MQ_E0-Saturday-012000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M23+,MQ_E0-Saturday-012000_SBS23_1,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M86+,MQ_E0-Saturday-012000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M14A+,MQ_E0-Saturday-012200_SBS14_2,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M14D+,MQ_E0-Saturday-012400_SBS14_1,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M42,MQ_E0-Saturday-012900_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M60+,MQ_E0-Saturday-013300_SBS60_1,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M79+,MQ_E0-Saturday-013900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M23+,MQ_E0-Saturday-014000_SBS23_1,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-014000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M14A+,MQ_E0-Saturday-015000_SBS14_2,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M60+,MQ_E0-Saturday-015000_SBS60_3,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M14D+,MQ_E0-Saturday-015100_SBS14_1,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M42,MQ_E0-Saturday-015300_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M60+,MQ_E0-Saturday-015800_SBS60_2,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M79+,MQ_E0-Saturday-016000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M23+,MQ_E0-Saturday-016000_SBS23_1,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M86+,MQ_E0-Saturday-016000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M60+,MQ_E0-Saturday-017000_SBS60_4,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M42,MQ_E0-Saturday-017400_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M79+,MQ_E0-Saturday-017900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M14A+,MQ_E0-Saturday-018000_SBS14_2,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M23+,MQ_E0-Saturday-018000_SBS23_1,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-018000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M14D+,MQ_E0-Saturday-018400_SBS14_1,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M60+,MQ_E0-Saturday-019000_SBS60_1,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M60+,MQ_E0-Saturday-019300_SBS60_3,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M42,MQ_E0-Saturday-019800_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M79+,MQ_E0-Saturday-020000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M23+,MQ_E0-Saturday-020000_SBS23_1,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M86+,MQ_E0-Saturday-020000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M14A+,MQ_E0-Saturday-021000_SBS14_2,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M60+,MQ_E0-Saturday-021000_SBS60_2,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M14D+,MQ_E0-Saturday-021100_SBS14_1,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M60+,MQ_E0-Saturday-021300_SBS60_4,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M42,MQ_E0-Saturday-021900_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M79+,MQ_E0-Saturday-021900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M23+,MQ_E0-Saturday-022000_SBS23_1,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-022000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M60+,MQ_E0-Saturday-022800_SBS60_5,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M60+,MQ_E0-Saturday-023300_SBS60_1,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M79+,MQ_E0-Saturday-024000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M14D+,MQ_E0-Saturday-024000_SBS14_1,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M14A+,MQ_E0-Saturday-024000_SBS14_2,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M23+,MQ_E0-Saturday-024000_SBS23_1,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M86+,MQ_E0-Saturday-024000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M86+,MQ_E0-Saturday-024000_SBS86_2,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M42,MQ_E0-Saturday-024300_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M60+,MQ_E0-Saturday-024300_SBS60_3,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M60+,MQ_E0-Saturday-025300_SBS60_2,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M60+,MQ_E0-Saturday-025800_SBS60_6,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M79+,MQ_E0-Saturday-025900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M23+,MQ_E0-Saturday-026000_SBS23_1,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-026000_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M42,MQ_E0-Saturday-026400_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M14D+,MQ_E0-Saturday-026500_SBS14_3,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M14A+,MQ_E0-Saturday-027000_SBS14_2,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M86+,MQ_E0-Saturday-027000_SBS86_2,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M60+,MQ_E0-Saturday-027100_SBS60_5,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M60+,MQ_E0-Saturday-027300_SBS60_4,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M79+,MQ_E0-Saturday-028000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M14A+,MQ_E0-Saturday-028000_SBS14_4,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M23+,MQ_E0-Saturday-028000_SBS23_1,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M86+,MQ_E0-Saturday-028000_SBS86_3,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M42,MQ_E0-Saturday-028300_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M34A+,MQ_E0-Saturday-028500_SBS34_1,MQ_E0-Saturday,SELECT BUS WATERSIDE via 34 ST via 2 AV,0,M34A0048
M60+,MQ_E0-Saturday-028600_SBS60_3,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M60+,MQ_E0-Saturday-028800_SBS60_1,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M14D+,MQ_E0-Saturday-029500_SBS14_1,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M79+,MQ_E0-Saturday-029900_SB79_1,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M66,MQ_E0-Saturday-030000_M66_2,MQ_E0-Saturday,LINCOLN CENTER WEST END AV CROSSTOWN,1,M660076
M66,MQ_E0-Saturday-030000_M66_3,MQ_E0-Saturday,EAST SIDE YORK AV CROSSTOWN,0,M660077
M14D+,MQ_E0-Saturday-030000_SBS14_3,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M23+,MQ_E0-Saturday-030000_SBS23_1,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-030000_SBS86_1,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M86+,MQ_E0-Saturday-030000_SBS86_2,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M60+,MQ_E0-Saturday-030100_SBS60_6,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M60+,MQ_E0-Saturday-030300_SBS60_2,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M42,MQ_E0-Saturday-030400_M42_1,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M14A+,MQ_E0-Saturday-031000_SBS14_5,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M23+,MQ_E0-Saturday-031000_SBS23_2,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M34A+,MQ_E0-Saturday-031000_SBS34_1,MQ_E0-Saturday,SELECT BUS PA BUS TRM via 34 ST via 8 AV,1,M34A0046
M42,MQ_E0-Saturday-031300_M42_2,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M14A+,MQ_E0-Saturday-031400_SBS14_4,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M14D+,MQ_E0-Saturday-031500_SBS14_6,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M60+,MQ_E0-Saturday-031500_SBS60_7,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M60+,MQ_E0-Saturday-031600_SBS60_4,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M79+,MQ_E0-Saturday-032000_SB79_1,MQ_E0-Saturday,SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,1,SB790012
M86+,MQ_E0-Saturday-032000_SBS86_3,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M86+,MQ_E0-Saturday-032000_SBS86_4,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M60+,MQ_E0-Saturday-032500_SBS60_5,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M66,MQ_E0-Saturday-033000_M66_2,MQ_E0-Saturday,EAST SIDE YORK AV CROSSTOWN,0,M660077
M66,MQ_E0-Saturday-033000_M66_3,MQ_E0-Saturday,LINCOLN CENTER WEST END AV CROSSTOWN,1,M660076
M14D+,MQ_E0-Saturday-033000_SBS14_1,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M14A+,MQ_E0-Saturday-033000_SBS14_2,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M14D+,MQ_E0-Saturday-033000_SBS14_3,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M34A+,MQ_E0-Saturday-033000_SBS34_1,MQ_E0-Saturday,SELECT BUS WATERSIDE via 34 ST via 2 AV,0,M34A0048
M60+,MQ_E0-Saturday-033100_SBS60_1,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M23+,MQ_E0-Saturday-033500_SBS23_3,MQ_E0-Saturday,SELECT BUS EAST SIDE AVENUE C CROSSTOWN,0,SBS230017
M60+,MQ_E0-Saturday-033500_SBS60_8,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M42,MQ_E0-Saturday-033800_M42_1,MQ_E0-Saturday,EAST SIDE U N-1 AV CROSSTOWN,0,M420141
M42,MQ_E0-Saturday-033900_M42_2,MQ_E0-Saturday,WEST SIDE PIER 12 AV CROSSTOWN,1,M420134
M79+,MQ_E0-Saturday-033900_SB79_2,MQ_E0-Saturday,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0,SB790011
M55,MQ_E0-Saturday-034000_M55_1,MQ_E0-Saturday,SOUTH FERRY,1,M550055
M23+,MQ_E0-Saturday-034000_SBS23_2,MQ_E0-Saturday,SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,1,SBS230016
M86+,MQ_E0-Saturday-034000_SBS86_2,MQ_E0-Saturday,SELECT BUS WESTSIDE WEST END AV CROSSTWN,1,SBS860049
M86+,MQ_E0-Saturday-034000_SBS86_3,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M14A+,MQ_E0-Saturday-034400_SBS14_5,MQ_E0-Saturday,SELECT BUS WEST SIDE via 14 ST,1,SB14A0030
M14D+,MQ_E0-Saturday-034500_SBS14_7,MQ_E0-Saturday,SELECT BUS LES DELANCEY-FDR via 14 ST,0,SB14D0272
M60+,MQ_E0-Saturday-034500_SBS60_3,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M60+,MQ_E0-Saturday-034600_SBS60_2,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
M57,MQ_E0-Saturday-034800_M57_1,MQ_E0-Saturday,EAST SIDE YORK-60 ST CROSSTOWN,0,M570111
M14D+,MQ_E0-Saturday-035000_SBS14_6,MQ_E0-Saturday,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,1,SB14D0273
M14A+,MQ_E0-Saturday-035500_SBS14_4,MQ_E0-Saturday,SELECT BUS LES GRAND-FDR via 14 ST,0,SB14A0029
M60+,MQ_E0-Saturday-035500_SBS60_6,MQ_E0-Saturday,SELECT BUS LA GUARDIA AIRPORT,0,SBS600060
M86+,MQ_E0-Saturday-035500_SBS86_1,MQ_E0-Saturday,SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,0,SBS860048
M60+,MQ_E0-Saturday-035800_SBS60_7,MQ_E0-Saturday,SELECT BUS WEST SIDE BROADWAY-106 ST,1,SBS600067
