shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
Q010002,10001,40.707930,-73.795743
Q010002,10002,40.707923,-73.795762
Q010002,10003,40.707722,-73.796309
Q010002,10004,40.708342,-73.796719
Q010002,10005,40.708592,-73.796889
Q010002,10006,40.709122,-73.797221
Q010002,20001,40.709122,-73.797221
Q010002,20002,40.709262,-73.797309
Q010002,20003,40.709382,-73.796859
Q010002,20004,40.709512,-73.796399
Q010002,20005,40.709742,-73.795559
Q010002,20006,40.709872,-73.795139
Q010002,20007,40.709992,-73.794749
Q010002,20008,40.710102,-73.794459
Q010002,20009,40.710309,-73.793976
Q010002,30001,40.710309,-73.793976
Q010002,30002,40.710342,-73.793899
Q010002,30003,40.710512,-73.793479
Q010002,30004,40.710702,-73.793039
Q010002,30005,40.710932,-73.792429
Q010002,30006,40.711072,-73.792039
Q010002,30007,40.711442,-73.791019
Q010002,30008,40.711479,-73.790909
Q010002,40001,40.711479,-73.790909
Q010002,40002,40.711712,-73.790229
Q010002,40003,40.711852,-73.789799
Q010002,40004,40.711982,-73.789399
Q010002,40005,40.712012,-73.789299
Q010002,40006,40.712042,-73.789159
Q010002,40007,40.712062,-73.788989
Q010002,40008,40.712052,-73.788779
Q010002,40009,40.712022,-73.788639
Q010002,40010,40.711982,-73.788449
Q010002,40011,40.711912,-73.788269
Q010002,40012,40.711842,-73.788099
Q010002,40013,40.711812,-73.788009
Q010002,40014,40.711792,-73.787889
Q010002,40015,40.711772,-73.787639
Q010002,40016,40.711782,-73.787369
Q010002,40017,40.711812,-73.787189
Q010002,40018,40.711862,-73.786989
Q010002,40019,40.712003,-73.786408
Q010002,50001,40.712003,-73.786408
Q010002,50002,40.712062,-73.786169
Q010002,50003,40.712272,-73.785339
Q010002,50004,40.712482,-73.784469
Q010002,50005,40.712682,-73.783559
Q010002,50006,40.712832,-73.783009
Q010002,50007,40.712922,-73.782669
Q010002,50008,40.712982,-73.782439
Q010002,50009,40.713022,-73.782289
Q010002,50010,40.713112,-73.781979
Q010002,50011,40.713121,-73.781948
Q010002,60001,40.713121,-73.781948
Q010002,60002,40.713162,-73.781799
Q010002,60003,40.713452,-73.780599
Q010002,60004,40.713472,-73.780519
Q010002,60005,40.713627,-73.779873
Q010002,70001,40.713627,-73.779873
Q010002,70002,40.713662,-73.779729
Q010002,70003,40.713862,-73.778879
Q010002,70004,40.714042,-73.778009
Q010002,70005,40.714147,-73.777540
Q010002,80001,40.714147,-73.777540
Q010002,80002,40.714242,-73.777119
Q010002,80003,40.714462,-73.776209
Q010002,80004,40.714535,-73.775928
Q010002,90001,40.714535,-73.775928
Q010002,90002,40.714592,-73.775709
Q010002,90003,40.714682,-73.775299
Q010002,90004,40.714902,-73.774429
Q010002,90005,40.715022,-73.773939
Q010002,90006,40.715112,-73.773549
Q010002,90007,40.715350,-73.772851
Q010002,100001,40.715350,-73.772851
Q010002,100002,40.715382,-73.772759
Q010002,100003,40.715682,-73.771909
Q010002,100004,40.715962,-73.771089
Q010002,100005,40.716002,-73.770989
Q010002,100006,40.716088,-73.770745
Q010002,110001,40.716088,-73.770745
Q010002,110002,40.716322,-73.770089
Q010002,110003,40.716622,-73.769219
Q010002,110004,40.716662,-73.769089
Q010002,110005,40.716798,-73.768715
Q010002,120001,40.716798,-73.768715
Q010002,120002,40.716812,-73.768679
Q010002,120003,40.716972,-73.768199
Q010002,120004,40.717282,-73.767309
Q010002,120005,40.717352,-73.767169
Q010002,120006,40.717412,-73.767059
Q010002,130001,40.717412,-73.767059
Q010002,130002,40.717632,-73.766659
Q010002,130003,40.718342,-73.765419
Q010002,130004,40.718892,-73.764479
Q010002,130005,40.719223,-73.763749
Q010002,140001,40.719223,-73.763749
Q010002,140002,40.719282,-73.763619
Q010002,140003,40.719642,-73.762789
Q010002,140004,40.719822,-73.762389
Q010002,140005,40.719956,-73.762084
Q010002,150001,40.719956,-73.762084
Q010002,150002,40.720002,-73.761979
Q010002,150003,40.720332,-73.761139
Q010002,150004,40.720642,-73.760289
Q010002,150005,40.720722,-73.760089
Q010002,150006,40.720902,-73.759689
Q010002,150007,40.720966,-73.759580
Q010002,160001,40.720966,-73.759580
Q010002,160002,40.721062,-73.759419
Q010002,160003,40.721572,-73.758669
Q010002,160004,40.721777,-73.758361
Q010002,170001,40.721777,-73.758361
Q010002,170002,40.722012,-73.758009
Q010002,170003,40.722052,-73.757959
Q010002,170004,40.722512,-73.757349
Q010002,170005,40.722572,-73.757269
Q010002,170006,40.723072,-73.756549
Q010002,170007,40.723271,-73.756267
Q010002,180001,40.723271,-73.756267
Q010002,180002,40.723622,-73.755769
Q010002,180003,40.724132,-73.754999
Q010002,180004,40.724182,-73.754909
Q010002,180005,40.724232,-73.754839
Q010002,180006,40.724692,-73.754109
Q010002,180007,40.724902,-73.753756
Q010002,190001,40.724902,-73.753756
Q010002,190002,40.724972,-73.753639
Q010002,190003,40.725142,-73.753359
Q010002,190004,40.725362,-73.752979
Q010002,190005,40.725572,-73.752609
Q010002,190006,40.726002,-73.751749
Q010002,190007,40.726185,-73.751356
Q010002,200001,40.726185,-73.751356
Q010002,200002,40.726422,-73.750849
Q010002,200003,40.726812,-73.750029
Q010002,200004,40.727192,-73.749209
Q010002,200005,40.727294,-73.749000
Q010002,210001,40.727294,-73.749000
Q010002,210002,40.727562,-73.748449
Q010002,210003,40.727622,-73.748329
Q010002,210004,40.727792,-73.748029
Q010002,210005,40.728022,-73.747639
Q010002,210006,40.728352,-73.747089
Q010002,210007,40.728352,-73.747009
Q010002,210008,40.728372,-73.746959
Q010002,210009,40.728381,-73.746943
Q010002,220001,40.728381,-73.746943
Q010002,220002,40.728442,-73.746849
Q010002,220003,40.728642,-73.746479
Q010002,220004,40.728682,-73.746369
Q010002,220005,40.728822,-73.746069
Q010002,220006,40.729062,-73.745669
Q010002,220007,40.729262,-73.745289
Q010002,220008,40.729665,-73.744661
Q010002,230001,40.729665,-73.744661
Q010002,230002,40.729712,-73.744589
Q010002,230003,40.730192,-73.743839
Q010002,230004,40.729951,-73.742693
Q010002,240001,40.729951,-73.742693
Q010002,240002,40.729902,-73.742459
Q010002,240003,40.729882,-73.742359
Q010002,240004,40.729782,-73.741939
Q010002,240005,40.729702,-73.741589
Q010002,240006,40.729502,-73.740739
Q010002,240007,40.729412,-73.740379
Q010002,240008,40.729336,-73.740043
Q010002,250001,40.729336,-73.740043
Q010002,250002,40.729252,-73.739669
Q010002,250003,40.729102,-73.739089
Q010002,250004,40.728962,-73.738419
Q010002,250005,40.728882,-73.738019
Q010002,250006,40.728703,-73.737249
Q010002,260001,40.728703,-73.737249
Q010002,260002,40.728682,-73.737159
Q010002,260003,40.728592,-73.736709
Q010002,260004,40.728512,-73.736349
Q010002,260005,40.728442,-73.736039
Q010002,260006,40.728352,-73.735659
Q010002,260007,40.728336,-73.735581
Q010002,270001,40.728336,-73.735581
Q010002,270002,40.728322,-73.735509
Q010002,270003,40.728302,-73.735439
Q010002,270004,40.728224,-73.735096
Q010002,280001,40.728224,-73.735096
Q010002,280002,40.728122,-73.734649
Q010002,280003,40.728082,-73.734449
Q010002,280004,40.727912,-73.733639
Q010002,280005,40.727892,-73.733549
Q010002,280006,40.727873,-73.733480
Q010002,290001,40.727873,-73.733480
Q010002,290002,40.727852,-73.733399
Q010002,290003,40.727782,-73.733079
Q010002,290004,40.727702,-73.732739
Q010002,290005,40.727482,-73.731899
Q010002,290006,40.727467,-73.731834
Q010002,300001,40.727467,-73.731834
Q010002,300002,40.727452,-73.731769
Q010002,300003,40.727392,-73.731529
Q010002,300004,40.727182,-73.730899
Q010002,300005,40.727102,-73.730669
Q010002,300006,40.727024,-73.730439
Q010002,310001,40.727024,-73.730439
Q010002,310002,40.726942,-73.730199
Q010002,310003,40.726892,-73.730059
Q010002,310004,40.726802,-73.729799
Q010002,310005,40.726712,-73.729499
Q010002,310006,40.726642,-73.729189
Q010002,310007,40.726501,-73.728603
Q010002,320001,40.726501,-73.728603
Q010002,320002,40.726472,-73.728479
Q010002,320003,40.726432,-73.728249
Q010002,320004,40.726332,-73.727489
Q010002,320005,40.726202,-73.726549
Q010002,320006,40.726192,-73.726489
Q010002,320007,40.726172,-73.726409
Q010002,320008,40.726142,-73.726329
Q010002,320009,40.726024,-73.725999
Q010002,330001,40.726024,-73.725999
Q010002,330002,40.725802,-73.725379
Q010002,330003,40.725732,-73.725199
Q010002,330004,40.725699,-73.725134
Q010027,10001,40.707930,-73.795743
Q010027,10002,40.707923,-73.795762
Q010027,10003,40.707722,-73.796309
Q010027,10004,40.708342,-73.796719
Q010027,10005,40.708592,-73.796889
Q010027,10006,40.709122,-73.797221
Q010027,20001,40.709122,-73.797221
Q010027,20002,40.709262,-73.797309
Q010027,20003,40.709382,-73.796859
Q010027,20004,40.709512,-73.796399
Q010027,20005,40.709742,-73.795559
Q010027,20006,40.709872,-73.795139
Q010027,20007,40.709992,-73.794749
Q010027,20008,40.710102,-73.794459
Q010027,20009,40.710309,-73.793976
Q010027,30001,40.710309,-73.793976
Q010027,30002,40.710342,-73.793899
Q010027,30003,40.710512,-73.793479
Q010027,30004,40.710702,-73.793039
Q010027,30005,40.710932,-73.792429
Q010027,30006,40.711072,-73.792039
Q010027,30007,40.711442,-73.791019
Q010027,30008,40.711479,-73.790909
Q010027,40001,40.711479,-73.790909
Q010027,40002,40.711712,-73.790229
Q010027,40003,40.711852,-73.789799
Q010027,40004,40.711982,-73.789399
Q010027,40005,40.712012,-73.789299
Q010027,40006,40.712042,-73.789159
Q010027,40007,40.712062,-73.788989
Q010027,40008,40.712052,-73.788779
Q010027,40009,40.712022,-73.788639
Q010027,40010,40.711982,-73.788449
Q010027,40011,40.711912,-73.788269
Q010027,40012,40.711842,-73.788099
Q010027,40013,40.711812,-73.788009
Q010027,40014,40.711792,-73.787889
Q010027,40015,40.711772,-73.787639
Q010027,40016,40.711782,-73.787369
Q010027,40017,40.711812,-73.787189
Q010027,40018,40.711862,-73.786989
Q010027,40019,40.712003,-73.786408
Q010027,50001,40.712003,-73.786408
Q010027,50002,40.712062,-73.786169
Q010027,50003,40.712272,-73.785339
Q010027,50004,40.712482,-73.784469
Q010027,50005,40.712682,-73.783559
Q010027,50006,40.712832,-73.783009
Q010027,50007,40.712922,-73.782669
Q010027,50008,40.712982,-73.782439
Q010027,50009,40.713022,-73.782289
Q010027,50010,40.713112,-73.781979
Q010027,50011,40.713121,-73.781948
Q010027,60001,40.713121,-73.781948
Q010027,60002,40.713162,-73.781799
Q010027,60003,40.713452,-73.780599
Q010027,60004,40.713472,-73.780519
Q010027,60005,40.713627,-73.779873
Q010027,70001,40.713627,-73.779873
Q010027,70002,40.713662,-73.779729
Q010027,70003,40.713862,-73.778879
Q010027,70004,40.714042,-73.778009
Q010027,70005,40.714147,-73.777540
Q010027,80001,40.714147,-73.777540
Q010027,80002,40.714242,-73.777119
Q010027,80003,40.714462,-73.776209
Q010027,80004,40.714535,-73.775928
Q010027,90001,40.714535,-73.775928
Q010027,90002,40.714592,-73.775709
Q010027,90003,40.714682,-73.775299
Q010027,90004,40.714902,-73.774429
Q010027,90005,40.715022,-73.773939
Q010027,90006,40.715112,-73.773549
Q010027,90007,40.715350,-73.772851
Q010027,100001,40.715350,-73.772851
Q010027,100002,40.715382,-73.772759
Q010027,100003,40.715682,-73.771909
Q010027,100004,40.715962,-73.771089
Q010027,100005,40.716002,-73.770989
Q010027,100006,40.716088,-73.770745
Q010027,110001,40.716088,-73.770745
Q010027,110002,40.716322,-73.770089
Q010027,110003,40.716622,-73.769219
Q010027,110004,40.716662,-73.769089
Q010027,110005,40.716798,-73.768715
Q010027,120001,40.716798,-73.768715
Q010027,120002,40.716812,-73.768679
Q010027,120003,40.716972,-73.768199
Q010027,120004,40.717282,-73.767309
Q010027,120005,40.717352,-73.767169
Q010027,120006,40.717412,-73.767059
Q010027,130001,40.717412,-73.767059
Q010027,130002,40.717632,-73.766659
Q010027,130003,40.718342,-73.765419
Q010027,130004,40.718892,-73.764479
Q010027,130005,40.719223,-73.763749
Q010027,140001,40.719223,-73.763749
Q010027,140002,40.719282,-73.763619
Q010027,140003,40.719642,-73.762789
Q010027,140004,40.719822,-73.762389
Q010027,140005,40.719956,-73.762084
Q010027,150001,40.719956,-73.762084
Q010027,150002,40.720002,-73.761979
Q010027,150003,40.720332,-73.761139
Q010027,150004,40.720642,-73.760289
Q010027,150005,40.720722,-73.760089
Q010027,150006,40.720902,-73.759689
Q010027,150007,40.720966,-73.759580
Q010027,160001,40.720966,-73.759580
Q010027,160002,40.721062,-73.759419
Q010027,160003,40.721572,-73.758669
Q010027,160004,40.721777,-73.758361
Q010027,170001,40.721777,-73.758361
Q010027,170002,40.722012,-73.758009
Q010027,170003,40.722052,-73.757959
Q010027,170004,40.722512,-73.757349
Q010027,170005,40.722572,-73.757269
Q010027,170006,40.723072,-73.756549
Q010027,170007,40.723271,-73.756267
Q010027,180001,40.723271,-73.756267
Q010027,180002,40.723622,-73.755769
Q010027,180003,40.724132,-73.754999
Q010027,180004,40.724182,-73.754909
Q010027,180005,40.724232,-73.754839
Q010027,180006,40.724692,-73.754109
Q010027,180007,40.724902,-73.753756
Q010027,190001,40.724902,-73.753756
Q010027,190002,40.724972,-73.753639
Q010027,190003,40.725142,-73.753359
Q010027,190004,40.725362,-73.752979
Q010027,190005,40.725572,-73.752609
Q010027,190006,40.726002,-73.751749
Q010027,190007,40.726185,-73.751356
