route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
Q12,CS_E0-Saturday-000200_Q12_1,CS_E0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q28,CS_E0-Saturday-000200_Q28_1,CS_E0-Saturday,FLUSHING MAIN ST STATION,1,Q280065
Q44+,CS_E0-Saturday-000500_SBS44_3,CS_E0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q44+,CS_E0-Saturday-003000_SBS44_1,CS_E0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q12,CS_E0-Saturday-003500_Q12_1,CS_E0-Saturday,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q28,CS_E0-Saturday-004000_Q28_1,CS_E0-Saturday,BAY TERRACE BELL BL,0,Q280064
Q44+,CS_E0-Saturday-004500_SBS44_4,CS_E0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q20A,CS_E0-Saturday-005000_Q20_1,CS_E0-Saturday,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042
Q20A,CS_E0-Saturday-005000_Q20_2,CS_E0-Saturday,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043
Q44+,CS_E0-Saturday-006000_SBS44_2,CS_E0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q12,CS_E0-Saturday-007000_Q12_1,CS_E0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q28,CS_E0-Saturday-007200_Q28_1,CS_E0-Saturday,FLUSHING MAIN ST STATION,1,Q280065
Q44+,CS_E0-Saturday-009000_SBS44_3,CS_E0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q44+,CS_E0-Saturday-009500_SBS44_5,CS_E0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q28,CS_E0-Saturday-010000_Q28_1,CS_E0-Saturday,BAY TERRACE BELL BL,0,Q280064
Q12,CS_E0-Saturday-010400_Q12_1,CS_E0-Saturday,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q20A,CS_E0-Saturday-011000_Q20_2,CS_E0-Saturday,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042
Q20A,CS_E0-Saturday-011000_Q20_3,CS_E0-Saturday,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043
Q44+,CS_E0-Saturday-012000_SBS44_4,CS_E0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052
Q44+,CS_E0-Saturday-012500_SBS44_6,CS_E0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q28,CS_E0-Saturday-013200_Q28_1,CS_E0-Saturday,FLUSHING MAIN ST STATION,1,Q280065
Q12,CS_E0-Saturday-013800_Q12_1,CS_E0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q44+,CS_E0-Saturday-015500_SBS44_7,CS_E0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053
Q28,CS_E0-Saturday-016000_Q28_2,CS_E0-Saturday,BAY TERRACE BELL BL,0,Q280064
