route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
S46,CA_E0-Saturday-000000_S4696_301,CA_E0-Saturday,WEST SHORE PLZ via CASTLETON,1,S460283
S46,CA_E0-Saturday-001500_S4696_302,CA_E0-Saturday,ST GEORGE FERRY via CASTLETON,0,S460279
S40,CA_E0-Saturday-002000_S4090_301,CA_E0-Saturday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S48,CA_E0-Saturday-002000_S4898_301,CA_E0-Saturday,ST GEORGE FERRY via FOREST,0,S480102
S46,CA_E0-Saturday-003000_S4696_303,CA_E0-Saturday,WEST SHORE PLZ via CASTLETON,1,S460283
S46,CA_E0-Saturday-004500_S4696_301,CA_E0-Saturday,ST GEORGE FERRY via CASTLETON,0,S460279
S53,CA_E0-Saturday-004700_S53_301,CA_E0-Saturday,BAY RIDGE 86 ST STATION,0,S530127
S40,CA_E0-Saturday-005000_S4090_302,CA_E0-Saturday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S48,CA_E0-Saturday-005000_S4898_302,CA_E0-Saturday,ST GEORGE FERRY via FOREST,0,S480102
S40,CA_E0-Saturday-006000_S4090_301,CA_E0-Saturday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S46,CA_E0-Saturday-006000_S4696_302,CA_E0-Saturday,WEST SHORE PLZ via CASTLETON,1,S460283
S48,CA_E0-Saturday-006000_S4898_301,CA_E0-Saturday,ARLINGTON HOLLAND AV via FOREST,1,S480099
S51,CA_E0-Saturday-006000_S5181_301,CA_E0-Saturday,GRANT CITY via BAY ST,1,S510093
S46,CA_E0-Saturday-007500_S4696_303,CA_E0-Saturday,ST GEORGE FERRY via CASTLETON,0,S460279
S40,CA_E0-Saturday-008000_MISC_401,CA_E0-Saturday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S48,CA_E0-Saturday-008000_S4898_303,CA_E0-Saturday,ST GEORGE FERRY via FOREST,0,S480102
S53,CA_E0-Saturday-008500_S53_301,CA_E0-Saturday,PORT RICHMOND,1,S530128
S53,CA_E0-Saturday-008700_S53_302,CA_E0-Saturday,BAY RIDGE 86 ST STATION,0,S530127
S51,CA_E0-Saturday-009000_MISC_404,CA_E0-Saturday,GRANT CITY via BAY ST,1,S510093
S40,CA_E0-Saturday-009000_S4090_302,CA_E0-Saturday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S46,CA_E0-Saturday-009000_S4696_301,CA_E0-Saturday,WEST SHORE PLZ via CASTLETON,1,S460283
S48,CA_E0-Saturday-009000_S4898_302,CA_E0-Saturday,ARLINGTON HOLLAND AV via FOREST,1,S480099
S51,CA_E0-Saturday-009000_S5181_301,CA_E0-Saturday,ST GEORGE FERRY via BAY ST,0,S510096
S46,CA_E0-Saturday-010500_S4696_302,CA_E0-Saturday,ST GEORGE FERRY via CASTLETON,0,S460279
S40,CA_E0-Saturday-011000_S4090_301,CA_E0-Saturday,ST GEORGE FERRY via RICHMOND TERR,0,S400095
S48,CA_E0-Saturday-011000_S4898_301,CA_E0-Saturday,ST GEORGE FERRY via FOREST,0,S480102
S40,CA_E0-Saturday-012000_MISC_401,CA_E0-Saturday,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S51,CA_E0-Saturday-012000_MISC_404,CA_E0-Saturday,ST GEORGE FERRY via BAY ST,0,S510096
S46,CA_E0-Saturday-012000_S4696_303,CA_E0-Saturday,WEST SHORE PLZ via CASTLETON,1,S460283
S48,CA_E0-Saturday-012000_S4898_303,CA_E0-Saturday,ARLINGTON HOLLAND AV via FOREST,1,S480099
S51,CA_E0-Saturday-012000_S5181_301,CA_E0-Saturday,GRANT CITY via BAY ST,1,S510093
S53,CA_E0-Saturday-012500_S53_302,CA_E0-Saturday,PORT RICHMOND,1,S530128
