"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","E41A6EE9","GO502_19_2","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_3","Penn Station","","1","DF671E6C"
"1","5AAFD7DC","GO502_19_4","Babylon","","0","DF671E6C"
"1","163DE7C3","GO502_19_4_1","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_5","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_6","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_7","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_8","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_9","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_11","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_12","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_13","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_14","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_15","Atlantic Terminal","","1","C85CC273"
"1","E41A6EE9","GO502_19_16","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_17","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_18","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_19","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_22","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_24","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_25","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_27","Atlantic Terminal","","1","C85CC273"
"1","E41A6EE9","GO502_19_28","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_29","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_31","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_32","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_33","Atlantic Terminal","","1","C85CC273"
"1","E41A6EE9","GO502_19_34","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_36","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_38","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_39","Atlantic Terminal","","1","C85CC273"
"1","E41A6EE9","GO502_19_42","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_43","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_44","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_45","Penn Station","","1","DF671E6C"
"1","44FE779B","GO502_19_46","Babylon","","0","5E99E8D9"
"1","E41A6EE9","GO502_19_47","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_48","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_49","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_50","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_51","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_52","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_53","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_55","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_57","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_59","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_61","Penn Station","","1","5E99E8D9"
"1","E41A6EE9","GO502_19_63","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_65","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_67","Penn Station","","1","5E99E8D9"
"1","E41A6EE9","GO502_19_69","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_102","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_103","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_104","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_105","Penn Station","","1","5E99E8D9"
"1","E41A6EE9","GO502_19_107","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_108","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_109","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_110","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_111","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_113","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_114","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_115","Penn Station","","1","5E99E8D9"
"1","E41A6EE9","GO502_19_117","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_119","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_120","Babylon","","0","DF671E6C"
"1","09E4B213","GO502_19_122","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_123","Penn Station","","1","A8F61878"
"1","09E4B213","GO502_19_124","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_125","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_126","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_127","Penn Station","","1","DF671E6C"
"1","09E4B213","GO502_19_128","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_129","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_131","Penn Station","","1","A8F61878"
"1","E41A6EE9","GO502_19_132","Babylon","","0","DF671E6C"
"1","E41A6EE9","GO502_19_133","Penn Station","","1","DF671E6C"
"1","E41A6EE9","GO502_19_134","Babylon","","0","A8F61878"
"1","E41A6EE9","GO502_19_135","Penn Station","","1","DF671E6C"
