route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B82+,EN_C9-Weekday,EN_C9-Weekday-028500_SBS82_501,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-034800_SBS82_501,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-040600_SBS82_501,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-048500_SBS82_501,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-029700_SBS82_502,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-036000_SBS82_502,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-042100_SBS82_502,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-050300_SBS82_502,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-057300_SBS82_510,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-065200_SBS82_510,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-072900_SBS82_510,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-080800_SBS82_520,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-088700_SBS82_520,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
B82+,EN_C9-Weekday,EN_C9-Weekday-097000_SBS82_512,SBS SPRING CRK SEAVIEW via KING via FLAT,0,SBS821505
B82+,EN_C9-Weekday,EN_C9-Weekday-030900_SBS82_503,SBS BENSNHRST BAY 38 via FLAT via KINGS,1,SBS821502
