route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX12+,GH_C9-Weekday,GH_C9-Weekday-030000_SBS12_201,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120167
BX12+,GH_C9-Weekday,GH_C9-Weekday-031000_SBS12_201,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-036200_SBS12_201,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-040500_SBS12_201,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-046100_SBS12_201,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-051000_SBS12_201,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-056900_SBS12_201,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-061900_SBS12_208,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-068200_SBS12_208,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-073800_SBS12_208,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-079900_SBS12_208,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-085500_SBS12_239,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-092000_SBS12_239,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-097900_SBS12_229,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-104100_SBS12_229,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-110100_SBS12_229,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-116900_SBS12_229,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-030000_SBS12_202,SELECT BUS BROADWAY INWOOD,1,SBS120172
BX12+,GH_C9-Weekday,GH_C9-Weekday-035000_SBS12_202,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-040000_SBS12_202,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-045500_SBS12_202,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-050600_SBS12_202,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-056400_SBS12_202,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-061500_SBS12_202,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-067800_SBS12_211,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-073300_SBS12_211,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-079400_SBS12_211,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-032000_SBS12_203,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120167
BX12+,GH_C9-Weekday,GH_C9-Weekday-033000_SBS12_203,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-038200_SBS12_203,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-042400_SBS12_203,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-047800_SBS12_203,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-052800_SBS12_203,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-058700_SBS12_226,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-063800_SBS12_226,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-070000_SBS12_226,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-075800_SBS12_210,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-081900_SBS12_210,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-087900_SBS12_218,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-094300_SBS12_218,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-100300_SBS12_218,SELECT BUS BROADWAY INWOOD,1,SBS120173
BX12+,GH_C9-Weekday,GH_C9-Weekday-106500_SBS12_218,SELECT BUS BAY PLAZA CO-OP CITY,0,SBS120171
BX12+,GH_C9-Weekday,GH_C9-Weekday-032600_SBS12_204,SELECT BUS BROADWAY INWOOD,1,SBS120172
