service_id,date,exception_type
7691,20190724,1
7691,20190725,1
7722,20190726,1
7723,20190727,1
7724,20190728,1
7745,20190729,1
7742,20190730,1
7743,20190731,1
7746,20190801,1
7749,20190802,1
7725,20190803,1
7752,20190804,1
7745,20190805,1
7746,20190806,1
7746,20190807,1
7751,20190808,1
7750,20190809,1
7688,20190810,1
7689,20190811,1
7683,20190812,1
7693,20190813,1
7743,20190814,1
7742,20190815,1
7694,20190816,1
7675,20190817,1
7676,20190818,1
7745,20190819,1
7746,20190820,1
7746,20190821,1
7746,20190822,1
7750,20190823,1
7688,20190824,1
7689,20190825,1
7745,20190826,1
7746,20190827,1
7746,20190828,1
7746,20190829,1
7749,20190830,1
7675,20190831,1
7676,20190901,1
7745,20190902,1
7746,20190903,1
7746,20190904,1
7746,20190905,1
7750,20190906,1
7688,20190907,1
7689,20190908,1
7745,20190909,1
7746,20190910,1
7746,20190911,1
7746,20190912,1
7750,20190913,1
7688,20190914,1
7689,20190915,1
7745,20190916,1
7746,20190917,1
7746,20190918,1
7746,20190919,1
7750,20190920,1
7675,20190921,1
7676,20190922,1
7745,20190923,1
7746,20190924,1
7746,20190925,1
7746,20190926,1
7750,20190927,1
7688,20190928,1
