route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
B1,MTA NYCT,B1,Bay Ridge - Manhattan Beach,via 86th St / Ocean Pkwy,3
B11,MTA NYCT,B11,Sunset Park - Midwood,via 49th & 50th St / Avenue J,3
B12,MTA NYCT,B12,Lefferts Gardens - East New York,via Clarkson Av / Empire Blvd / East New York Av,3
B13,MTA NYCT,B13,Spring Creek - Wyckoff Hospital,via Crescent St / Jamaica Av / Wyckoff Av,3
B14,MTA NYCT,B14,Spring Creek - Crown Heights,via Sutter Av / Pitkin Av,3
B15,MTA NYCT,B15,Bedford Stuyvesant - JFK Airport,via Marcus Garvey Blvd / New Lots Av,3
B16,MTA NYCT,B16,Bay Ridge - Lefferts Gardens,via Ft Hamilton Pkwy / 13th & 14th Av,3
B17,MTA NYCT,B17,Canarsie - Crown Heights,via Remsen Av / Seaview Av,3
B2,MTA NYCT,B2,Kings Hwy Station - Kings Plaza,via Avenue R / Avenue S,3
B20,MTA NYCT,B20,Ridgewood - Spring Creek,via Pennsylvania Av / Decatur St,3
B24,MTA NYCT,B24,Williamsburg - Greenpoint,via Greenpoint Av & 48th St / Meeker Av,3
B25,MTA NYCT,B25,Dwntn Bklyn & DUMBO - Broadway Junction,via Fulton St,3
B26,MTA NYCT,B26,Downtown Brooklyn - Ridgewood,via Halsey St / Fulton St,3
B3,MTA NYCT,B3,Bensonhurst - Bergen Beach,via Avenue U,3
B31,MTA NYCT,B31,Gerritsen Beach - Kings Hwy Station,via Gerritsen Av / Avenue R,3
B32,MTA NYCT,B32,Williamsburg - Long Island City,via Kent Av / Wythe Av,3
B35,MTA NYCT,B35,Brownsville - Sunset Park,via Church Av / 39th St,3
B36,MTA NYCT,B36,Sheepshead Bay - Coney Island,via Avenue Z / Surf Av,3
B37,MTA NYCT,B37,Downtown Brooklyn - Bay Ridge, via 3rd Av / 39th St,3
B38,MTA NYCT,B38,Ridgewood - Downtown Brooklyn,via DeKalb & Lafayette Av,3
B39,MTA NYCT,B39,Williamsburg Bridge Plaza - Lower East Side, via Williamsburg Bridge / Delancey St,3
B4,MTA NYCT,B4,Bay Ridge - Sheepshead Bay,via Bay Ridge Pkwy / 86th St / Avenue Z,3
B41,MTA NYCT,B41,Kings Plaza - Downtown Brooklyn,via Flatbush Av / Livingston St,3
B42,MTA NYCT,B42,Canarsie Pier - Rockaway Parkway Station,via Rockaway Pkwy,3
B43,MTA NYCT,B43,Greenpoint - Lefferts Gardens,via Manhattan Av / Graham Av / Tompkins Av,3
B44,MTA NYCT,B44,Sheepshead Bay - Williamsburg,via Nostrand Av,3
