route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B42,EN_B9-Saturday-000000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B82,EN_B9-Saturday-000000_B82_101,EN_B9-Saturday,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820647
B42,EN_B9-Saturday-001000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B25,EN_B9-Saturday-002000_B25_201,EN_B9-Saturday,DNTWN BKLYN FURMAN ST via FULTON,1,B250070
B42,EN_B9-Saturday-002000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B42,EN_B9-Saturday-003000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B42,EN_B9-Saturday-004000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B42,EN_B9-Saturday-005000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B25,EN_B9-Saturday-005800_B25_201,EN_B9-Saturday,BWAY JCT ALABAMA AV via FULTON,0,B250072
B17,EN_B9-Saturday-006000_B17_101,EN_B9-Saturday,CANARSIE SEAVIEW AV,1,B170092
B42,EN_B9-Saturday-006000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B42,EN_B9-Saturday-007000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B82,EN_B9-Saturday-007000_B82_101,EN_B9-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820635
B82,EN_B9-Saturday-007000_B82_102,EN_B9-Saturday,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820647
Q24,EN_B9-Saturday-007000_Q24_401,EN_B9-Saturday,ARCHER AV- 168 ST via ATLANTIC,0,Q240220
B12,EN_B9-Saturday-007500_B12_1,EN_B9-Saturday,LEFFRTS GDNS OCEAN AV,1,B120127
B14,EN_B9-Saturday-008000_B14_1,EN_B9-Saturday,CROWN HTS UTICA AV,1,B140127
B42,EN_B9-Saturday-008000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B17,EN_B9-Saturday-009000_B17_101,EN_B9-Saturday,CROWN HTS EASTERN PKY,0,B170093
B42,EN_B9-Saturday-009000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B42,EN_B9-Saturday-010000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
Q56,EN_B9-Saturday-010000_Q56_501,EN_B9-Saturday,JAMAICA 170 ST,0,Q560570
B15,EN_B9-Saturday-010500_B15_101,EN_B9-Saturday,JFK AIRPORT,0,B150246
B25,EN_B9-Saturday-010900_B25_201,EN_B9-Saturday,DNTWN BKLYN FURMAN ST via FULTON,1,B250070
B12,EN_B9-Saturday-011000_B12_1,EN_B9-Saturday,EAST NY ALABAMA AV,0,B120128
B42,EN_B9-Saturday-011000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B12,EN_B9-Saturday-011500_B12_2,EN_B9-Saturday,LEFFRTS GDNS OCEAN AV,1,B120127
B14,EN_B9-Saturday-011700_B14_1,EN_B9-Saturday,SPRING CREEK STANLEY AV POSTAL FAC,0,B140125
B17,EN_B9-Saturday-012000_B17_101,EN_B9-Saturday,CANARSIE SEAVIEW AV,1,B170092
B42,EN_B9-Saturday-012000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
Q56,EN_B9-Saturday-012000_Q24_401,EN_B9-Saturday,BWAY JCT VN SNDRN AV,1,Q560571
B15,EN_B9-Saturday-013000_B15_102,EN_B9-Saturday,JFK AIRPORT,0,B150246
B42,EN_B9-Saturday-013000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
Q24,EN_B9-Saturday-013000_Q24_402,EN_B9-Saturday,ARCHER AV- 168 ST via ATLANTIC,0,Q240220
B42,EN_B9-Saturday-014000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
B82,EN_B9-Saturday-014000_B82_101,EN_B9-Saturday,CNY ISLND STILLWELL AV via FLATLANDS AV,1,B820647
B82,EN_B9-Saturday-014000_B82_102,EN_B9-Saturday,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,B820635
Q24,EN_B9-Saturday-014000_Q56_501,EN_B9-Saturday,LFYTT ST PTCHN AV via ATLNTC AV via BDWY,1,Q240221
B25,EN_B9-Saturday-014400_B25_201,EN_B9-Saturday,BWAY JCT ALABAMA AV via FULTON,0,B250072
B12,EN_B9-Saturday-015000_B12_2,EN_B9-Saturday,EAST NY ALABAMA AV,0,B120128
B14,EN_B9-Saturday-015000_B14_1,EN_B9-Saturday,CROWN HTS UTICA AV,1,B140127
B15,EN_B9-Saturday-015000_B15_103,EN_B9-Saturday,JFK AIRPORT,0,B150246
B17,EN_B9-Saturday-015000_B17_101,EN_B9-Saturday,CROWN HTS EASTERN PKY,0,B170093
B42,EN_B9-Saturday-015000_B42_1,EN_B9-Saturday,ROCK PKY STA,0,B420034
B12,EN_B9-Saturday-015500_B12_1,EN_B9-Saturday,LEFFRTS GDNS OCEAN AV,1,B120127
B42,EN_B9-Saturday-016000_B42_1,EN_B9-Saturday,CANRSE PIER,1,B420033
Q56,EN_B9-Saturday-016000_Q24_401,EN_B9-Saturday,JAMAICA 170 ST,0,Q560570
