route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
QM21,BPPC9-BP_C9-Weekday-10,24452973-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696490,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24452976-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696488,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24452978-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696488,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24452981-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696487,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24452984-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696489,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24452986-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696490,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24452987-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696492,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24452989-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696492,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24452992-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696491,QM210035
QM4,BPPC9-BP_C9-Weekday-10,24452997-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696494,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453000-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696493,QM40136
QM21,BPPC9-BP_C9-Weekday-10,24453002-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696494,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24453006-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696495,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24453008-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696495,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24453010-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via MADISON AV",1,4696496,QM210034
QM21,BPPC9-BP_C9-Weekday-10,24453011-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696498,QM210035
QM4,BPPC9-BP_C9-Weekday-10,24453014-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696497,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453016-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696497,QM40136
QM21,BPPC9-BP_C9-Weekday-10,24453019-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696500,QM210035
QM21,BPPC9-BP_C9-Weekday-10,24453021-BPPC9-BP_C9-Weekday-10,"ROCHDALE VILLAGE via BREWER BL",0,4696500,QM210035
QM4,BPPC9-BP_C9-Weekday-10,24453024-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696499,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453026-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696499,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453032-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696501,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453034-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696501,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453036-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696502,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453039-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696508,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453042-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696507,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453045-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696506,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453048-BPPC9-BP_C9-Weekday-10,"Electchester 164 St via Jewel Av",0,4696505,QM440030
QM4,BPPC9-BP_C9-Weekday-10,24453049-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696505,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453052-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696504,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453054-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696504,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453057-BPPC9-BP_C9-Weekday-10,"Electchester 164 St via Jewel Av",0,4696503,QM440030
QM4,BPPC9-BP_C9-Weekday-10,24453059-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696508,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453063-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696509,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453065-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696509,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453067-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696510,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453071-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696511,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453073-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696511,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453075-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696512,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453079-BPPC9-BP_C9-Weekday-10,"Electchester 164 St via Jewel Av",0,4696514,QM440030
QM4,BPPC9-BP_C9-Weekday-10,24453080-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696514,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453082-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696514,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453085-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696513,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453088-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696515,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453090-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696515,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453092-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696516,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453096-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696517,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453098-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696518,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453102-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696519,QM40136
QM44,BPPC9-BP_C9-Weekday-10,24453104-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696519,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453106-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696520,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453109-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696522,QM40135
QM44,BPPC9-BP_C9-Weekday-10,24453112-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696521,QM440022
QM44,BPPC9-BP_C9-Weekday-10,24453114-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696521,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453116-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696522,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453119-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696524,QM40135
QM44,BPPC9-BP_C9-Weekday-10,24453122-BPPC9-BP_C9-Weekday-10,"East Midtown 55 St via 3 Av",1,4696523,QM440022
QM4,BPPC9-BP_C9-Weekday-10,24453124-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696524,QM40135
QM4,BPPC9-BP_C9-Weekday-10,24453126-BPPC9-BP_C9-Weekday-10,"MIDTOWN 57 ST via 6 AV",1,4696525,QM40136
QM4,BPPC9-BP_C9-Weekday-10,24453128-BPPC9-BP_C9-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,4696525,QM40135
