service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MQ_B9-Sunday,0,0,0,0,0,0,1,20190428,20190623
MQ_B9-Weekday-SDon,1,1,1,1,1,0,0,20190429,20190628
MQ_B9-Saturday,0,0,0,0,0,1,0,20190504,20190629
MV_B9-Sunday,0,0,0,0,0,0,1,20190428,20190623
MV_B9-Weekday-SDon,1,1,1,1,1,0,0,20190429,20190628
MV_B9-Saturday,0,0,0,0,0,1,0,20190504,20190629
MV_B9-Saturday-BM,0,0,0,0,1,0,0,20190503,20190628
OF_B9-Sunday,0,0,0,0,0,0,1,20190428,20190623
OF_B9-Weekday-SDon,1,1,1,1,1,0,0,20190429,20190628
OF_B9-Saturday,0,0,0,0,0,1,0,20190504,20190629
OH_B9-Sunday,0,0,0,0,0,0,1,20190428,20190623
OH_B9-Sunday-BM,0,0,0,0,0,1,0,20190427,20190622
OH_B9-Weekday-SDon,1,1,1,1,1,0,0,20190429,20190628
OH_B9-Weekday-SDon-BM,1,1,1,1,0,0,1,20190428,20190627
OH_B9-Saturday,0,0,0,0,0,1,0,20190504,20190629
OH_B9-Saturday-BM,0,0,0,0,1,0,0,20190503,20190628
