service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ASP19GEN-1037-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-2048-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-3041-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-4049-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-5048-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-6030-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
ASP19GEN-7025-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
BSP19GEN-A051-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-C026-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-D040-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-E044-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-F048-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19SUPP-G034-Sunday-56,0,0,0,0,0,0,1,20190428,20191110
ASP19GEN-GS010-Sunday-00,0,0,0,0,0,0,1,20190428,20191027
BSP19GEN-H024-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-J032-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19SUPP-L022-Sunday-98,0,0,0,0,0,0,1,20190428,20191110
BSP19SUPP-M023-Sunday-26,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-N057-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
BSP19GEN-R049-Sunday-00,0,0,0,0,0,0,1,20190428,20191110
SIR-FA2018-SI017-Sunday-00,0,0,0,0,0,0,1,20190428,20190428
ASP19GEN-1087-Weekday-00,1,1,1,1,1,0,0,20190429,20191101
