,Division,Line,Station_Name,Station_Latitude,Station_Longitude,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,Entrance_Type,Entry,Exit_Only,Vending,Staffing,Staff_Hours,ADA,ADA_Notes,Free_Crossover,North_South_Street,East_West_Street,Corner,Latitude,Longitude
0,BMT,Astoria,Ditmars Blvd,40.775036,-73.91203399999999,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,23rd Ave,NW,40.775149,-73.912074
1,BMT,Astoria,Ditmars Blvd,40.775036,-73.91203399999999,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,23rd Ave,NE,40.774809999999995,-73.912151
2,BMT,Astoria,Ditmars Blvd,40.775036,-73.91203399999999,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,23rd Ave,NE,40.775025,-73.911891
3,BMT,Astoria,Ditmars Blvd,40.775036,-73.91203399999999,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,23rd Ave,NW,40.774938,-73.912337
4,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Hoyt Ave South,SW,40.770313,-73.917978
5,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Hoyt Ave South,SE,40.77017,-73.917755
6,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Hoyt Ave North,NW,40.771009,-73.917167
7,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Hoyt Ave North,NE,40.77087,-73.916935
8,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,30th Ave,SW,40.766787,-73.92162900000001
9,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,30th Ave,SE,40.7667,-73.921406
10,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,30th Ave,NW,40.767052,-73.921409
11,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,30th Ave,NE,40.766963,-73.921192
12,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Broadway,SW,40.76188,-73.925638
13,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Broadway,SE,40.761773,-73.925399
14,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,Broadway,NW,40.762217,-73.925349
15,BMT,Astoria,36 Av-Washington Av,40.756803999999995,-73.929575,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,36th Ave,SW,40.756478,-73.92999300000001
16,BMT,Astoria,36 Av-Washington Av,40.756803999999995,-73.929575,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,36th Ave,SE,40.756378999999995,-73.929766
17,BMT,Astoria,36 Av-Washington Av,40.756803999999995,-73.929575,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,36th Ave,NW,40.756796,-73.92974
18,BMT,Astoria,39 Av-Beebe Av,40.752882,-73.932755,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,39th Ave,NW,40.752901,-73.932903
19,BMT,Astoria,39 Av-Beebe Av,40.752882,-73.932755,N,Q,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,31st St,39th Ave,SE,40.752491,-73.932936
20,BMT,Broadway,5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,5th Ave,60th St,NW,40.765156,-73.972501
21,BMT,Broadway,5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,5th Ave,60th St,SE,40.764728000000005,-73.972396
22,BMT,Broadway,5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,5th Ave,60th St,NE,40.764849,-73.972306
23,BMT,Broadway,5th Av,40.764811,-73.973347,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,5th Ave,60th St,SE,40.764657,-73.972229
24,BMT,Broadway,57th St,40.764664,-73.98065799999999,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,7th Ave,57th St,SW,40.765365,-73.98034100000001
25,BMT,Broadway,57th St,40.764664,-73.98065799999999,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,7th Ave,57th St,SE,40.765298,-73.98003299999999
26,BMT,Broadway,57th St,40.764664,-73.98065799999999,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,7th Ave,57th St,NW,40.765796,-73.980012
27,BMT,Broadway,57th St,40.764664,-73.98065799999999,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,7th Ave,57th St,NE,40.765639,-73.979764
28,BMT,Broadway,49th St,40.759901,-73.984139,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,True,Northbound Only,False,7th Ave,49th St,SW,40.760486,-73.983974
29,BMT,Broadway,49th St,40.759901,-73.984139,N,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,True,Northbound Only,False,7th Ave,49th St,NW,40.760621,-73.98390400000001
30,BMT,Broadway,28th St,40.745494,-73.988691,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,28th St,SE,40.745089,-73.988472
31,BMT,Broadway,28th St,40.745494,-73.988691,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,28th St,NE,40.745298999999996,-73.988579
32,BMT,Broadway,23rd St,40.741303,-73.98934399999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,23rd St,SE,40.74108,-73.989083
33,BMT,Broadway,23rd St,40.741303,-73.98934399999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,23rd St,SE,40.741111,-73.98892
34,BMT,Broadway,23rd St,40.741303,-73.98934399999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,23rd St,NE,40.741378000000005,-73.988895
35,BMT,Broadway,23rd St,40.741303,-73.98934399999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,23rd St,NE,40.741539,-73.988989
36,BMT,Broadway,Union Square,40.735735999999996,-73.99056800000001,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,FULL,,True,Lex not ADA,True,Broadway,14th St,NE,40.735278,-73.991058
37,BMT,Broadway,8th St,40.730328,-73.99262900000001,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,8th Ave,SE,40.730477,-73.992286
38,BMT,Broadway,8th St,40.730328,-73.99262900000001,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,8th Ave,NE,40.730578,-73.992216
39,BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,Prince St,SE,40.724123999999996,-73.997686
40,BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Broadway,Prince St,NE,40.72422,-73.997633
41,BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Broadway,Warren St,SE,40.71311,-74.00704499999999
42,BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Broadway,Warren St,NE,40.713437,-74.00676
43,BMT,Broadway,City Hall,40.713282,-74.006978,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Broadway,Warren St,SE,40.713521,-74.006697
44,BMT,Broadway,Cortlandt St,40.710668,-74.01102900000001,R,,,,,,,,,,,Stair,NO,,NO,FULL,,False,,True,Church St,Dey St,NE,40.710871000000004,-74.010767
45,BMT,Broadway,Cortlandt St,40.710668,-74.01102900000001,R,,,,,,,,,,,Stair,NO,,NO,FULL,,False,,True,Church St,Dey St,SE,40.711065000000005,-74.010644
46,BMT,Broadway,Rector St,40.70722,-74.01334200000001,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Trinity Pl,Rector St,SE,40.707646999999994,-74.012924
47,BMT,Broadway,Rector St,40.70722,-74.01334200000001,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Trinity Pl,Rector St,NE,40.707902000000004,-74.012774
48,BMT,Broadway,Rector St,40.70722,-74.01334200000001,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,Trinity Pl,Rector St,NE,40.708028000000006,-74.01269599999999
49,BMT,Broadway,Whitehall St,40.703087,-74.01299399999999,R,1,,,,,,,,,,Stair,YES,,NO,FULL,,False,,True,,,,40.701938,-74.012588
50,BMT,Broadway,Whitehall St,40.703087,-74.01299399999999,R,1,,,,,,,,,,Stair,YES,,NO,FULL,,False,,True,,,,40.702108,-74.012642
51,BMT,Broadway,Whitehall St,40.703087,-74.01299399999999,R,1,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,,,,40.702108,-74.012642
52,BMT,Broadway,Lawrence St,40.69218,-73.98594200000001,A,C,F,R,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Lawrence St,Willoughby St,SE,40.692114000000004,-73.98610699999999
53,BMT,Broadway,Lawrence St,40.69218,-73.98594200000001,A,C,F,R,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Lawrence St,Willoughby St,SE,40.692258,-73.986114
54,BMT,Broadway,Lawrence St,40.69218,-73.98594200000001,A,C,F,R,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Lawrence St,Willoughby St,NE,40.692052000000004,-73.986191
55,BMT,Broadway,Lawrence St,40.69218,-73.98594200000001,A,C,F,R,,,,,,,,Stair,YES,,YES,FULL,,False,,True,Lawrence St,Willoughby St,NE,40.692359,-73.986181
56,BMT,4 Avenue,DeKalb Av,40.690635,-73.981824,B,Q,R,,,,,,,,,Elevator,YES,,YES,FULL,,True,,True,Flatbush Ave,De Kalb Ave,SE,40.689803999999995,-73.981164
57,BMT,4 Avenue,DeKalb Av,40.690635,-73.981824,B,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,True,,True,Flatbush Ave,De Kalb Ave,SW,40.689809999999994,-73.981651
58,BMT,4 Avenue,DeKalb Av,40.690635,-73.981824,B,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,True,,True,Flatbush Ave,De Kalb Ave,SE,40.689817,-73.981082
59,BMT,4 Avenue,DeKalb Av,40.690635,-73.981824,B,Q,R,,,,,,,,,Stair,YES,,YES,FULL,,True,,True,Flatbush Ave,De Kalb Ave,SE,40.68974,-73.981156
60,BMT,4 Avenue,Atlantic Av-Barclays Ctr,40.683665999999995,-73.97881,B,Q,D,N,R,2,3,4.0,5.0,,,Elevator,YES,,YES,FULL,,True,,True,4th Ave,Pacific St,NE,40.683805,-73.978487
61,BMT,4 Avenue,Pacific St,40.683665999999995,-73.97881,B,Q,D,N,R,2,3,4.0,5.0,,,Stair,YES,,YES,FULL,,True,,True,4th Ave,Pacific St,NW,40.683904999999996,-73.978879
62,BMT,4 Avenue,Pacific St,40.683665999999995,-73.97881,B,Q,D,N,R,2,3,4.0,5.0,,,Stair,YES,,YES,FULL,,True,,True,4th Ave,Pacific St,NE,40.683928,-73.978412
63,BMT,4 Avenue,Union St,40.677316,-73.98311,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,Union St,SE,40.677001000000004,-73.983133
64,BMT,4 Avenue,Union St,40.677316,-73.98311,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,Union St,SW,40.677279,-73.983327
65,BMT,4 Avenue,Union St,40.677316,-73.98311,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,Union St,SE,40.677171,-73.98302
66,BMT,4 Avenue,9th St,40.670846999999995,-73.988302,F,G,R,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,9th St,NE,40.670387,-73.98848000000001
67,BMT,4 Avenue,Prospect Av,40.665414,-73.99287199999999,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,Prospect Ave,NE,40.665299,-73.992729
68,BMT,4 Avenue,Prospect Av,40.665414,-73.99287199999999,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,Prospect Ave,SW,40.665058,-73.993002
69,BMT,4 Avenue,25th St,40.660396999999996,-73.998091,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,False,4th Ave,25th St,SE,40.660323,-73.997952
70,BMT,4 Avenue,36th St,40.655144,-74.00354899999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NW,40.65449,-74.004499
71,BMT,4 Avenue,36th St,40.655144,-74.00354899999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NE,40.654365000000006,-74.004113
72,BMT,4 Avenue,36th St,40.655144,-74.00354899999999,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,36th St,NW,40.654676,-74.004306
73,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NE,40.649389,-74.009333
74,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NW,40.649423999999996,-74.00972800000001
75,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NE,40.649265,-74.009457
76,BMT,4 Avenue,45th St,40.648939,-74.010006,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,45th St,NW,40.649546,-74.009602
77,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SW,40.644653000000005,-74.01469
78,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SE,40.644493,-74.01441899999999
79,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SW,40.644756,-74.014586
80,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,53rd St,SE,40.644601,-74.014309
81,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NW,40.641606,-74.01789699999999
82,BMT,4 Avenue,59th St,40.641362,-74.017881,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,False,,True,4th Ave,59th St,NE,40.641434999999994,-74.017561
