service_id,date,exception_type
EN_B8-Sunday,20180528,1
EN_B8-Weekday,20180409,2
EN_B8-Weekday,20180410,2
EN_B8-Weekday,20180411,2
EN_B8-Weekday,20180412,2
EN_B8-Weekday,20180413,2
EN_B8-Weekday,20180416,2
EN_B8-Weekday,20180417,2
EN_B8-Weekday,20180418,2
EN_B8-Weekday,20180419,2
EN_B8-Weekday,20180420,2
EN_B8-Weekday,20180423,2
EN_B8-Weekday,20180424,2
EN_B8-Weekday,20180425,2
EN_B8-Weekday,20180426,2
EN_B8-Weekday,20180427,2
EN_B8-Weekday,20180430,2
EN_B8-Weekday,20180501,2
EN_B8-Weekday,20180502,2
EN_B8-Weekday,20180503,2
EN_B8-Weekday,20180504,2
EN_B8-Weekday,20180507,2
EN_B8-Weekday,20180508,2
EN_B8-Weekday,20180509,2
EN_B8-Weekday,20180510,2
EN_B8-Weekday,20180511,2
EN_B8-Weekday,20180514,2
EN_B8-Weekday,20180515,2
EN_B8-Weekday,20180516,2
EN_B8-Weekday,20180517,2
EN_B8-Weekday,20180518,2
EN_B8-Weekday,20180521,2
EN_B8-Weekday,20180522,2
EN_B8-Weekday,20180523,2
EN_B8-Weekday,20180524,2
EN_B8-Weekday,20180525,2
EN_B8-Weekday,20180528,2
EN_B8-Weekday,20180529,2
EN_B8-Weekday,20180530,2
EN_B8-Weekday,20180531,2
EN_B8-Weekday,20180601,2
EN_B8-Weekday,20180604,2
EN_B8-Weekday,20180605,2
EN_B8-Weekday,20180606,2
EN_B8-Weekday,20180608,2
EN_B8-Weekday,20180611,2
EN_B8-Weekday,20180612,2
EN_B8-Weekday,20180613,2
EN_B8-Weekday,20180614,2
EN_B8-Weekday,20180618,2
EN_B8-Weekday,20180619,2
EN_B8-Weekday,20180620,2
EN_B8-Weekday,20180621,2
EN_B8-Weekday,20180622,2
EN_B8-Weekday,20180625,2
EN_B8-Weekday,20180626,2
EN_B8-Weekday-SDon,20180528,2
EN_B8-Weekday-SDon,20180607,2
EN_B8-Weekday-SDon,20180615,2
EN_B8-Weekday-SDon,20180627,2
FB_B8-Sunday,20180528,1
FB_B8-Weekday,20180409,2
FB_B8-Weekday,20180410,2
FB_B8-Weekday,20180411,2
FB_B8-Weekday,20180412,2
FB_B8-Weekday,20180413,2
FB_B8-Weekday,20180416,2
FB_B8-Weekday,20180417,2
FB_B8-Weekday,20180418,2
FB_B8-Weekday,20180419,2
FB_B8-Weekday,20180420,2
FB_B8-Weekday,20180423,2
FB_B8-Weekday,20180424,2
FB_B8-Weekday,20180425,2
FB_B8-Weekday,20180426,2
FB_B8-Weekday,20180427,2
FB_B8-Weekday,20180430,2
FB_B8-Weekday,20180501,2
FB_B8-Weekday,20180502,2
FB_B8-Weekday,20180503,2
FB_B8-Weekday,20180504,2
