shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
B10163,40.621899,-74.028521,10001
B10163,40.621996,-74.028681,10002
B10163,40.622084,-74.028641,10003
B10163,40.622790,-74.028353,10004
B10163,40.622721,-74.028256,10005
B10163,40.622351,-74.027642,10006
B10163,40.622351,-74.027642,20001
B10163,40.621492,-74.026213,20002
B10163,40.621377,-74.026024,20003
B10163,40.621377,-74.026024,30001
B10163,40.620976,-74.025363,30002
B10163,40.620435,-74.024466,30003
B10163,40.620227,-74.024109,30004
B10163,40.620227,-74.024109,40001
B10163,40.619961,-74.023655,40002
B10163,40.619505,-74.022935,40003
B10163,40.619450,-74.022848,40004
B10163,40.619423,-74.022798,40005
B10163,40.619363,-74.022701,40006
B10163,40.619363,-74.022701,50001
B10163,40.618937,-74.022005,50002
B10163,40.618471,-74.021216,50003
B10163,40.618245,-74.020839,50004
B10163,40.618245,-74.020839,60001
B10163,40.618056,-74.020524,60002
B10163,40.617642,-74.019836,60003
B10163,40.616720,-74.018316,60004
B10163,40.616569,-74.018068,60005
B10163,40.616569,-74.018068,70001
B10163,40.615459,-74.016242,70002
B10163,40.615459,-74.016242,80001
B10163,40.615384,-74.016118,80002
B10163,40.614064,-74.013925,80003
B10163,40.613868,-74.013600,80004
B10163,40.613868,-74.013600,90001
B10163,40.612773,-74.011780,90002
B10163,40.612773,-74.011780,100001
B10163,40.612733,-74.011713,100002
B10163,40.612285,-74.010971,100003
B10163,40.611852,-74.010250,100004
B10163,40.611404,-74.009512,100005
B10163,40.611185,-74.009148,100006
B10163,40.611185,-74.009148,110001
B10163,40.610954,-74.008766,110002
B10163,40.610524,-74.008050,110003
B10163,40.610158,-74.007447,110004
B10163,40.610158,-74.007447,120001
B10163,40.610076,-74.007311,120002
B10163,40.609579,-74.006490,120003
B10163,40.609094,-74.005680,120004
B10163,40.608594,-74.004855,120005
B10163,40.608397,-74.004530,120006
B10163,40.608397,-74.004530,130001
B10163,40.608144,-74.004113,130002
B10163,40.607710,-74.003403,130003
B10163,40.607257,-74.002643,130004
B10163,40.607055,-74.002311,130005
B10163,40.607055,-74.002311,140001
B10163,40.606821,-74.001927,140002
B10163,40.606634,-74.001624,140003
B10163,40.606514,-74.001423,140004
B10163,40.606385,-74.001206,140005
B10163,40.606001,-74.000568,140006
B10163,40.606001,-74.000568,150001
B10163,40.605935,-74.000457,150002
B10163,40.605482,-73.999719,150003
B10163,40.605056,-73.998995,150004
B10163,40.604650,-73.998321,150005
B10163,40.604650,-73.998321,160001
B10163,40.604609,-73.998253,160002
B10163,40.604161,-73.997512,160003
B10163,40.603728,-73.996798,160004
B10163,40.603364,-73.996202,160005
B10163,40.603364,-73.996202,170001
B10163,40.603275,-73.996057,170002
B10163,40.602827,-73.995318,170003
B10163,40.602421,-73.994584,170004
B10163,40.602033,-73.993948,170005
B10163,40.602033,-73.993948,180001
B10163,40.601949,-73.993810,180002
B10163,40.601474,-73.993050,180003
B10163,40.601035,-73.992337,180004
B10163,40.600648,-73.991711,180005
B10163,40.600648,-73.991711,190001
B10163,40.600579,-73.991599,190002
B10163,40.600134,-73.990864,190003
B10163,40.599703,-73.990151,190004
B10163,40.599341,-73.989543,190005
B10163,40.599341,-73.989543,200001
B10163,40.599253,-73.989395,200002
B10163,40.598800,-73.988657,200003
B10163,40.598372,-73.987940,200004
B10163,40.597987,-73.987296,200005
B10163,40.597987,-73.987296,210001
B10163,40.597925,-73.987191,210002
B10163,40.597477,-73.986457,210003
B10163,40.597041,-73.985748,210004
B10163,40.596752,-73.985279,210005
B10163,40.596752,-73.985279,220001
B10163,40.596744,-73.985265,220002
B10163,40.596560,-73.984941,220003
B10163,40.596066,-73.984128,220004
B10163,40.595819,-73.983721,220005
B10163,40.595635,-73.983414,220006
B10163,40.595635,-73.983414,230001
B10163,40.595415,-73.983047,230002
B10163,40.594762,-73.981978,230003
B10163,40.594136,-73.980938,230004
B10163,40.593996,-73.980711,230005
B10163,40.593786,-73.980360,230006
B10163,40.593786,-73.980360,240001
B10163,40.593504,-73.979887,240002
B10163,40.592854,-73.978816,240003
B10163,40.592854,-73.978816,250001
B10163,40.592829,-73.978774,250002
B10163,40.592656,-73.978475,250003
B10163,40.592546,-73.978292,250004
B10163,40.592186,-73.977723,250005
B10163,40.591920,-73.977223,250006
B10163,40.591755,-73.976972,250007
B10163,40.591755,-73.976972,260001
B10163,40.591453,-73.976513,260002
B10163,40.591063,-73.975837,260003
B10163,40.590641,-73.975135,260004
B10163,40.590212,-73.974436,260005
B10163,40.590155,-73.974292,260006
B10163,40.590113,-73.974195,260007
B10163,40.590124,-73.974080,260008
B10163,40.590135,-73.974001,260009
B10163,40.590182,-73.973542,260010
B10163,40.590182,-73.973542,270001
B10163,40.590239,-73.972975,270002
B10163,40.590338,-73.972078,270003
B10163,40.590442,-73.971153,270004
B10163,40.590476,-73.970820,270005
B10163,40.590476,-73.970820,280001
B10163,40.590538,-73.970224,280002
B10163,40.590647,-73.969302,280003
B10163,40.590691,-73.968900,280004
B10163,40.590691,-73.968900,290001
B10163,40.590749,-73.968373,290002
B10163,40.590803,-73.967876,290003
B10163,40.590850,-73.967444,290004
B10163,40.590886,-73.967120,290005
B10163,40.590886,-73.967120,300001
B10163,40.590951,-73.966518,300002
B10163,40.591059,-73.965560,300003
B10163,40.591059,-73.965560,310001
B10163,40.591107,-73.965129,310002
B10163,40.590364,-73.965302,310003
B10163,40.590350,-73.965302,310004
B10163,40.589650,-73.965464,310005
B10163,40.589644,-73.965468,310006
B10163,40.588887,-73.965641,310007
B10163,40.588132,-73.965814,310008
B10163,40.587432,-73.965977,310009
B10163,40.586669,-73.966150,310010
B10163,40.585895,-73.966330,310011
B10163,40.585742,-73.966442,310012
B10163,40.585629,-73.966521,310013
B10163,40.585558,-73.966593,310014
B10163,40.585388,-73.966741,310015
B10163,40.585121,-73.966802,310016
B10163,40.584981,-73.966820,310017
B10163,40.584776,-73.966831,310018
B10163,40.584776,-73.966831,320001
B10163,40.584567,-73.966842,320002
B10163,40.584298,-73.966821,320003
B10163,40.584100,-73.966860,320004
B10163,40.584092,-73.966860,320005
B10163,40.583864,-73.966904,320006
B10163,40.583669,-73.966947,320007
B10163,40.583557,-73.966925,320008
B10163,40.583359,-73.966976,320009
B10163,40.582739,-73.967113,320010
B10163,40.582574,-73.967091,320011
B10163,40.581604,-73.967313,320012
B10163,40.581604,-73.967313,330001
B10163,40.581531,-73.967330,330002
B10163,40.580493,-73.967573,330003
B10163,40.580493,-73.967573,340001
B10163,40.580423,-73.967589,340002
B10163,40.580299,-73.967618,340003
B10163,40.579802,-73.967730,340004
B10163,40.578466,-73.968040,340005
B10163,40.578136,-73.968116,340006
B10163,40.578136,-73.968116,350001
B10163,40.576429,-73.968506,350002
B10163,40.576339,-73.968524,350003
B10163,40.576303,-73.968002,350004
B10163,40.576308,-73.967753,350005
B10163,40.576320,-73.967625,350006
B10163,40.576320,-73.967625,360001
B10163,40.576346,-73.967354,360002
B10163,40.576360,-73.967282,360003
B10163,40.576357,-73.967303,360004
B10163,40.576385,-73.967174,360005
B10163,40.576549,-73.966378,360006
B10163,40.576645,-73.965914,360007
B10163,40.576664,-73.965831,360008
B10163,40.576741,-73.965483,360009
B10163,40.576741,-73.965483,370001
B10163,40.576826,-73.965096,370002
B10163,40.576865,-73.964963,370003
B10163,40.577018,-73.964193,370004
B10163,40.577099,-73.963814,370005
B10163,40.577099,-73.963814,380001
B10163,40.577213,-73.963278,380002
B10163,40.577410,-73.962364,380003
B10163,40.577581,-73.961571,380004
B10163,40.577581,-73.961571,390001
B10163,40.577605,-73.961460,390002
B10163,40.577615,-73.961424,390003
B10163,40.577796,-73.960578,390004
B10163,40.577966,-73.959758,390005
B10163,40.577966,-73.959758,400001
B10163,40.577966,-73.959757,400002
B10163,40.577991,-73.959635,400003
B10163,40.578122,-73.959016,400004
B10163,40.578243,-73.958457,400005
B10163,40.578281,-73.958133,400006
B10163,40.578267,-73.957810,400007
B10163,40.578245,-73.957684,400008
B10163,40.578245,-73.957684,410001
B10163,40.578237,-73.957640,410002
B10163,40.578028,-73.956913,410003
B10163,40.577946,-73.956647,410004
B10163,40.577765,-73.956053,410005
B10163,40.577682,-73.955787,410006
B10163,40.577539,-73.955328,410007
B10163,40.577539,-73.955328,420001
B10163,40.577503,-73.955215,420002
B10163,40.577394,-73.954833,420003
B10163,40.577358,-73.954696,420004
B10163,40.577344,-73.954567,420005
B10163,40.577355,-73.954376,420006
B10163,40.577319,-73.954210,420007
B10163,40.577332,-73.954107,420008
B10163,40.577332,-73.954107,430001
B10163,40.577352,-73.953947,430002
B10163,40.576743,-73.953833,430003
B10163,40.576764,-73.953627,430004
B10163,40.576817,-73.953505,430005
B10163,40.576862,-73.953071,430006
B10163,40.576862,-73.953071,440001
B10163,40.576882,-73.952875,440002
B10163,40.576844,-73.952731,440003
B10163,40.576934,-73.951903,440004
B10163,40.577035,-73.950985,440005
B10163,40.577083,-73.950546,440006
B10163,40.577083,-73.950546,450001
B10163,40.577136,-73.950063,450002
B10163,40.577237,-73.949145,450003
B10163,40.577273,-73.948815,450004
B10163,40.577273,-73.948815,460001
B10163,40.577336,-73.948224,460002
B10163,40.577426,-73.947401,460003
B10163,40.577426,-73.947401,470001
B10163,40.577442,-73.947252,470002
B10163,40.577549,-73.946280,470003
B10163,40.577650,-73.945365,470004
B10163,40.577751,-73.944444,470005
B10163,40.577799,-73.944008,470006
B10163,40.577799,-73.944008,480001
B10163,40.577852,-73.943526,480002
B10163,40.577953,-73.942579,480003
B10163,40.578057,-73.941646,480004
B10163,40.578102,-73.941243,480005
B10163,40.578102,-73.941243,490001
B10163,40.578158,-73.940735,490002
B10163,40.578186,-73.940462,490003
B10163,40.578122,-73.940300,490004
B10163,40.578109,-73.940188,490005
B10163,40.578111,-73.940173,490006
B10164,40.596752,-73.985279,10001
B10164,40.596744,-73.985265,10002
B10164,40.596560,-73.984941,10003
B10164,40.596066,-73.984128,10004
B10164,40.595819,-73.983721,10005
B10164,40.595635,-73.983414,10006
B10164,40.595635,-73.983414,20001
B10164,40.595415,-73.983047,20002
B10164,40.594762,-73.981978,20003
B10164,40.594136,-73.980938,20004
B10164,40.593996,-73.980711,20005
B10164,40.593786,-73.980360,20006
B10164,40.593786,-73.980360,30001
B10164,40.593504,-73.979887,30002
B10164,40.592854,-73.978816,30003
B10164,40.592854,-73.978816,40001
B10164,40.592829,-73.978774,40002
B10164,40.592656,-73.978475,40003
B10164,40.592546,-73.978292,40004
B10164,40.592186,-73.977723,40005
B10164,40.591920,-73.977223,40006
B10164,40.591755,-73.976972,40007
B10164,40.591755,-73.976972,50001
B10164,40.591453,-73.976513,50002
B10164,40.591063,-73.975837,50003
B10164,40.590641,-73.975135,50004
B10164,40.590212,-73.974436,50005
B10164,40.590155,-73.974292,50006
B10164,40.590113,-73.974195,50007
B10164,40.590124,-73.974080,50008
B10164,40.590135,-73.974001,50009
B10164,40.590182,-73.973542,50010
B10164,40.590182,-73.973542,60001
B10164,40.590239,-73.972975,60002
B10164,40.590338,-73.972078,60003
B10164,40.590442,-73.971153,60004
B10164,40.590476,-73.970820,60005
B10164,40.590476,-73.970820,70001
B10164,40.590538,-73.970224,70002
B10164,40.590647,-73.969302,70003
B10164,40.590691,-73.968900,70004
B10164,40.590691,-73.968900,80001
B10164,40.590749,-73.968373,80002
B10164,40.590803,-73.967876,80003
B10164,40.590850,-73.967444,80004
B10164,40.590886,-73.967120,80005
B10164,40.590886,-73.967120,90001
B10164,40.590951,-73.966518,90002
B10164,40.591059,-73.965560,90003
B10164,40.591059,-73.965560,100001
B10164,40.591107,-73.965129,100002
B10164,40.590364,-73.965302,100003
B10164,40.590350,-73.965302,100004
B10164,40.589650,-73.965464,100005
B10164,40.589644,-73.965468,100006
B10164,40.588887,-73.965641,100007
B10164,40.588132,-73.965814,100008
B10164,40.587432,-73.965977,100009
B10164,40.586669,-73.966150,100010
B10164,40.585895,-73.966330,100011
B10164,40.585742,-73.966442,100012
B10164,40.585629,-73.966521,100013
B10164,40.585558,-73.966593,100014
