route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
B42,EN_B8-Weekday,EN_B8-Weekday-000000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-002000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-004000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-006000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-008000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-010000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-012000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-014000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-016000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-018000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-020000_B42_1,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-022000_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-024000_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-026000_B42_3,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-028000_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-030000_B42_3,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-032700_B42_3,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-033900_B42_4,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-035100_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-036300_B42_3,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-037300_B82_120,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-038300_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-039700_B42_5,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-040200_B42_3,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-041100_B82_120,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-041500_B82_131,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-041900_B42_2,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-043000_B42_6,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-043500_B42_5,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-044800_B82_120,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-045400_B42_8,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-046700_B82_128,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-047400_B42_5,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-048000_B42_7,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-052800_B42_8,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-053600_B42_6,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-054400_B82_128,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-055400_B42_5,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-056400_B42_7,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-057600_B42_6,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-060000_B42_5,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-066000_B42_8,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-068000_B82_106,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-069000_B42_7,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-070000_B42_8,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-071000_B82_105,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-072000_B82_106,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-074000_B82_122,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-075000_B82_105,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-076000_B82_106,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-078000_B82_122,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-079200_B42_6,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-080400_B82_138,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-084000_B42_6,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-085200_B82_138,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-086400_B82_127,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-087600_B82_136,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-088800_B42_9,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-089800_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-090800_B82_138,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-091800_B82_159,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-092600_B82_161,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-093400_B42_9,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-094200_B82_165,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-094800_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-095400_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-096000_B82_161,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-096600_B82_159,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-097200_B42_9,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-097800_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-098400_B82_165,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-099000_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-099600_B82_161,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-100200_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-100800_B82_159,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-102000_B82_161,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-102600_B82_165,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-103200_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-103800_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-104400_B82_161,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-105000_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-106200_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-106800_B82_132,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-107400_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-108000_B82_142,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-108600_B42_11,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-109200_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-109800_B42_9,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-110400_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-110900_B82_132,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-111500_B82_137,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-112600_B42_11,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-113100_B82_166,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-113700_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-114300_B42_9,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-114900_B82_142,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-115500_B42_12,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-116200_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-117000_B42_11,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-117700_B42_13,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-118500_B42_14,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-119200_B42_12,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-120000_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-120700_B42_11,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-121500_B42_13,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-122200_B42_14,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-123000_B42_12,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-123700_B42_10,CANRSE PIER,1,B420030
B42,EN_B8-Weekday,EN_B8-Weekday-124500_B42_11,CANRSE PIER,1,B420030
