route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q64,BPPB8-BP_B8-Weekday-10,19830135-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830136-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830137-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830138-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830139-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830140-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830141-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830142-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830143-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830144-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830145-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830146-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830147-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830148-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825202,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830149-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825202,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830150-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825300,Q640096
Q64,BPPB8-BP_B8-Weekday-10,19830151-BPPB8-BP_B8-Weekday-10,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,3825300,Q640095
Q64,BPPB8-BP_B8-Weekday-10,19830152-BPPB8-BP_B8-Weekday-10,"ELECTCHESTER 164 ST via JEWEL AV",0,3825346,Q640096
