service_id,date,exception_type
4,20180418,2
6794,20180418,1
4,20180419,2
6808,20180419,1
4,20180420,2
5,20180420,2
6809,20180420,1
4,20180423,2
4,20180827,2
6815,20180423,1
6815,20180827,1
4,20180424,2
4,20180530,2
6816,20180424,1
6816,20180530,1
4,20180621,2
4,20180704,2
4,20180801,2
4,20180816,2
6817,20180621,1
6817,20180704,1
6817,20180801,1
6817,20180816,1
4,20180504,2
5,20180504,2
4,20180525,2
5,20180525,2
4,20180629,2
5,20180629,2
4,20180720,2
5,20180720,2
4,20180817,2
5,20180817,2
4,20180914,2
5,20180914,2
6818,20180504,1
6818,20180525,1
6818,20180629,1
6818,20180720,1
6818,20180817,1
6818,20180914,1
4,20180425,2
6819,20180425,1
4,20180508,2
4,20180529,2
4,20180612,2
4,20180619,2
4,20180726,2
4,20180731,2
4,20180809,2
4,20180814,2
4,20180919,2
6821,20180508,1
6821,20180529,1
6821,20180612,1
6821,20180619,1
6821,20180726,1
6821,20180731,1
6821,20180809,1
6821,20180814,1
6821,20180919,1
4,20180509,2
4,20180510,2
4,20180613,2
4,20180614,2
4,20180620,2
4,20180703,2
4,20180815,2
4,20180828,2
4,20180829,2
4,20180830,2
4,20180920,2
6822,20180509,1
6822,20180510,1
6822,20180613,1
6822,20180614,1
6822,20180620,1
6822,20180703,1
6822,20180815,1
6822,20180828,1
6822,20180829,1
6822,20180830,1
6822,20180920,1
4,20180511,2
5,20180511,2
4,20180615,2
5,20180615,2
4,20180727,2
5,20180727,2
4,20180810,2
5,20180810,2
4,20180831,2
5,20180831,2
4,20180921,2
5,20180921,2
6823,20180511,1
6823,20180615,1
6823,20180727,1
6823,20180810,1
6823,20180831,1
6823,20180921,1
4,20180426,2
6824,20180426,1
1,20180421,2
2,20180421,2
6827,20180421,1
1,20180422,2
3,20180422,2
6828,20180422,1
