shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010166,40.731288,-73.990392,10001
M010166,40.731288,-73.990392,10002
M010166,40.731996,-73.990211,10003
M010166,40.732621,-73.990059,10004
M010166,40.732621,-73.990059,20001
M010166,40.732756,-73.990027,20002
M010166,40.733525,-73.989868,20003
M010166,40.733938,-73.989843,20004
M010166,40.733938,-73.989843,30001
M010166,40.733953,-73.989843,30002
M010166,40.734304,-73.989875,30003
M010166,40.734472,-73.989936,30004
M010166,40.734993,-73.990034,30005
M010166,40.735229,-73.990019,30006
M010166,40.735347,-73.989918,30007
M010166,40.735601,-73.989724,30008
M010166,40.735601,-73.989724,40001
M010166,40.735616,-73.989713,40002
M010166,40.735918,-73.989514,40003
M010166,40.735987,-73.989456,40004
M010166,40.736215,-73.989276,40005
M010166,40.736544,-73.989045,40006
M010166,40.736607,-73.988973,40007
M010166,40.736859,-73.988789,40008
M010166,40.736859,-73.988789,50001
M010166,40.737148,-73.988579,50002
M010166,40.737732,-73.988161,50003
M010166,40.738317,-73.987727,50004
M010166,40.738901,-73.987302,50005
M010166,40.739038,-73.987202,50006
M010166,40.739038,-73.987202,60001
M010166,40.739522,-73.986850,60002
M010166,40.740186,-73.986367,60003
M010166,40.740541,-73.986107,60004
M010166,40.740541,-73.986107,70001
M010166,40.740853,-73.985879,70002
M010166,40.741468,-73.985428,70003
M010166,40.741511,-73.985532,70004
M010166,40.741511,-73.985532,80001
M010166,40.742096,-73.986915,80002
M010166,40.742140,-73.987056,80003
M010166,40.742771,-73.986597,80004
M010166,40.743389,-73.986146,80005
M010166,40.744006,-73.985695,80006
M010166,40.744233,-73.985530,80007
M010166,40.744233,-73.985530,90001
M010166,40.744627,-73.985243,90002
M010166,40.745242,-73.984792,90003
M010166,40.745544,-73.984573,90004
M010166,40.745544,-73.984573,100001
M010166,40.745859,-73.984344,100002
M010166,40.746477,-73.983897,100003
M010166,40.747097,-73.983446,100004
M010166,40.747764,-73.982958,100005
M010166,40.748363,-73.982520,100006
M010166,40.748363,-73.982520,110001
M010166,40.748431,-73.982471,110002
M010166,40.749048,-73.982027,110003
M010166,40.749666,-73.981572,110004
M010166,40.750175,-73.981201,110005
M010166,40.750175,-73.981201,120001
M010166,40.750280,-73.981124,120002
M010166,40.750903,-73.980673,120003
M010166,40.751521,-73.980221,120004
M010166,40.752078,-73.979816,120005
M010166,40.752078,-73.979816,130001
M010166,40.752141,-73.979770,130002
M010166,40.752800,-73.979286,130003
M010166,40.753379,-73.978857,130004
M010166,40.753379,-73.978857,140001
M010166,40.753478,-73.978784,140002
M010166,40.754098,-73.978333,140003
M010166,40.754729,-73.977874,140004
M010166,40.755277,-73.977472,140005
M010166,40.755277,-73.977472,150001
M010166,40.755355,-73.977416,150002
M010166,40.755978,-73.976961,150003
M010166,40.756546,-73.976549,150004
M010166,40.756546,-73.976549,160001
M010166,40.756606,-73.976506,160002
M010166,40.757232,-73.976043,160003
M010166,40.757791,-73.975640,160004
M010166,40.757791,-73.975640,170001
M010166,40.757857,-73.975592,170002
M010166,40.758486,-73.975133,170003
M010166,40.759112,-73.974678,170004
M010166,40.759673,-73.974272,170005
M010166,40.759673,-73.974272,180001
M010166,40.759740,-73.974223,180002
M010166,40.760363,-73.973765,180003
M010166,40.760989,-73.973310,180004
M010166,40.761548,-73.972901,180005
M010166,40.761548,-73.972901,190001
M010166,40.761612,-73.972854,190002
M010166,40.762287,-73.972360,190003
M010166,40.762892,-73.971919,190004
M010166,40.762892,-73.971919,200001
M010166,40.762962,-73.971868,200002
M010166,40.763585,-73.971410,200003
M010166,40.764216,-73.970958,200004
M010166,40.764721,-73.970584,200005
M010166,40.764721,-73.970584,210001
M010166,40.764839,-73.970496,210002
M010166,40.765465,-73.970041,210003
M010166,40.766090,-73.969586,210004
M010166,40.766477,-73.969304,210005
M010166,40.766477,-73.969304,220001
M010166,40.766716,-73.969130,220002
M010166,40.767342,-73.968672,220003
M010166,40.767876,-73.968283,220004
M010166,40.767876,-73.968283,230001
M010166,40.767967,-73.968216,230002
M010166,40.768596,-73.967758,230003
M010166,40.768850,-73.967573,230004
M010166,40.768850,-73.967573,240001
M010166,40.769219,-73.967306,240002
M010166,40.769847,-73.966847,240003
M010166,40.770113,-73.966653,240004
M010166,40.770113,-73.966653,250001
M010166,40.770475,-73.966388,250002
M010166,40.771098,-73.965937,250003
M010166,40.771782,-73.965435,250004
M010166,40.772187,-73.965138,250005
M010166,40.772187,-73.965138,260001
M010166,40.772462,-73.964936,260002
M010166,40.773099,-73.964474,260003
M010166,40.773733,-73.964011,260004
M010166,40.773877,-73.963906,260005
