shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010025,40.725670,-73.725139,10001
Q010025,40.725522,-73.724780,10002
Q010025,40.724641,-73.724939,10003
Q010025,40.724386,-73.725009,10004
Q010025,40.724274,-73.725074,10005
Q010025,40.724089,-73.725688,10006
Q010025,40.723811,-73.726508,10007
Q010025,40.723469,-73.727350,10008
Q010025,40.723208,-73.728004,10009
Q010025,40.723145,-73.728188,10010
Q010025,40.723022,-73.728597,10011
Q010025,40.722780,-73.729258,10012
Q010025,40.722487,-73.729869,10013
Q010025,40.722195,-73.730368,10014
Q010025,40.722126,-73.730487,10015
Q010025,40.721935,-73.730730,10016
Q010025,40.721653,-73.731027,10017
Q010025,40.720319,-73.732414,10018
Q010025,40.719630,-73.733210,10019
Q010025,40.719586,-73.733268,10020
Q010025,40.718985,-73.734403,10021
Q010025,40.718810,-73.734739,10022
Q010025,40.718553,-73.735299,10023
Q010025,40.718256,-73.736062,10024
Q010025,40.718220,-73.736156,10025
Q010025,40.718114,-73.736423,10026
Q010025,40.718012,-73.736398,10027
Q010025,40.717894,-73.736352,10028
Q010025,40.717803,-73.736280,10029
Q010025,40.717781,-73.736222,10030
Q010025,40.717879,-73.735757,10031
Q010025,40.717893,-73.735640,10032
Q010025,40.717893,-73.735640,20001
Q010025,40.717927,-73.735367,20002
Q010025,40.718429,-73.735311,20003
Q010025,40.718553,-73.735299,20004
Q010025,40.718643,-73.735216,20005
Q010025,40.718874,-73.735277,20006
Q010025,40.718947,-73.735352,20007
Q010025,40.718947,-73.735352,30001
Q010025,40.718954,-73.735359,30002
Q010025,40.719852,-73.735724,30003
Q010025,40.720152,-73.735853,30004
Q010025,40.720152,-73.735853,40001
Q010025,40.720556,-73.736027,40002
Q010025,40.721108,-73.736274,40003
Q010025,40.721234,-73.736339,40004
Q010025,40.721402,-73.736416,40005
Q010025,40.721402,-73.736416,50001
Q010025,40.721781,-73.736589,50002
Q010025,40.722396,-73.736872,50003
Q010025,40.722465,-73.736918,50004
Q010025,40.722561,-73.736983,50005
Q010025,40.722717,-73.737146,50006
Q010025,40.722717,-73.737146,60001
Q010025,40.723643,-73.738119,60002
Q010025,40.724595,-73.739136,60003
Q010025,40.724845,-73.739401,60004
Q010025,40.724845,-73.739401,70001
Q010025,40.725450,-73.740045,70002
Q010025,40.725703,-73.740311,70003
Q010025,40.725753,-73.740376,70004
Q010025,40.725756,-73.740394,70005
Q010025,40.725937,-73.740583,70006
Q010025,40.725937,-73.740583,80001
Q010025,40.726810,-73.741490,80002
Q010025,40.727050,-73.741748,80003
Q010025,40.727050,-73.741748,90001
Q010025,40.729030,-73.743863,90002
Q010025,40.729270,-73.744115,90003
Q010025,40.729270,-73.744115,100001
Q010025,40.729726,-73.744593,100002
Q010025,40.729932,-73.744808,100003
Q010025,40.729710,-73.745171,100004
Q010025,40.729710,-73.745171,110001
Q010025,40.729503,-73.745510,110002
Q010025,40.729057,-73.746190,110003
Q010025,40.728575,-73.746867,110004
Q010025,40.728400,-73.747109,110005
Q010025,40.728400,-73.747109,110006
Q010025,40.728400,-73.747109,120001
Q010025,40.728261,-73.747250,120002
Q010025,40.728025,-73.747637,120003
Q010025,40.727673,-73.748223,120004
Q010025,40.727577,-73.748422,120005
Q010025,40.727200,-73.749213,120006
Q010025,40.727036,-73.749558,120007
Q010025,40.727036,-73.749558,130001
Q010025,40.726809,-73.750034,130002
Q010025,40.726429,-73.750829,130003
Q010025,40.726006,-73.751722,130004
Q010025,40.725829,-73.752090,130005
Q010025,40.725829,-73.752090,140001
Q010025,40.725580,-73.752607,140002
Q010025,40.725448,-73.752857,140003
Q010025,40.725142,-73.753356,140004
Q010025,40.724693,-73.754086,140005
Q010025,40.724475,-73.754448,140006
Q010025,40.724475,-73.754448,150001
Q010025,40.724215,-73.754878,150002
Q010025,40.724201,-73.755022,150003
Q010025,40.724149,-73.755095,150004
Q010025,40.723947,-73.755391,150005
Q010025,40.723843,-73.755457,150006
Q010025,40.723638,-73.755771,150007
Q010025,40.723411,-73.756091,150008
Q010025,40.723411,-73.756091,160001
Q010025,40.723088,-73.756549,160002
Q010025,40.722568,-73.757287,160003
Q010025,40.722370,-73.757571,160004
Q010025,40.722370,-73.757571,170001
Q010025,40.722089,-73.757974,170002
Q010025,40.721599,-73.758676,170003
Q010025,40.721098,-73.759388,170004
Q010025,40.721027,-73.759497,170005
Q010025,40.720874,-73.759764,170006
Q010025,40.720684,-73.760234,170007
Q010025,40.720684,-73.760234,180001
Q010025,40.720658,-73.760299,180002
Q010025,40.720328,-73.761137,180003
Q010025,40.720000,-73.761968,180004
Q010025,40.719858,-73.762292,180005
Q010025,40.719858,-73.762292,190001
Q010025,40.719809,-73.762405,190002
Q010025,40.719637,-73.762766,190003
Q010025,40.719282,-73.763608,190004
Q010025,40.718888,-73.764472,190005
Q010025,40.718820,-73.764589,190006
Q010025,40.718820,-73.764589,200001
Q010025,40.718355,-73.765397,200002
Q010025,40.718126,-73.765798,200003
Q010025,40.718126,-73.765798,210001
Q010025,40.717646,-73.766641,210002
Q010025,40.717354,-73.767172,210003
Q010025,40.717288,-73.767331,210004
Q010025,40.716991,-73.768180,210005
Q010025,40.716680,-73.769072,210006
Q010025,40.716630,-73.769209,210007
Q010025,40.716503,-73.769572,210008
Q010025,40.716503,-73.769572,220001
Q010025,40.716325,-73.770079,220002
Q010025,40.715973,-73.771105,220003
Q010025,40.715843,-73.771471,220004
Q010025,40.715843,-73.771471,230001
Q010025,40.715683,-73.771921,230002
Q010025,40.715397,-73.772759,230003
Q010025,40.715159,-73.773453,230004
Q010025,40.715159,-73.773453,240001
Q010025,40.715119,-73.773572,240002
Q010025,40.714903,-73.774442,240003
Q010025,40.714707,-73.775246,240004
Q010025,40.714707,-73.775246,250001
Q010025,40.714694,-73.775301,250002
Q010025,40.714596,-73.775716,250003
Q010025,40.714484,-73.776186,250004
Q010025,40.714261,-73.777124,250005
Q010025,40.714051,-73.778002,250006
Q010025,40.713847,-73.778872,250007
Q010025,40.713635,-73.779727,250008
Q010025,40.713472,-73.780404,250009
Q010025,40.713472,-73.780404,260001
Q010025,40.713428,-73.780590,260002
Q010025,40.713139,-73.781785,260003
Q010025,40.713003,-73.782366,260004
Q010025,40.712937,-73.782626,260005
Q010025,40.712746,-73.783409,260006
Q010025,40.712746,-73.783409,270001
Q010025,40.712709,-73.783561,270002
Q010025,40.712493,-73.784460,270003
Q010025,40.712284,-73.785355,270004
Q010025,40.712181,-73.785774,270005
Q010025,40.712181,-73.785774,280001
Q010025,40.711826,-73.787218,280002
Q010025,40.711799,-73.787571,280003
Q010025,40.711805,-73.787741,280004
Q010025,40.711822,-73.787846,280005
Q010025,40.711869,-73.788101,280006
Q010025,40.711985,-73.788437,280007
Q010025,40.712029,-73.788577,280008
Q010025,40.712060,-73.788808,280009
Q010025,40.712071,-73.789017,280010
Q010025,40.712028,-73.789306,280011
Q010025,40.711995,-73.789414,280012
Q010025,40.711754,-73.790108,280013
Q010025,40.711754,-73.790108,290001
Q010025,40.711716,-73.790216,290002
Q010025,40.711432,-73.791014,290003
Q010025,40.711069,-73.792028,290004
Q010025,40.710709,-73.793040,290005
Q010025,40.710694,-73.793074,290006
Q010025,40.710694,-73.793074,300001
Q010025,40.710351,-73.793896,300002
Q010025,40.710012,-73.794730,300003
Q010025,40.709753,-73.795618,300004
Q010025,40.709532,-73.796394,300005
Q010025,40.708938,-73.796003,300006
Q010025,40.708754,-73.795884,300007
Q010025,40.708048,-73.795425,300008
Q010025,40.707957,-73.795367,300009
Q010025,40.707859,-73.795512,300010
Q010025,40.707804,-73.795545,300011
Q010025,40.707645,-73.795448,300012
Q010026,40.707849,-73.795518,10001
Q010026,40.707859,-73.795512,10002
Q010026,40.707957,-73.795367,10003
Q010026,40.708048,-73.795425,10004
Q010026,40.707723,-73.796317,10005
Q010026,40.708597,-73.796891,10006
Q010026,40.709119,-73.797220,10007
Q010026,40.709119,-73.797220,20001
Q010026,40.709270,-73.797315,20002
Q010026,40.709532,-73.796394,20003
Q010026,40.709753,-73.795618,20004
Q010026,40.710012,-73.794730,20005
Q010026,40.710344,-73.793912,20006
Q010026,40.710344,-73.793912,30001
Q010026,40.710351,-73.793896,30002
Q010026,40.710709,-73.793040,30003
Q010026,40.711069,-73.792028,30004
Q010026,40.711432,-73.791014,30005
Q010026,40.711469,-73.790909,30006
Q010026,40.711469,-73.790909,40001
Q010026,40.711716,-73.790216,40002
Q010026,40.711995,-73.789414,40003
Q010026,40.712028,-73.789306,40004
Q010026,40.712071,-73.789017,40005
Q010026,40.712060,-73.788808,40006
Q010026,40.712029,-73.788577,40007
Q010026,40.711985,-73.788437,40008
Q010026,40.711869,-73.788101,40009
Q010026,40.711822,-73.787846,40010
Q010026,40.711805,-73.787741,40011
Q010026,40.711799,-73.787571,40012
Q010026,40.711826,-73.787218,40013
Q010026,40.712023,-73.786416,40014
Q010026,40.712023,-73.786416,50001
Q010026,40.712284,-73.785355,50002
Q010026,40.712493,-73.784460,50003
Q010026,40.712709,-73.783561,50004
Q010026,40.712937,-73.782626,50005
Q010026,40.713003,-73.782366,50006
Q010026,40.713107,-73.781921,50007
Q010026,40.713107,-73.781921,60001
Q010026,40.713139,-73.781785,60002
Q010026,40.713428,-73.780590,60003
Q010026,40.713602,-73.779861,60004
Q010026,40.713602,-73.779861,70001
Q010026,40.713635,-73.779727,70002
Q010026,40.713847,-73.778872,70003
Q010026,40.714051,-73.778002,70004
Q010026,40.714161,-73.777541,70005
Q010026,40.714161,-73.777541,80001
Q010026,40.714261,-73.777124,80002
Q010026,40.714484,-73.776186,80003
Q010026,40.714545,-73.775930,80004
Q010026,40.714545,-73.775930,90001
Q010026,40.714596,-73.775716,90002
Q010026,40.714694,-73.775301,90003
Q010026,40.714903,-73.774442,90004
Q010026,40.715119,-73.773572,90005
Q010026,40.715371,-73.772835,90006
Q010026,40.715371,-73.772835,100001
Q010026,40.715397,-73.772759,100002
Q010026,40.715683,-73.771921,100003
Q010026,40.715973,-73.771105,100004
Q010026,40.716100,-73.770736,100005
Q010026,40.716100,-73.770736,110001
Q010026,40.716325,-73.770079,110002
Q010026,40.716630,-73.769209,110003
Q010026,40.716680,-73.769072,110004
Q010026,40.716805,-73.768711,110005
Q010026,40.716805,-73.768711,120001
Q010026,40.716991,-73.768180,120002
Q010026,40.717288,-73.767331,120003
Q010026,40.717354,-73.767172,120004
Q010026,40.717426,-73.767041,120005
Q010026,40.717426,-73.767041,130001
Q010026,40.717646,-73.766641,130002
Q010026,40.718355,-73.765397,130003
Q010026,40.718528,-73.765096,130004
Q010026,40.718528,-73.765096,140001
Q010026,40.718888,-73.764472,140002
Q010026,40.719239,-73.763701,140003
Q010026,40.719239,-73.763701,150001
Q010026,40.719282,-73.763608,150002
Q010026,40.719637,-73.762766,150003
Q010026,40.719809,-73.762405,150004
Q010026,40.719945,-73.762094,150005
Q010026,40.719945,-73.762094,160001
Q010026,40.720000,-73.761968,160002
Q010026,40.720328,-73.761137,160003
Q010026,40.720658,-73.760299,160004
Q010026,40.720874,-73.759764,160005
Q010026,40.720978,-73.759582,160006
Q010026,40.720978,-73.759582,170001
Q010026,40.721027,-73.759497,170002
Q010026,40.721098,-73.759388,170003
Q010026,40.721599,-73.758676,170004
Q010026,40.721799,-73.758389,170005
Q010026,40.721799,-73.758389,180001
Q010026,40.722089,-73.757974,180002
Q010026,40.722568,-73.757287,180003
Q010026,40.723088,-73.756549,180004
