route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Q44+,CS_B8-Weekday,CS_B8-Weekday-017000_SBS44_1,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-020000_SBS44_2,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-023000_SBS44_3,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-025000_SBS44_7,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-026500_SBS44_4,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-028000_SBS44_10,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-029200_SBS44_5,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-030400_SBS44_6,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-032800_SBS44_8,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-035700_SBS44_2,SELECT BUS JAMAICA via MAIN ST,1,SBS440023
Q44+,CS_B8-Weekday,CS_B8-Weekday-034000_SBS44_9,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-034900_SBS44_11,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-035700_SBS44_19,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-037100_SBS44_13,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-037700_SBS44_1,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-038200_SBS44_15,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-038700_SBS44_22,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-039200_SBS44_16,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-039700_SBS44_24,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-040200_SBS44_17,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-040700_SBS44_7,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-041200_SBS44_27,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-041700_SBS44_18,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-042700_SBS44_20,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-043200_SBS44_31,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-043800_SBS44_21,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-044400_SBS44_32,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-045000_SBS44_10,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-045600_SBS44_23,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-046200_SBS44_33,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-046800_SBS44_25,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-047400_SBS44_26,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-048100_SBS44_37,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-048800_SBS44_14,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-049500_SBS44_29,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-050200_SBS44_30,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-051600_SBS44_3,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-052300_SBS44_2,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-053000_SBS44_34,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-053700_SBS44_35,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-054400_SBS44_36,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-079700_SBS44_13,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-080500_SBS44_11,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
Q44+,CS_B8-Weekday,CS_B8-Weekday-081300_SBS44_37,SELECT BUS JAMAICA via MAIN ST,1,SBS440022
