shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X10453,40.560771,-74.171014,10001
X10453,40.560683,-74.170992,10002
X10453,40.560444,-74.170938,10003
X10453,40.560386,-74.170894,10004
X10453,40.560456,-74.170308,10005
X10453,40.560366,-74.169833,10006
X10453,40.560243,-74.169796,10007
X10453,40.559683,-74.169665,10008
X10453,40.559560,-74.169582,10009
X10453,40.559126,-74.169477,10010
X10453,40.558410,-74.169317,10011
X10453,40.557699,-74.169167,10012
X10453,40.556972,-74.169003,10013
X10453,40.556694,-74.168940,10014
X10453,40.556694,-74.168940,20001
X10453,40.556270,-74.168843,20002
X10453,40.555567,-74.168683,20003
X10453,40.554851,-74.168523,20004
X10453,40.554132,-74.168366,20005
X10453,40.553432,-74.168206,20006
X10453,40.552947,-74.168104,20007
X10453,40.552716,-74.168053,20008
X10453,40.552076,-74.167910,20009
X10453,40.552076,-74.167910,30001
X10453,40.552000,-74.167893,30002
X10453,40.551888,-74.167864,30003
X10453,40.551289,-74.167733,30004
X10453,40.550573,-74.167573,30005
X10453,40.550256,-74.167501,30006
X10453,40.550256,-74.167501,40001
X10453,40.549879,-74.167417,40002
X10453,40.549166,-74.167260,40003
X10453,40.548876,-74.167196,40004
X10453,40.548876,-74.167196,50001
X10453,40.548447,-74.167100,50002
X10453,40.548109,-74.167027,50003
X10453,40.547873,-74.166919,50004
X10453,40.547777,-74.166832,50005
X10453,40.547703,-74.166763,50006
X10453,40.547451,-74.166425,50007
X10453,40.547342,-74.166234,50008
X10453,40.547109,-74.166197,50009
X10453,40.545396,-74.165743,50010
X10453,40.544653,-74.165489,50011
X10453,40.544433,-74.165402,50012
X10453,40.544337,-74.165359,50013
X10453,40.544274,-74.165298,50014
X10453,40.544203,-74.165229,50015
X10453,40.544112,-74.165129,50016
X10453,40.544112,-74.165129,60001
X10453,40.543800,-74.164786,60002
X10453,40.543302,-74.164230,60003
X10453,40.543222,-74.164137,60004
X10453,40.542641,-74.163592,60005
X10453,40.541503,-74.162528,60006
X10453,40.541244,-74.162285,60007
X10453,40.541244,-74.162285,70001
X10453,40.539897,-74.161023,70002
X10453,40.538335,-74.159555,70003
X10453,40.538074,-74.159308,70004
X10453,40.538074,-74.159308,80001
X10453,40.537899,-74.159141,80002
X10453,40.537235,-74.158520,80003
X10453,40.536624,-74.157940,80004
X10453,40.536366,-74.157658,80005
X10453,40.536213,-74.157467,80006
X10453,40.535966,-74.157042,80007
X10453,40.535353,-74.155933,80008
X10453,40.535171,-74.155603,80009
X10453,40.535171,-74.155603,90001
X10453,40.534304,-74.154038,90002
X10453,40.534860,-74.153388,90003
X10453,40.535027,-74.153198,90004
X10453,40.534967,-74.153097,90005
X10453,40.535424,-74.152576,90006
X10453,40.535637,-74.152329,90007
X10453,40.535637,-74.152329,100001
X10453,40.535899,-74.152023,100002
X10453,40.536322,-74.151535,100003
X10453,40.536773,-74.151014,100004
X10453,40.537235,-74.150469,100005
X10453,40.537605,-74.150035,100006
X10453,40.537605,-74.150035,110001
X10453,40.537672,-74.149955,110002
X10453,40.538035,-74.149539,110003
X10453,40.538686,-74.148982,110004
X10453,40.539261,-74.148498,110005
X10453,40.539924,-74.147943,110006
X10453,40.539924,-74.147943,120001
X10453,40.540033,-74.147852,120002
X10453,40.540973,-74.147066,120003
X10453,40.542388,-74.145868,120004
X10453,40.542492,-74.145774,120005
X10453,40.542623,-74.145615,120006
X10453,40.542623,-74.145615,130001
X10453,40.543262,-74.144837,130002
X10453,40.543575,-74.144564,130003
X10453,40.543844,-74.144406,130004
X10453,40.543971,-74.144331,130005
X10453,40.544262,-74.144080,130006
X10453,40.544702,-74.143538,130007
X10453,40.545400,-74.142672,130008
X10453,40.545604,-74.142401,130009
X10453,40.545604,-74.142401,140001
X10453,40.545887,-74.142025,140002
X10453,40.546387,-74.141357,140003
X10453,40.547096,-74.140398,140004
X10453,40.547792,-74.139467,140005
X10453,40.547861,-74.139378,140006
X10453,40.548062,-74.139111,140007
X10453,40.548062,-74.139111,150001
X10453,40.548441,-74.138609,150002
X10453,40.548641,-74.138379,150003
X10453,40.549304,-74.137646,150004
X10453,40.549543,-74.137330,150005
X10453,40.549791,-74.136950,150006
X10453,40.549791,-74.136950,160001
X10453,40.550384,-74.136044,160002
X10453,40.551245,-74.134491,160003
X10453,40.551474,-74.134146,160004
X10453,40.552309,-74.133133,160005
X10453,40.553068,-74.132224,160006
X10453,40.553447,-74.131735,160007
X10453,40.553542,-74.131601,160008
X10453,40.553542,-74.131601,170001
X10453,40.554431,-74.130341,170002
X10453,40.555742,-74.128904,170003
X10453,40.556501,-74.128067,170004
X10453,40.556846,-74.127693,170005
X10453,40.556846,-74.127693,180001
X10453,40.557817,-74.126641,180002
X10453,40.558367,-74.126044,180003
X10453,40.558914,-74.125448,180004
X10453,40.559056,-74.125297,180005
X10453,40.559133,-74.125189,180006
X10453,40.559133,-74.125189,190001
X10453,40.559290,-74.124966,190002
X10453,40.559400,-74.124740,190003
X10453,40.559469,-74.124571,190004
X10453,40.559530,-74.124323,190005
X10453,40.559568,-74.124096,190006
X10453,40.559588,-74.123808,190007
X10453,40.559563,-74.123455,190008
X10453,40.559433,-74.122422,190009
X10453,40.559411,-74.122239,190010
X10453,40.559423,-74.121742,190011
X10453,40.559453,-74.121512,190012
X10453,40.559505,-74.121307,190013
X10453,40.559519,-74.121242,190014
X10453,40.559635,-74.120947,190015
X10453,40.559759,-74.120692,190016
X10453,40.559860,-74.120545,190017
X10453,40.560355,-74.119991,190018
X10453,40.560609,-74.119722,190019
X10453,40.560609,-74.119722,200001
X10453,40.561240,-74.119053,200002
X10453,40.562103,-74.118137,200003
X10453,40.562699,-74.117498,200004
X10453,40.563880,-74.116301,200005
X10453,40.564405,-74.115769,200006
X10453,40.564902,-74.115295,200007
X10453,40.565205,-74.114984,200008
X10453,40.565205,-74.114984,210001
X10453,40.565864,-74.114307,210002
X10453,40.566460,-74.113696,210003
X10453,40.566714,-74.113444,210004
X10453,40.566714,-74.113444,220001
X10453,40.567598,-74.112564,220002
X10453,40.568155,-74.111993,220003
X10453,40.568735,-74.111433,220004
X10453,40.570304,-74.109826,220005
X10453,40.570304,-74.109826,230001
X10453,40.570430,-74.109697,230002
X10453,40.571007,-74.109122,230003
X10453,40.572098,-74.108037,230004
X10453,40.572642,-74.107487,230005
X10453,40.573189,-74.106933,230006
X10453,40.573746,-74.106376,230007
X10453,40.574496,-74.105629,230008
X10453,40.574756,-74.105368,230009
X10453,40.574756,-74.105368,240001
X10453,40.575060,-74.105064,240002
X10453,40.575626,-74.104479,240003
X10453,40.575947,-74.104141,240004
X10453,40.576400,-74.103706,240005
X10453,40.576502,-74.103688,240006
X10453,40.576839,-74.103366,240007
X10453,40.576839,-74.103366,250001
X10453,40.577252,-74.102973,250002
X10453,40.577944,-74.102315,250003
X10453,40.578246,-74.102028,250004
X10453,40.578246,-74.102028,260001
X10453,40.578623,-74.101668,260002
X10453,40.578873,-74.101413,260003
X10453,40.579170,-74.101053,260004
X10453,40.579689,-74.100392,260005
X10453,40.580208,-74.099741,260006
X10453,40.580725,-74.099090,260007
X10453,40.581241,-74.098439,260008
X10453,40.581465,-74.098158,260009
X10453,40.581465,-74.098158,270001
X10453,40.581813,-74.097720,270002
X10453,40.583044,-74.096170,270003
X10453,40.583368,-74.095760,270004
X10453,40.583368,-74.095760,280001
X10453,40.583624,-74.095437,280002
X10453,40.584140,-74.094790,280003
X10453,40.584140,-74.094790,290001
X10453,40.584203,-74.094710,290002
X10453,40.584745,-74.094023,290003
X10453,40.585239,-74.093408,290004
X10453,40.585483,-74.093102,290005
X10453,40.585483,-74.093102,300001
X10453,40.585654,-74.092887,300002
X10453,40.585940,-74.092617,300003
X10453,40.586069,-74.092506,300004
X10453,40.586160,-74.092348,300005
X10453,40.586484,-74.092056,300006
X10453,40.586561,-74.091985,300007
X10453,40.587036,-74.091557,300008
X10453,40.587602,-74.091057,300009
X10453,40.587856,-74.090832,300010
X10453,40.587856,-74.090832,310001
X10453,40.588434,-74.090320,310002
X10453,40.589005,-74.089820,310003
X10453,40.589577,-74.089321,310004
X10453,40.590145,-74.088814,310005
X10453,40.590719,-74.088303,310006
X10453,40.590854,-74.088185,310007
X10453,40.590854,-74.088185,320001
X10453,40.591277,-74.087814,320002
X10453,40.591326,-74.087782,320003
X10453,40.591738,-74.087523,320004
X10453,40.592177,-74.087337,320005
X10453,40.592765,-74.087096,320006
X10453,40.593484,-74.086798,320007
X10453,40.594138,-74.086522,320008
X10453,40.595887,-74.085793,320009
X10453,40.596239,-74.085654,320010
X10453,40.596239,-74.085654,330001
X10453,40.596710,-74.085467,330002
X10453,40.596908,-74.085348,330003
X10453,40.597136,-74.085143,330004
X10453,40.597301,-74.084942,330005
X10453,40.597408,-74.084780,330006
X10453,40.597513,-74.084557,330007
