route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
S46,CA_B8-Weekday,CA_B8-Weekday-006000_S4696_302,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-012000_S4696_303,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-018000_S4696_301,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-024000_S4696_302,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-030000_MISC_419,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-033000_MISC_413,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-036000_MISC_409,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-039000_S4696_301,W SHORE PLZ via CASTLETON,1,S460215
S46,CA_B8-Weekday,CA_B8-Weekday-048500_MISC_419,W SHORE PLZ via CASTLETON,1,S460215
S46,CA_B8-Weekday,CA_B8-Weekday-043500_MISC_450,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-042000_S4696_304,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-044500_MISC_413,W SHORE PLZ via CASTLETON,1,S460215
S46,CA_B8-Weekday,CA_B8-Weekday-045500_S4696_306,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-046500_MISC_453,W SHORE PLZ via CASTLETON,1,S460215
S46,CA_B8-Weekday,CA_B8-Weekday-047500_MISC_411,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-049500_MISC_462,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-051000_S4696_307,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-052500_MISC_471,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-054000_MISC_451,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-055500_S4696_305,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-056500_MISC_450,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-058500_S4696_309,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-059700_MISC_456,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-062100_MISC_478,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-063300_MISC_458,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-064500_S4696_307,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-065700_MISC_427,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-066900_S66_303,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-069300_S4696_304,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-070500_MISC_441,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-071700_S4696_309,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-072900_MISC_456,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-076500_MISC_427,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-077700_S4696_306,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-078900_S66_303,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-081300_MISC_482,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-084000_MISC_468,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-085000_S4696_311,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-086000_MISC_452,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-087000_MISC_484,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-088000_MISC_492,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-089000_MISC_464,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-094000_MISC_499,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-096300_MISC_512,MARINRS HBR via CASTLETON,1,S460192
S46,CA_B8-Weekday,CA_B8-Weekday-097500_MISC_473,TELEPORT via CASTLETON,1,S460214
S46,CA_B8-Weekday,CA_B8-Weekday-112800_MISC_461,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-114300_S4696_312,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-117000_MISC_486,W SHORE PLZ via CASTLETON,1,S460191
S96,CA_B8-Weekday,CA_B8-Weekday-121000_MISC_479,LTD W SHORE PLZ via CASTLETON,1,S960057
S96,CA_B8-Weekday,CA_B8-Weekday-123000_S4696_313,LTD W SHORE PLZ via CASTLETON,1,S960057
S96,CA_B8-Weekday,CA_B8-Weekday-129000_MISC_524,LTD W SHORE PLZ via CASTLETON,1,S960057
S96,CA_B8-Weekday,CA_B8-Weekday-132000_S4696_312,LTD W SHORE PLZ via CASTLETON,1,S960057
S46,CA_B8-Weekday,CA_B8-Weekday-135000_S4696_313,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-138300_MISC_524,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-141000_S4696_312,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-119300_MISC_502,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-121300_MISC_532,W SHORE PLZ via CASTLETON,1,S460191
S46,CA_B8-Weekday,CA_B8-Weekday-123300_S4696_308,MARINRS HBR via CASTLETON,1,S460192
S96,CA_B8-Weekday,CA_B8-Weekday-126000_MISC_517,LTD W SHORE PLZ via CASTLETON,1,S960057
S46,CA_B8-Weekday,CA_B8-Weekday-129300_MISC_502,MARINRS HBR via CASTLETON,1,S460192
S46,CA_B8-Weekday,CA_B8-Weekday-132300_S4696_314,MARINRS HBR via CASTLETON,1,S460192
S46,CA_B8-Weekday,CA_B8-Weekday-001500_S4696_302,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-007500_S4696_303,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-013500_S4696_301,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-019500_S4696_302,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-025000_S4696_303,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-030000_MISC_422,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-038000_MISC_422,ST GEORGE FERRY via CASTLTN,0,S460186
S46,CA_B8-Weekday,CA_B8-Weekday-037000_S4696_304,ST GEORGE FERRY via CASTLTN,0,S460186
S96,CA_B8-Weekday,CA_B8-Weekday-042100_MISC_409,LTD ST GEORGE via CASTLETON,0,S960062
S46,CA_B8-Weekday,CA_B8-Weekday-044700_S4696_303,ST GEORGE FERRY via CASTLTN,0,S460186
S46,CA_B8-Weekday,CA_B8-Weekday-048500_MISC_451,ST GEORGE FERRY via CASTLTN,0,S460186
S46,CA_B8-Weekday,CA_B8-Weekday-049900_MISC_450,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-051700_MISC_413,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-057600_MISC_458,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-060000_MISC_471,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-058800_S4696_307,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-061200_S66_303,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-062400_S4696_310,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-063600_S4696_304,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-064800_S4696_308,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-069600_S4696_305,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-072000_S66_303,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-070800_MISC_427,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-073200_S4696_310,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-075600_MISC_441,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-076800_MISC_468,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-078000_S4696_311,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-080400_MISC_484,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-081600_MISC_464,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-085200_S4696_306,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-087600_MISC_480,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-090000_S4898_312,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-091200_MISC_468,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-092400_S4696_311,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-093600_MISC_452,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-096000_MISC_492,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-097000_MISC_464,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-098000_MISC_466,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-100000_MISC_499,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-101000_S4696_314,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-102000_MISC_512,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-104000_MISC_473,ST GEORGE FERRY via CASTLTN,0,S460211
S46,CA_B8-Weekday,CA_B8-Weekday-105000_MISC_454,ST GEORGE FERRY via CASTLTN,0,S460210
S46,CA_B8-Weekday,CA_B8-Weekday-107700_S4696_310,ST GEORGE FERRY via CASTLTN,0,S460210
