shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
B10173,29338,40.578199,-73.939761
B10173,29339,40.578252,-73.939799
B10173,29340,40.578352,-73.939819
B10173,29341,40.578329,-73.940025
B10173,29342,40.578329,-73.940025
B10173,29343,40.578252,-73.940719
B10173,29344,40.578142,-73.941669
B10173,29345,40.578042,-73.942579
B10173,29346,40.577996,-73.943016
B10173,29347,40.577996,-73.943016
B10173,29348,40.577942,-73.943529
B10173,29349,40.577912,-73.943769
B10173,29350,40.577842,-73.944479
B10173,29351,40.577824,-73.944625
B10173,29352,40.577824,-73.944625
B10173,29353,40.577792,-73.944889
B10173,29354,40.577742,-73.945369
B10173,29355,40.577644,-73.946185
B10173,29356,40.577644,-73.946185
B10173,29357,40.577632,-73.946289
B10173,29358,40.577522,-73.947269
B10173,29359,40.577422,-73.948259
B10173,29360,40.577312,-73.949189
B10173,29361,40.577277,-73.949539
B10173,29362,40.577277,-73.949539
B10173,29363,40.577222,-73.950099
B10173,29364,40.577122,-73.951009
B10173,29365,40.577085,-73.951378
B10173,29366,40.577085,-73.951378
B10173,29367,40.577032,-73.951919
B10173,29368,40.576938,-73.952711
B10173,29369,40.576938,-73.952711
B10173,29370,40.576932,-73.952759
B10173,29371,40.576872,-73.952889
B10173,29372,40.576752,-73.953559
B10173,29373,40.577412,-73.953699
B10173,29374,40.577442,-73.953739
B10173,29375,40.577402,-73.953999
B10173,29376,40.577344,-73.954377
B10173,29377,40.577344,-73.954377
B10173,29378,40.577322,-73.954519
B10173,29379,40.577322,-73.954659
B10173,29380,40.577352,-73.954799
B10173,29381,40.577482,-73.955219
B10173,29382,40.577662,-73.955789
B10173,29383,40.577742,-73.956029
B10173,29384,40.577863,-73.956429
B10173,29385,40.577863,-73.956429
B10173,29386,40.577932,-73.956659
B10173,29387,40.577992,-73.956879
B10173,29388,40.578002,-73.956919
B10173,29389,40.578242,-73.957769
B10173,29390,40.578262,-73.957979
B10173,29391,40.578252,-73.958159
B10173,29392,40.578252,-73.958173
B10173,29393,40.578252,-73.958173
B10173,29394,40.578252,-73.958259
B10173,29395,40.578182,-73.958709
B10173,29396,40.578122,-73.958959
B10173,29397,40.578102,-73.959039
B10173,29398,40.577962,-73.959629
B10173,29399,40.578012,-73.959909
B10173,29400,40.577912,-73.960222
B10173,29401,40.577912,-73.960222
B10173,29402,40.577802,-73.960569
B10173,29403,40.577602,-73.961469
B10173,29404,40.577402,-73.962389
B10173,29405,40.577314,-73.962804
B10173,29406,40.577314,-73.962804
B10173,29407,40.577212,-73.963289
B10173,29408,40.577022,-73.964189
B10173,29409,40.576942,-73.964569
B10173,29410,40.576942,-73.964569
B10173,29411,40.576832,-73.965089
B10173,29412,40.576732,-73.965539
B10173,29413,40.576652,-73.965879
B10173,29414,40.576560,-73.966328
B10173,29415,40.576560,-73.966328
B10173,29416,40.576542,-73.966419
B10173,29417,40.576392,-73.967179
B10173,29418,40.576352,-73.967379
B10173,29419,40.576347,-73.967427
B10173,29420,40.576347,-73.967427
B10173,29421,40.576302,-73.967909
B10173,29422,40.576292,-73.968259
B10173,29423,40.576312,-73.968529
B10173,29424,40.576972,-73.968399
B10173,29425,40.577572,-73.968279
B10173,29426,40.578442,-73.968059
B10173,29427,40.578542,-73.968039
B10173,29428,40.578759,-73.967984
B10173,29429,40.578759,-73.967984
B10173,29430,40.579702,-73.967749
B10173,29431,40.580172,-73.967649
B10173,29432,40.580226,-73.967641
B10173,29433,40.580226,-73.967641
B10173,29434,40.580242,-73.967639
B10173,29435,40.580352,-73.967619
B10173,29436,40.580892,-73.967469
B10173,29437,40.581425,-73.967326
B10173,29438,40.581425,-73.967326
B10173,29439,40.581492,-73.967309
B10173,29440,40.581542,-73.967299
B10173,29441,40.582522,-73.967079
B10173,29442,40.583352,-73.966889
B10173,29443,40.583922,-73.966779
B10173,29444,40.584022,-73.966759
B10173,29445,40.584542,-73.966619
B10173,29446,40.585312,-73.966449
B10173,29447,40.585494,-73.966412
B10173,29448,40.585494,-73.966412
B10173,29449,40.585802,-73.966349
B10173,29450,40.586042,-73.966299
B10173,29451,40.586642,-73.966159
B10173,29452,40.588872,-73.965599
