shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
BX010044,40.880624,-73.886010,10001
BX010044,40.880472,-73.885939,10002
BX010044,40.879792,-73.885819,10003
BX010044,40.879522,-73.885799,10004
BX010044,40.879316,-73.885768,10005
BX010044,40.879316,-73.885768,20001
BX010044,40.879252,-73.885759,20002
BX010044,40.879212,-73.885639,20003
BX010044,40.879092,-73.885419,20004
BX010044,40.879032,-73.885309,20005
BX010044,40.878862,-73.885029,20006
BX010044,40.878622,-73.884869,20007
BX010044,40.878352,-73.885009,20008
BX010044,40.877892,-73.885199,20009
BX010044,40.877372,-73.885429,20010
BX010044,40.877152,-73.885529,20011
BX010044,40.877002,-73.885599,20012
BX010044,40.876929,-73.885631,20013
BX010044,40.876929,-73.885631,30001
BX010044,40.876552,-73.885799,30002
BX010044,40.876122,-73.885979,30003
BX010044,40.875902,-73.886099,30004
BX010044,40.875382,-73.886339,30005
BX010044,40.874812,-73.886619,30006
BX010044,40.874712,-73.886669,30007
BX010044,40.874622,-73.886709,30008
BX010044,40.874372,-73.886809,30009
BX010044,40.874289,-73.886846,30010
BX010044,40.874289,-73.886846,40001
BX010044,40.874012,-73.886969,40002
BX010044,40.873842,-73.887049,40003
BX010044,40.873622,-73.887149,40004
BX010044,40.873382,-73.887249,40005
BX010044,40.873022,-73.887409,40006
BX010044,40.872742,-73.887559,40007
BX010044,40.872672,-73.887599,40008
BX010044,40.872612,-73.887639,40009
BX010044,40.872522,-73.887709,40010
BX010044,40.872282,-73.887889,40011
BX010044,40.872202,-73.887959,40012
BX010044,40.872132,-73.888039,40013
BX010044,40.871962,-73.888219,40014
BX010044,40.871696,-73.888592,40015
BX010044,40.871696,-73.888592,50001
BX010044,40.871692,-73.888599,50002
BX010044,40.871582,-73.888799,50003
BX010044,40.871522,-73.888899,50004
BX010044,40.870592,-73.890509,50005
BX010044,40.870466,-73.890725,50006
BX010044,40.870466,-73.890725,60001
BX010044,40.870232,-73.891129,60002
BX010044,40.870082,-73.891329,60003
BX010044,40.869952,-73.891489,60004
BX010044,40.869812,-73.891639,60005
BX010044,40.869582,-73.891869,60006
BX010044,40.868952,-73.892359,60007
BX010044,40.868029,-73.893067,60008
BX010044,40.868029,-73.893067,70001
BX010044,40.867922,-73.893149,70002
BX010044,40.866702,-73.894079,70003
BX010044,40.866642,-73.894129,70004
BX010044,40.866212,-73.894459,70005
BX010044,40.866152,-73.894509,70006
BX010044,40.866032,-73.894589,70007
BX010044,40.865752,-73.894799,70008
BX010044,40.865747,-73.894802,70009
BX010044,40.865747,-73.894802,80001
BX010044,40.865412,-73.895069,80002
BX010044,40.865222,-73.895209,80003
BX010044,40.864272,-73.895939,80004
BX010044,40.863963,-73.896173,80005
BX010044,40.863963,-73.896173,90001
BX010044,40.863112,-73.896819,90002
BX010044,40.862462,-73.897329,90003
BX010044,40.862208,-73.897455,90004
BX010044,40.862208,-73.897455,100001
BX010044,40.861822,-73.897649,100002
BX010044,40.861412,-73.897869,100003
BX010044,40.860872,-73.898179,100004
BX010044,40.860392,-73.898439,100005
BX010044,40.860192,-73.898547,100006
BX010044,40.860192,-73.898547,110001
BX010044,40.859352,-73.898999,110002
BX010044,40.858722,-73.899379,110003
BX010044,40.858447,-73.899540,110004
BX010044,40.858447,-73.899540,120001
BX010044,40.857942,-73.899839,120002
BX010044,40.857872,-73.899879,120003
BX010044,40.857472,-73.900129,120004
BX010044,40.856752,-73.900529,120005
BX010044,40.856472,-73.900709,120006
BX010044,40.856102,-73.900959,120007
BX010044,40.855795,-73.901161,120008
BX010044,40.855795,-73.901161,130001
BX010044,40.855662,-73.901249,130002
BX010044,40.855022,-73.901729,130003
BX010044,40.854612,-73.902059,130004
BX010044,40.854243,-73.902354,130005
BX010044,40.854243,-73.902354,140001
BX010044,40.853952,-73.902589,140002
BX010044,40.853592,-73.902879,140003
BX010044,40.852614,-73.903647,140004
BX010044,40.852614,-73.903647,150001
BX010044,40.852522,-73.903719,150002
BX010044,40.852472,-73.903759,150003
BX010044,40.852422,-73.903799,150004
BX010044,40.852282,-73.903919,150005
BX010044,40.851672,-73.904419,150006
BX010044,40.851332,-73.904689,150007
BX010044,40.851211,-73.904785,150008
BX010044,40.851211,-73.904785,160001
BX010044,40.851132,-73.904849,160002
BX010044,40.850562,-73.905299,160003
BX010044,40.850342,-73.905479,160004
BX010044,40.850002,-73.905779,160005
BX010044,40.849962,-73.905809,160006
BX010044,40.849892,-73.905869,160007
BX010044,40.849642,-73.906069,160008
BX010044,40.849542,-73.906149,160009
BX010044,40.849442,-73.906229,160010
BX010044,40.849332,-73.906319,160011
BX010044,40.848967,-73.906656,160012
BX010044,40.848967,-73.906656,170001
BX010044,40.848932,-73.906689,170002
BX010044,40.848572,-73.906999,170003
BX010044,40.848142,-73.907439,170004
BX010044,40.847842,-73.907759,170005
BX010044,40.847562,-73.908049,170006
BX010044,40.847312,-73.908369,170007
BX010044,40.847172,-73.908599,170008
BX010044,40.847062,-73.908749,170009
BX010044,40.846502,-73.909539,170010
BX010044,40.846372,-73.909709,170011
BX010044,40.846246,-73.909905,170012
BX010044,40.846246,-73.909905,180001
BX010044,40.846192,-73.909989,180002
BX010044,40.845992,-73.910269,180003
BX010044,40.845862,-73.910449,180004
BX010044,40.845732,-73.910639,180005
BX010044,40.845592,-73.910819,180006
BX010044,40.845432,-73.910989,180007
BX010044,40.845182,-73.911199,180008
BX010044,40.845032,-73.911329,180009
BX010044,40.844872,-73.911439,180010
BX010044,40.844832,-73.911462,180011
BX010044,40.844832,-73.911462,190001
BX010044,40.844732,-73.911519,190002
BX010044,40.844572,-73.911619,190003
BX010044,40.844382,-73.911699,190004
BX010044,40.844112,-73.911829,190005
BX010044,40.843832,-73.911929,190006
BX010044,40.843312,-73.912089,190007
BX010044,40.843172,-73.912139,190008
BX010044,40.842890,-73.912232,190009
BX010044,40.842890,-73.912232,200001
BX010044,40.842382,-73.912399,200002
BX010044,40.841682,-73.912629,200003
BX010044,40.841172,-73.912809,200004
BX010044,40.840942,-73.912859,200005
BX010044,40.840618,-73.912976,200006
BX010044,40.840618,-73.912976,210001
BX010044,40.840502,-73.913019,210002
BX010044,40.840272,-73.913109,210003
BX010044,40.840212,-73.913129,210004
BX010044,40.839862,-73.913279,210005
BX010044,40.839822,-73.913299,210006
BX010044,40.839562,-73.913439,210007
BX010044,40.839512,-73.913469,210008
BX010044,40.839172,-73.913669,210009
