service_id,date,exception_type
7564,20190601,1
7576,20190602,1
7566,20190603,1
7568,20190604,1
7568,20190605,1
7571,20190606,1
7570,20190607,1
7496,20190608,1
7503,20190609,1
7572,20190610,1
7575,20190611,1
7568,20190612,1
7568,20190613,1
7549,20190614,1
7496,20190615,1
7503,20190616,1
7572,20190617,1
7575,20190618,1
7574,20190619,1
7573,20190620,1
7569,20190621,1
7496,20190622,1
7503,20190623,1
7572,20190624,1
7575,20190625,1
7574,20190626,1
7568,20190627,1
7549,20190628,1
7496,20190629,1
7593,20190630,1
7594,20190701,1
7595,20190702,1
7595,20190703,1
7595,20190704,1
7596,20190705,1
7597,20190706,1
7593,20190707,1
7594,20190708,1
7595,20190709,1
7595,20190710,1
7595,20190711,1
7596,20190712,1
7597,20190713,1
7593,20190714,1
7594,20190715,1
7595,20190716,1
7595,20190717,1
7595,20190718,1
7596,20190719,1
7597,20190720,1
7593,20190721,1
7594,20190722,1
7595,20190723,1
7595,20190724,1
7595,20190725,1
7596,20190726,1
7597,20190727,1
7593,20190728,1
7594,20190729,1
7595,20190730,1
7595,20190731,1
7595,20190801,1
7596,20190802,1
7597,20190803,1
7593,20190804,1
7594,20190805,1
7595,20190806,1
7595,20190807,1
7595,20190808,1
7596,20190809,1
7597,20190810,1
7593,20190811,1
7594,20190812,1
7595,20190813,1
7595,20190814,1
7595,20190815,1
7596,20190816,1
7597,20190817,1
7593,20190818,1
7594,20190819,1
7595,20190820,1
7595,20190821,1
7595,20190822,1
7596,20190823,1
7597,20190824,1
7593,20190825,1
7594,20190826,1
7595,20190827,1
7595,20190828,1
7595,20190829,1
7596,20190830,1
7597,20190831,1
7593,20190901,1
7594,20190902,1
7595,20190903,1
7595,20190904,1
7595,20190905,1
7596,20190906,1
7597,20190907,1
7593,20190908,1
7594,20190909,1
7595,20190910,1
7595,20190911,1
7595,20190912,1
7596,20190913,1
7597,20190914,1
7593,20190915,1
7594,20190916,1
7595,20190917,1
7595,20190918,1
7595,20190919,1
7596,20190920,1
7597,20190921,1
7593,20190922,1
7594,20190923,1
7595,20190924,1
7595,20190925,1
7595,20190926,1
7596,20190927,1
7597,20190928,1
