from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9081296,9081220,1,
124,124,,,9081297,9081221,1,
124,124,,,9081299,9081223,1,
124,124,,,9081301,9081227,1,
124,124,,,9081303,9081229,1,
124,124,,,9081304,9081231,1,
124,124,,,9081306,9081233,1,
124,124,,,9081307,9081235,1,
124,124,,,9081309,9081237,1,
124,124,,,9081311,9081239,1,
124,124,,,9081313,9081241,1,
124,124,,,9081315,9081243,1,
124,124,,,9081317,9081245,1,
124,124,,,9081319,9081247,1,
124,124,,,9081321,9081249,1,
124,124,,,9081323,9081251,1,
124,124,,,9081327,9081255,1,
124,124,,,9081331,9081259,1,
124,124,,,9081335,9081263,1,
124,124,,,9081337,9081265,1,
124,124,,,9081339,9081267,1,
124,124,,,9081341,9081269,1,
124,124,,,9081343,9081271,1,
124,124,,,9081347,9081275,1,
124,124,,,9081350,9081279,1,
124,124,,,9081353,9081283,1,
124,124,,,9081393,9081283,1,
124,124,,,9081356,9081285,1,
124,124,,,9081358,9081287,1,
124,124,,,9081360,9081289,1,
140,140,,,9081416,9081293,1,
124,124,,,9081363,9081299,1,
124,124,,,9081224,9081300,1,
124,124,,,9081365,9081301,1,
124,124,,,9081228,9081302,1,
124,124,,,9081367,9081304,1,
131,131,,,9081401,9081304,1,
140,140,,,9081414,9081304,1,
124,124,,,9081232,9081305,1,
124,124,,,9081369,9081307,1,
124,124,,,9081236,9081308,1,
124,124,,,9081371,9081311,1,
124,124,,,9081240,9081312,1,
124,124,,,9081373,9081315,1,
131,131,,,9081403,9081315,1,
140,140,,,9081416,9081315,1,
124,124,,,9081244,9081316,1,
124,124,,,9081375,9081319,1,
124,124,,,9081248,9081320,1,
124,124,,,9081377,9081323,1,
124,124,,,9081252,9081324,1,
124,124,,,9081254,9081326,1,
124,124,,,9081379,9081327,1,
131,131,,,9081405,9081327,1,
140,140,,,9081418,9081327,1,
124,124,,,9081256,9081328,1,
124,124,,,9081258,9081330,1,
124,124,,,9081381,9081331,1,
124,124,,,9081260,9081332,1,
124,124,,,9081262,9081334,1,
124,124,,,9081383,9081335,1,
124,124,,,9081264,9081336,1,
124,124,,,9081266,9081338,1,
124,124,,,9081385,9081339,1,
131,131,,,9081407,9081339,1,
140,140,,,9081420,9081339,1,
124,124,,,9081268,9081340,1,
124,124,,,9081270,9081342,1,
124,124,,,9081387,9081343,1,
124,124,,,9081272,9081344,1,
124,124,,,9081274,9081346,1,
124,124,,,9081389,9081347,1,
124,124,,,9081276,9081348,1,
124,124,,,9081278,9081349,1,
124,124,,,9081391,9081350,1,
131,131,,,9081408,9081350,1,
140,140,,,9081422,9081350,1,
124,124,,,9081280,9081351,1,
124,124,,,9081393,9081353,1,
124,124,,,9081284,9081354,1,
124,124,,,9081395,9081356,1,
124,124,,,9081286,9081357,1,
124,124,,,9081397,9081358,1,
140,140,,,9081424,9081358,1,
124,124,,,9081290,9081359,1,
131,131,,,9081411,9081359,1,
124,124,,,9081298,9081362,1,
124,124,,,9081300,9081364,1,
124,124,,,9081302,9081366,1,
124,124,,,9081305,9081368,1,
