service_id,date,exception_type
EN_K8-Sunday,20181122,1
EN_K8-Sunday,20181225,1
EN_K8-Sunday,20190101,1
EN_K8-Weekday-SDon,20181008,2
EN_K8-Weekday-SDon,20181106,2
EN_K8-Weekday-SDon,20181112,2
EN_K8-Weekday-SDon,20181122,2
EN_K8-Weekday-SDon,20181123,2
EN_K8-Weekday-SDon,20181224,2
EN_K8-Weekday-SDon,20181225,2
EN_K8-Weekday-SDon,20181226,2
EN_K8-Weekday-SDon,20181227,2
EN_K8-Weekday-SDon,20181228,2
EN_K8-Weekday-SDon,20181231,2
EN_K8-Weekday-SDon,20190101,2
EN_O8-Weekday,20181009,2
EN_O8-Weekday,20181010,2
EN_O8-Weekday,20181011,2
EN_O8-Weekday,20181012,2
EN_O8-Weekday,20181015,2
EN_O8-Weekday,20181016,2
EN_O8-Weekday,20181017,2
EN_O8-Weekday,20181018,2
EN_O8-Weekday,20181019,2
EN_O8-Weekday,20181022,2
EN_O8-Weekday,20181023,2
EN_O8-Weekday,20181024,2
EN_O8-Weekday,20181025,2
EN_O8-Weekday,20181026,2
EN_O8-Weekday,20181029,2
EN_O8-Weekday,20181030,2
EN_O8-Weekday,20181031,2
EN_O8-Weekday,20181101,2
EN_O8-Weekday,20181102,2
EN_O8-Weekday,20181105,2
EN_O8-Weekday,20181106,2
EN_O8-Weekday,20181107,2
EN_O8-Weekday,20181108,2
EN_O8-Weekday,20181109,2
EN_O8-Weekday,20181112,2
EN_O8-Weekday,20181113,2
EN_O8-Weekday,20181114,2
EN_O8-Weekday,20181115,2
EN_O8-Weekday,20181116,2
EN_O8-Weekday,20181119,2
EN_O8-Weekday,20181120,2
EN_O8-Weekday,20181121,2
EN_O8-Weekday,20181122,2
EN_O8-Weekday,20181126,2
EN_O8-Weekday,20181127,2
EN_O8-Weekday,20181128,2
EN_O8-Weekday,20181129,2
EN_O8-Weekday,20181130,2
EN_O8-Weekday,20181203,2
EN_O8-Weekday,20181204,2
EN_O8-Weekday,20181205,2
EN_O8-Weekday,20181206,2
EN_O8-Weekday,20181207,2
EN_O8-Weekday,20181210,2
EN_O8-Weekday,20181211,2
EN_O8-Weekday,20181212,2
EN_O8-Weekday,20181213,2
EN_O8-Weekday,20181214,2
EN_O8-Weekday,20181217,2
EN_O8-Weekday,20181218,2
EN_O8-Weekday,20181219,2
EN_O8-Weekday,20181220,2
EN_O8-Weekday,20181221,2
EN_O8-Weekday,20181225,2
EN_K8-Weekday,20181107,2
EN_K8-Weekday,20181108,2
EN_K8-Weekday,20181109,2
FB_K8-Sunday,20181122,1
FB_K8-Sunday,20181225,1
FB_K8-Sunday,20190101,1
FB_K8-Weekday-SDon,20181008,2
FB_K8-Weekday-SDon,20181106,2
FB_K8-Weekday-SDon,20181112,2
FB_K8-Weekday-SDon,20181122,2
FB_K8-Weekday-SDon,20181123,2
FB_K8-Weekday-SDon,20181224,2
FB_K8-Weekday-SDon,20181225,2
FB_K8-Weekday-SDon,20181226,2
FB_K8-Weekday-SDon,20181227,2
FB_K8-Weekday-SDon,20181228,2
FB_K8-Weekday-SDon,20181231,2
FB_K8-Weekday-SDon,20190101,2
FB_O8-Weekday,20181009,2
FB_O8-Weekday,20181010,2
FB_O8-Weekday,20181011,2
FB_O8-Weekday,20181012,2
FB_O8-Weekday,20181015,2
FB_O8-Weekday,20181016,2
FB_O8-Weekday,20181017,2
FB_O8-Weekday,20181018,2
FB_O8-Weekday,20181019,2
FB_O8-Weekday,20181022,2
FB_O8-Weekday,20181023,2
FB_O8-Weekday,20181024,2
FB_O8-Weekday,20181025,2
FB_O8-Weekday,20181026,2
FB_O8-Weekday,20181029,2
FB_O8-Weekday,20181030,2
FB_O8-Weekday,20181031,2
FB_O8-Weekday,20181101,2
FB_O8-Weekday,20181102,2
FB_O8-Weekday,20181105,2
FB_O8-Weekday,20181106,2
FB_O8-Weekday,20181107,2
FB_O8-Weekday,20181108,2
FB_O8-Weekday,20181109,2
FB_O8-Weekday,20181112,2
FB_O8-Weekday,20181113,2
FB_O8-Weekday,20181114,2
FB_O8-Weekday,20181115,2
FB_O8-Weekday,20181116,2
FB_O8-Weekday,20181119,2
FB_O8-Weekday,20181120,2
FB_O8-Weekday,20181121,2
FB_O8-Weekday,20181122,2
FB_O8-Weekday,20181126,2
FB_O8-Weekday,20181127,2
FB_O8-Weekday,20181128,2
FB_O8-Weekday,20181129,2
FB_O8-Weekday,20181130,2
FB_O8-Weekday,20181203,2
FB_O8-Weekday,20181204,2
FB_O8-Weekday,20181205,2
FB_O8-Weekday,20181206,2
FB_O8-Weekday,20181207,2
FB_O8-Weekday,20181210,2
FB_O8-Weekday,20181211,2
FB_O8-Weekday,20181212,2
FB_O8-Weekday,20181213,2
FB_O8-Weekday,20181214,2
FB_O8-Weekday,20181217,2
FB_O8-Weekday,20181218,2
FB_O8-Weekday,20181219,2
FB_O8-Weekday,20181220,2
FB_O8-Weekday,20181221,2
FB_O8-Weekday,20181225,2
FB_K8-Weekday,20181107,2
FB_K8-Weekday,20181108,2
FB_K8-Weekday,20181109,2
FP_K8-Sunday,20181122,1
FP_K8-Sunday,20181225,1
FP_K8-Sunday,20190101,1
FP_K8-Weekday-SDon,20181008,2
FP_K8-Weekday-SDon,20181106,2
FP_K8-Weekday-SDon,20181112,2
FP_K8-Weekday-SDon,20181122,2
FP_K8-Weekday-SDon,20181123,2
FP_K8-Weekday-SDon,20181224,2
FP_K8-Weekday-SDon,20181225,2
FP_K8-Weekday-SDon,20181226,2
FP_K8-Weekday-SDon,20181227,2
FP_K8-Weekday-SDon,20181228,2
FP_K8-Weekday-SDon,20181231,2
FP_K8-Weekday-SDon,20190101,2
FP_O8-Weekday,20181009,2
FP_O8-Weekday,20181010,2
FP_O8-Weekday,20181011,2
FP_O8-Weekday,20181012,2
FP_O8-Weekday,20181015,2
FP_O8-Weekday,20181016,2
FP_O8-Weekday,20181017,2
FP_O8-Weekday,20181018,2
FP_O8-Weekday,20181019,2
FP_O8-Weekday,20181022,2
FP_O8-Weekday,20181023,2
FP_O8-Weekday,20181024,2
FP_O8-Weekday,20181025,2
FP_O8-Weekday,20181026,2
FP_O8-Weekday,20181029,2
FP_O8-Weekday,20181030,2
FP_O8-Weekday,20181031,2
FP_O8-Weekday,20181101,2
FP_O8-Weekday,20181102,2
FP_O8-Weekday,20181105,2
FP_O8-Weekday,20181106,2
FP_O8-Weekday,20181107,2
FP_O8-Weekday,20181108,2
FP_O8-Weekday,20181109,2
FP_O8-Weekday,20181112,2
FP_O8-Weekday,20181113,2
FP_O8-Weekday,20181114,2
FP_O8-Weekday,20181115,2
FP_O8-Weekday,20181116,2
FP_O8-Weekday,20181119,2
FP_O8-Weekday,20181120,2
FP_O8-Weekday,20181121,2
FP_O8-Weekday,20181122,2
FP_O8-Weekday,20181126,2
FP_O8-Weekday,20181127,2
FP_O8-Weekday,20181128,2
FP_O8-Weekday,20181129,2
FP_O8-Weekday,20181130,2
FP_O8-Weekday,20181203,2
FP_O8-Weekday,20181204,2
FP_O8-Weekday,20181205,2
FP_O8-Weekday,20181206,2
FP_O8-Weekday,20181207,2
FP_O8-Weekday,20181210,2
FP_O8-Weekday,20181211,2
FP_O8-Weekday,20181212,2
FP_O8-Weekday,20181213,2
FP_O8-Weekday,20181214,2
FP_O8-Weekday,20181217,2
FP_O8-Weekday,20181218,2
FP_O8-Weekday,20181219,2
FP_O8-Weekday,20181220,2
FP_O8-Weekday,20181221,2
FP_O8-Weekday,20181225,2
FP_K8-Weekday,20181107,2
FP_K8-Weekday,20181108,2
FP_K8-Weekday,20181109,2
GA_K8-Sunday,20181122,1
GA_K8-Sunday,20181225,1
GA_K8-Sunday,20190101,1
GA_K8-Weekday-SDon,20181008,2
GA_K8-Weekday-SDon,20181106,2
GA_K8-Weekday-SDon,20181112,2
GA_K8-Weekday-SDon,20181122,2
GA_K8-Weekday-SDon,20181123,2
GA_K8-Weekday-SDon,20181224,2
GA_K8-Weekday-SDon,20181225,2
GA_K8-Weekday-SDon,20181226,2
GA_K8-Weekday-SDon,20181227,2
GA_K8-Weekday-SDon,20181228,2
GA_K8-Weekday-SDon,20181231,2
GA_K8-Weekday-SDon,20190101,2
GA_O8-Weekday,20181009,2
GA_O8-Weekday,20181010,2
GA_O8-Weekday,20181011,2
GA_O8-Weekday,20181012,2
GA_O8-Weekday,20181015,2
GA_O8-Weekday,20181016,2
GA_O8-Weekday,20181017,2
GA_O8-Weekday,20181018,2
GA_O8-Weekday,20181019,2
GA_O8-Weekday,20181022,2
GA_O8-Weekday,20181023,2
GA_O8-Weekday,20181024,2
GA_O8-Weekday,20181025,2
GA_O8-Weekday,20181026,2
GA_O8-Weekday,20181029,2
GA_O8-Weekday,20181030,2
GA_O8-Weekday,20181031,2
GA_O8-Weekday,20181101,2
GA_O8-Weekday,20181102,2
GA_O8-Weekday,20181105,2
GA_O8-Weekday,20181106,2
GA_O8-Weekday,20181107,2
GA_O8-Weekday,20181108,2
GA_O8-Weekday,20181109,2
GA_O8-Weekday,20181112,2
GA_O8-Weekday,20181113,2
GA_O8-Weekday,20181114,2
GA_O8-Weekday,20181115,2
GA_O8-Weekday,20181116,2
GA_O8-Weekday,20181119,2
GA_O8-Weekday,20181120,2
GA_O8-Weekday,20181121,2
GA_O8-Weekday,20181122,2
GA_O8-Weekday,20181126,2
GA_O8-Weekday,20181127,2
GA_O8-Weekday,20181128,2
GA_O8-Weekday,20181129,2
GA_O8-Weekday,20181130,2
GA_O8-Weekday,20181203,2
GA_O8-Weekday,20181204,2
GA_O8-Weekday,20181205,2
GA_O8-Weekday,20181206,2
GA_O8-Weekday,20181207,2
GA_O8-Weekday,20181210,2
GA_O8-Weekday,20181211,2
GA_O8-Weekday,20181212,2
GA_O8-Weekday,20181213,2
GA_O8-Weekday,20181214,2
GA_O8-Weekday,20181217,2
GA_O8-Weekday,20181218,2
GA_O8-Weekday,20181219,2
GA_O8-Weekday,20181220,2
GA_O8-Weekday,20181221,2
GA_O8-Weekday,20181225,2
GA_K8-Weekday,20181107,2
GA_K8-Weekday,20181108,2
GA_K8-Weekday,20181109,2
JG_K8-Sunday,20181122,1
JG_K8-Sunday-BM,20181121,1
JG_K8-Sunday,20181225,1
JG_K8-Sunday-BM,20181224,1
JG_K8-Sunday,20190101,1
JG_K8-Sunday-BM,20181231,1
JG_K8-Weekday-SDon,20181008,2
JG_K8-Weekday-SDon-BM,20181007,2
JG_K8-Weekday-SDon,20181106,2
JG_K8-Weekday-SDon-BM,20181105,2
JG_K8-Weekday-SDon,20181112,2
JG_K8-Weekday-SDon-BM,20181111,2
JG_K8-Weekday-SDon,20181122,2
JG_K8-Weekday-SDon-BM,20181121,2
JG_K8-Weekday-SDon,20181123,2
JG_K8-Weekday-SDon-BM,20181122,2
JG_K8-Weekday-SDon,20181224,2
JG_K8-Weekday-SDon-BM,20181223,2
JG_K8-Weekday-SDon,20181225,2
JG_K8-Weekday-SDon-BM,20181224,2
JG_K8-Weekday-SDon,20181226,2
JG_K8-Weekday-SDon-BM,20181225,2
JG_K8-Weekday-SDon,20181227,2
JG_K8-Weekday-SDon-BM,20181226,2
JG_K8-Weekday-SDon,20181228,2
JG_K8-Weekday-SDon-BM,20181227,2
JG_K8-Weekday-SDon,20181231,2
JG_K8-Weekday-SDon-BM,20181230,2
JG_K8-Weekday-SDon,20190101,2
JG_K8-Weekday-SDon-BM,20181231,2
JG_O8-Weekday,20181009,2
JG_O8-Weekday-BM,20181008,2
JG_O8-Weekday,20181010,2
JG_O8-Weekday-BM,20181009,2
JG_O8-Weekday,20181011,2
JG_O8-Weekday-BM,20181010,2
JG_O8-Weekday,20181012,2
JG_O8-Weekday-BM,20181011,2
JG_O8-Weekday,20181015,2
JG_O8-Weekday-BM,20181014,2
JG_O8-Weekday,20181016,2
JG_O8-Weekday-BM,20181015,2
JG_O8-Weekday,20181017,2
JG_O8-Weekday-BM,20181016,2
JG_O8-Weekday,20181018,2
JG_O8-Weekday-BM,20181017,2
JG_O8-Weekday,20181019,2
JG_O8-Weekday-BM,20181018,2
JG_O8-Weekday,20181022,2
JG_O8-Weekday-BM,20181021,2
JG_O8-Weekday,20181023,2
JG_O8-Weekday-BM,20181022,2
JG_O8-Weekday,20181024,2
JG_O8-Weekday-BM,20181023,2
JG_O8-Weekday,20181025,2
JG_O8-Weekday-BM,20181024,2
JG_O8-Weekday,20181026,2
JG_O8-Weekday-BM,20181025,2
JG_O8-Weekday,20181029,2
JG_O8-Weekday-BM,20181028,2
JG_O8-Weekday,20181030,2
JG_O8-Weekday-BM,20181029,2
JG_O8-Weekday,20181031,2
JG_O8-Weekday-BM,20181030,2
JG_O8-Weekday,20181101,2
JG_O8-Weekday-BM,20181031,2
JG_O8-Weekday,20181102,2
JG_O8-Weekday-BM,20181101,2
JG_O8-Weekday,20181105,2
JG_O8-Weekday-BM,20181104,2
JG_O8-Weekday,20181106,2
JG_O8-Weekday-BM,20181105,2
JG_O8-Weekday,20181107,2
JG_O8-Weekday-BM,20181106,2
JG_O8-Weekday,20181108,2
JG_O8-Weekday-BM,20181107,2
JG_O8-Weekday,20181109,2
JG_O8-Weekday-BM,20181108,2
JG_O8-Weekday,20181112,2
JG_O8-Weekday-BM,20181111,2
JG_O8-Weekday,20181113,2
JG_O8-Weekday-BM,20181112,2
JG_O8-Weekday,20181114,2
JG_O8-Weekday-BM,20181113,2
JG_O8-Weekday,20181115,2
JG_O8-Weekday-BM,20181114,2
JG_O8-Weekday,20181116,2
JG_O8-Weekday-BM,20181115,2
JG_O8-Weekday,20181119,2
JG_O8-Weekday-BM,20181118,2
JG_O8-Weekday,20181120,2
JG_O8-Weekday-BM,20181119,2
JG_O8-Weekday,20181121,2
JG_O8-Weekday-BM,20181120,2
JG_O8-Weekday,20181122,2
JG_O8-Weekday-BM,20181121,2
JG_O8-Weekday,20181126,2
JG_O8-Weekday-BM,20181125,2
JG_O8-Weekday,20181127,2
JG_O8-Weekday-BM,20181126,2
JG_O8-Weekday,20181128,2
JG_O8-Weekday-BM,20181127,2
JG_O8-Weekday,20181129,2
JG_O8-Weekday-BM,20181128,2
JG_O8-Weekday,20181130,2
JG_O8-Weekday-BM,20181129,2
JG_O8-Weekday,20181203,2
JG_O8-Weekday-BM,20181202,2
JG_O8-Weekday,20181204,2
JG_O8-Weekday-BM,20181203,2
JG_O8-Weekday,20181205,2
JG_O8-Weekday-BM,20181204,2
JG_O8-Weekday,20181206,2
JG_O8-Weekday-BM,20181205,2
JG_O8-Weekday,20181207,2
JG_O8-Weekday-BM,20181206,2
JG_O8-Weekday,20181210,2
JG_O8-Weekday-BM,20181209,2
JG_O8-Weekday,20181211,2
JG_O8-Weekday-BM,20181210,2
JG_O8-Weekday,20181212,2
JG_O8-Weekday-BM,20181211,2
JG_O8-Weekday,20181213,2
JG_O8-Weekday-BM,20181212,2
JG_O8-Weekday,20181214,2
JG_O8-Weekday-BM,20181213,2
JG_O8-Weekday,20181217,2
JG_O8-Weekday-BM,20181216,2
JG_O8-Weekday,20181218,2
JG_O8-Weekday-BM,20181217,2
JG_O8-Weekday,20181219,2
JG_O8-Weekday-BM,20181218,2
JG_O8-Weekday,20181220,2
JG_O8-Weekday-BM,20181219,2
JG_O8-Weekday,20181221,2
JG_O8-Weekday-BM,20181220,2
JG_O8-Weekday,20181225,2
JG_O8-Weekday-BM,20181224,2
JG_K8-Weekday,20181107,2
JG_K8-Weekday-BM,20181106,2
JG_K8-Weekday,20181108,2
JG_K8-Weekday-BM,20181107,2
JG_K8-Weekday,20181109,2
JG_K8-Weekday-BM,20181108,2
UP_K8-Sunday,20181122,1
UP_K8-Sunday,20181225,1
UP_K8-Sunday,20190101,1
UP_K8-Weekday-SDon,20181008,2
UP_K8-Weekday-SDon,20181106,2
UP_K8-Weekday-SDon,20181112,2
UP_K8-Weekday-SDon,20181122,2
UP_K8-Weekday-SDon,20181123,2
UP_K8-Weekday-SDon,20181224,2
UP_K8-Weekday-SDon,20181225,2
UP_K8-Weekday-SDon,20181226,2
UP_K8-Weekday-SDon,20181227,2
UP_K8-Weekday-SDon,20181228,2
UP_K8-Weekday-SDon,20181231,2
UP_K8-Weekday-SDon,20190101,2
UP_O8-Weekday,20181009,2
UP_O8-Weekday,20181010,2
UP_O8-Weekday,20181011,2
UP_O8-Weekday,20181012,2
UP_O8-Weekday,20181015,2
UP_O8-Weekday,20181016,2
UP_O8-Weekday,20181017,2
UP_O8-Weekday,20181018,2
UP_O8-Weekday,20181019,2
UP_O8-Weekday,20181022,2
UP_O8-Weekday,20181023,2
UP_O8-Weekday,20181024,2
UP_O8-Weekday,20181025,2
UP_O8-Weekday,20181026,2
UP_O8-Weekday,20181029,2
UP_O8-Weekday,20181030,2
UP_O8-Weekday,20181031,2
UP_O8-Weekday,20181101,2
UP_O8-Weekday,20181102,2
UP_O8-Weekday,20181105,2
UP_O8-Weekday,20181106,2
UP_O8-Weekday,20181107,2
UP_O8-Weekday,20181108,2
UP_O8-Weekday,20181109,2
UP_O8-Weekday,20181112,2
UP_O8-Weekday,20181113,2
UP_O8-Weekday,20181114,2
UP_O8-Weekday,20181115,2
UP_O8-Weekday,20181116,2
UP_O8-Weekday,20181119,2
UP_O8-Weekday,20181120,2
UP_O8-Weekday,20181121,2
UP_O8-Weekday,20181122,2
UP_O8-Weekday,20181126,2
UP_O8-Weekday,20181127,2
UP_O8-Weekday,20181128,2
UP_O8-Weekday,20181129,2
UP_O8-Weekday,20181130,2
UP_O8-Weekday,20181203,2
UP_O8-Weekday,20181204,2
UP_O8-Weekday,20181205,2
UP_O8-Weekday,20181206,2
UP_O8-Weekday,20181207,2
UP_O8-Weekday,20181210,2
UP_O8-Weekday,20181211,2
UP_O8-Weekday,20181212,2
UP_O8-Weekday,20181213,2
UP_O8-Weekday,20181214,2
UP_O8-Weekday,20181217,2
UP_O8-Weekday,20181218,2
UP_O8-Weekday,20181219,2
UP_O8-Weekday,20181220,2
UP_O8-Weekday,20181221,2
UP_O8-Weekday,20181225,2
UP_K8-Weekday,20181107,2
UP_K8-Weekday,20181108,2
UP_K8-Weekday,20181109,2
