service_id,date,exception_type
GH_D8-Sunday,20180903,1
GH_D8-Sunday,20181122,1
GH_D8-Sunday,20181225,1
GH_D8-Sunday,20190101,1
GH_D8-Weekday-SDon,20181008,2
GH_D8-Weekday-SDon-BM,20181007,2
GH_D8-Weekday-SDon,20181122,2
GH_D8-Weekday-SDon-BM,20181121,2
GH_D8-Weekday-SDon,20181123,2
GH_D8-Weekday-SDon-BM,20181122,2
GH_D8-Weekday-SDon,20181224,2
GH_D8-Weekday-SDon-BM,20181223,2
GH_D8-Weekday-SDon,20181225,2
GH_D8-Weekday-SDon-BM,20181224,2
GH_D8-Weekday-SDon,20181226,2
GH_D8-Weekday-SDon-BM,20181225,2
GH_D8-Weekday-SDon,20181227,2
GH_D8-Weekday-SDon-BM,20181226,2
GH_D8-Weekday-SDon,20181228,2
GH_D8-Weekday-SDon-BM,20181227,2
GH_D8-Weekday-SDon,20181231,2
GH_D8-Weekday-SDon-BM,20181230,2
GH_D8-Weekday-SDon,20190101,2
GH_D8-Weekday-SDon-BM,20181231,2
GH_D8-Weekday-SDon,20180904,2
GH_D8-Weekday-SDon-BM,20180903,2
GH_D8-Weekday-SDon,20180910,2
GH_D8-Weekday-SDon-BM,20180909,2
GH_D8-Weekday-SDon,20180911,2
GH_D8-Weekday-SDon-BM,20180910,2
GH_D8-Weekday-SDon,20180919,2
GH_D8-Weekday-SDon-BM,20180918,2
GH_D8-Weekday-SDon,20181106,2
GH_D8-Weekday-SDon-BM,20181105,2
GH_D8-Weekday-SDon,20181112,2
GH_D8-Weekday-SDon-BM,20181111,2
GH_D8-Weekday,20180904,1
GH_D8-Weekday-BM,20180903,1
GH_D8-Weekday,20180910,1
GH_D8-Weekday-BM,20180909,1
GH_D8-Weekday,20180911,1
GH_D8-Weekday-BM,20180910,1
GH_D8-Weekday,20180919,1
GH_D8-Weekday-BM,20180918,1
GH_D8-Weekday,20181106,1
GH_D8-Weekday-BM,20181105,1
GH_D8-Weekday,20181112,1
GH_D8-Weekday-BM,20181111,1
GH_O8-Weekday,20181009,2
GH_O8-Weekday-BM,20181008,2
GH_O8-Weekday,20181010,2
GH_O8-Weekday-BM,20181009,2
GH_O8-Weekday,20181011,2
GH_O8-Weekday-BM,20181010,2
GH_O8-Weekday,20181012,2
GH_O8-Weekday-BM,20181011,2
GH_O8-Weekday,20181015,2
GH_O8-Weekday-BM,20181014,2
GH_O8-Weekday,20181016,2
GH_O8-Weekday-BM,20181015,2
GH_O8-Weekday,20181017,2
GH_O8-Weekday-BM,20181016,2
GH_O8-Weekday,20181018,2
GH_O8-Weekday-BM,20181017,2
GH_O8-Weekday,20181019,2
GH_O8-Weekday-BM,20181018,2
GH_O8-Weekday,20181022,2
GH_O8-Weekday-BM,20181021,2
GH_O8-Weekday,20181023,2
GH_O8-Weekday-BM,20181022,2
GH_O8-Weekday,20181024,2
GH_O8-Weekday-BM,20181023,2
GH_O8-Weekday,20181025,2
GH_O8-Weekday-BM,20181024,2
GH_O8-Weekday,20181026,2
GH_O8-Weekday-BM,20181025,2
GH_O8-Weekday,20181029,2
GH_O8-Weekday-BM,20181028,2
GH_O8-Weekday,20181030,2
GH_O8-Weekday-BM,20181029,2
GH_O8-Weekday,20181031,2
GH_O8-Weekday-BM,20181030,2
GH_O8-Weekday,20181101,2
GH_O8-Weekday-BM,20181031,2
GH_O8-Weekday,20181102,2
GH_O8-Weekday-BM,20181101,2
GH_O8-Weekday,20181105,2
GH_O8-Weekday-BM,20181104,2
GH_O8-Weekday,20181106,2
GH_O8-Weekday-BM,20181105,2
GH_O8-Weekday,20181107,2
GH_O8-Weekday-BM,20181106,2
GH_O8-Weekday,20181108,2
GH_O8-Weekday-BM,20181107,2
GH_O8-Weekday,20181109,2
GH_O8-Weekday-BM,20181108,2
GH_O8-Weekday,20181112,2
GH_O8-Weekday-BM,20181111,2
GH_O8-Weekday,20181113,2
GH_O8-Weekday-BM,20181112,2
GH_O8-Weekday,20181114,2
GH_O8-Weekday-BM,20181113,2
GH_O8-Weekday,20181115,2
