route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M55,MQ_O8-Weekday,MQ_O8-Weekday-030000_M55_1,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-033500_M55_1,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-036500_M55_1,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-041500_M55_1,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-045500_M55_1,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-051200_M55_1,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-057500_M55_9,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-063700_M55_9,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-069500_M55_6,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-075700_M55_6,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-083000_M55_6,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-089200_M55_6,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-096500_M55_8,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-102700_M55_8,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-110000_M55_8,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-116200_M55_8,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-033000_M55_2,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-036500_M55_2,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-039500_M55_2,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-045000_M55_2,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-050000_M55_2,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-056200_M55_2,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-062000_M55_1,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-068200_M55_1,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-075500_M55_10,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-081700_M55_10,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-089000_M55_10,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-095200_M55_10,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-102500_M55_19,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-108700_M55_19,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-114500_M55_19,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-120400_M55_19,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-125000_M55_18,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-130900_M55_18,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-136000_M55_18,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-141400_M55_18,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-146000_M55_18,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-149000_M55_18,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-035000_M55_3,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-039500_M55_3,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-044000_M55_3,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-049500_M55_3,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-054500_M55_8,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-060700_M55_8,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-066500_M55_8,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-072700_M55_8,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-080000_M55_7,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-086200_M55_7,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-093500_M55_7,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-099700_M55_7,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-107000_M55_11,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-113200_M55_11,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-119000_M55_11,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-124900_M55_11,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-129500_M55_19,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-135400_M55_19,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-140000_M55_19,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-145000_M55_19,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-149000_M55_19,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-152000_M55_19,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-038000_M55_4,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-043500_M55_4,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-048500_M55_4,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-054600_M55_4,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-060500_M55_3,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-066700_M55_3,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-074000_M55_3,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-080200_M55_3,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-087500_M55_9,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-093700_M55_9,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-101000_M55_9,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-107200_M55_9,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-041000_M55_5,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-046500_M55_5,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-051500_M55_5,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-057700_M55_5,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-063500_M55_11,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-069700_M55_11,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-077000_M55_11,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-083200_M55_11,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-090500_M55_14,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-096700_M55_14,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-104000_M55_14,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-110200_M55_14,44 ST 6 AV,0,M550034
M55,MQ_O8-Weekday,MQ_O8-Weekday-116000_M55_13,SOUTH FERRY,1,M550038
M55,MQ_O8-Weekday,MQ_O8-Weekday-121900_M55_13,44 ST 6 AV,0,M550034
