service_id,date,exception_type
AFA18GEN-1037-Sunday-00,20181122,1
AFA18GEN-1037-Sunday-00,20181225,1
AFA18GEN-1037-Sunday-00,20190101,1
AFA18GEN-2048-Sunday-00,20181122,1
AFA18GEN-2048-Sunday-00,20181225,1
AFA18GEN-2048-Sunday-00,20190101,1
AFA18GEN-3041-Sunday-00,20181122,1
AFA18GEN-3041-Sunday-00,20181225,1
AFA18GEN-3041-Sunday-00,20190101,1
AFA18GEN-4049-Sunday-00,20181122,1
AFA18GEN-4049-Sunday-00,20181225,1
AFA18GEN-4049-Sunday-00,20190101,1
AFA18GEN-5048-Sunday-00,20181122,1
AFA18GEN-5048-Sunday-00,20181225,1
AFA18GEN-5048-Sunday-00,20190101,1
AFA18GEN-6030-Sunday-00,20181122,1
AFA18GEN-6030-Sunday-00,20181225,1
AFA18GEN-6030-Sunday-00,20190101,1
AFA18GEN-7025-Sunday-00,20181122,1
AFA18GEN-7025-Sunday-00,20181225,1
AFA18GEN-7025-Sunday-00,20190101,1
BFA18GEN-A051-Sunday-00,20181122,1
BFA18GEN-A051-Sunday-00,20181225,1
BFA18GEN-A051-Sunday-00,20190101,1
BFA18GEN-C026-Sunday-00,20181122,1
BFA18GEN-C026-Sunday-00,20181225,1
BFA18GEN-C026-Sunday-00,20190101,1
BFA18GEN-D040-Sunday-00,20181122,1
BFA18GEN-D040-Sunday-00,20181225,1
BFA18GEN-D040-Sunday-00,20190101,1
BFA18GEN-E044-Sunday-00,20181122,1
BFA18GEN-E044-Sunday-00,20181225,1
BFA18GEN-E044-Sunday-00,20190101,1
BFA18GEN-F048-Sunday-00,20181122,1
BFA18GEN-F048-Sunday-00,20181225,1
BFA18GEN-F048-Sunday-00,20190101,1
BFA18GEN-FS012-Sunday-00,20181122,1
BFA18GEN-FS012-Sunday-00,20181225,1
BFA18GEN-FS012-Sunday-00,20190101,1
BFA18GEN-G034-Sunday-00,20181122,1
BFA18GEN-G034-Sunday-00,20181225,1
BFA18GEN-G034-Sunday-00,20190101,1
AFA18GEN-GS010-Sunday-00,20181122,1
AFA18GEN-GS010-Sunday-00,20181225,1
AFA18GEN-GS010-Sunday-00,20190101,1
BFA18GEN-H024-Sunday-00,20181122,1
BFA18GEN-H024-Sunday-00,20181225,1
BFA18GEN-H024-Sunday-00,20190101,1
BFA18GEN-J032-Sunday-00,20181122,1
BFA18GEN-J032-Sunday-00,20181225,1
BFA18GEN-J032-Sunday-00,20190101,1
BFA18GEN-L022-Sunday-00,20181122,1
BFA18GEN-L022-Sunday-00,20181225,1
BFA18GEN-L022-Sunday-00,20190101,1
BFA18GEN-M023-Sunday-00,20181122,1
BFA18GEN-M023-Sunday-00,20181225,1
BFA18GEN-M023-Sunday-00,20190101,1
BFA18GEN-N057-Sunday-00,20181122,1
BFA18GEN-N057-Sunday-00,20181225,1
BFA18GEN-N057-Sunday-00,20190101,1
BFA18GEN-Q022-Sunday-00,20181122,1
BFA18GEN-Q022-Sunday-00,20181225,1
BFA18GEN-Q022-Sunday-00,20190101,1
BFA18GEN-R049-Sunday-00,20181122,1
BFA18GEN-R049-Sunday-00,20181225,1
BFA18GEN-R049-Sunday-00,20190101,1
SIR-FA2018-SI017-Sunday-00,20181122,1
SIR-FA2018-SI017-Sunday-00,20181225,1
SIR-FA2018-SI017-Sunday-00,20190101,1
AFA18GEN-1087-Weekday-00,20181122,2
AFA18GEN-1087-Weekday-00,20181225,2
AFA18GEN-1087-Weekday-00,20190101,2
AFA18GEN-1087-Weekday-00,20190218,2
AFA18GEN-2097-Weekday-00,20181122,2
AFA18GEN-2097-Weekday-00,20181225,2
AFA18GEN-2097-Weekday-00,20190101,2
AFA18GEN-2097-Weekday-00,20190218,2
AFA18GEN-3086-Weekday-00,20181122,2
AFA18GEN-3086-Weekday-00,20181225,2
AFA18GEN-3086-Weekday-00,20190101,2
AFA18GEN-3086-Weekday-00,20190218,2
AFA18GEN-4097-Weekday-00,20181122,2
AFA18GEN-4097-Weekday-00,20181225,2
AFA18GEN-4097-Weekday-00,20190101,2
AFA18GEN-4097-Weekday-00,20190218,2
AFA18GEN-5106-Weekday-00,20181122,2
AFA18GEN-5106-Weekday-00,20181225,2
AFA18GEN-5106-Weekday-00,20190101,2
AFA18GEN-5106-Weekday-00,20190218,2
