service_id,date,exception_type
CS_D8-Sunday,20180903,1
CS_D8-Sunday,20181122,1
CS_D8-Sunday,20181225,1
CS_D8-Sunday,20190101,1
CS_D8-Weekday-SDon,20181108,2
CS_D8-Weekday-SDon,20181122,2
CS_D8-Weekday-SDon,20181123,2
CS_D8-Weekday-SDon,20181224,2
CS_D8-Weekday-SDon,20181225,2
CS_D8-Weekday-SDon,20181226,2
CS_D8-Weekday-SDon,20181227,2
CS_D8-Weekday-SDon,20181228,2
CS_D8-Weekday-SDon,20181231,2
CS_D8-Weekday-SDon,20190101,2
CS_D8-Weekday-SDon,20180904,2
CS_D8-Weekday-SDon,20180910,2
CS_D8-Weekday-SDon,20180911,2
CS_D8-Weekday-SDon,20180919,2
CS_D8-Weekday-SDon,20181008,2
CS_D8-Weekday-SDon,20181106,2
CS_D8-Weekday-SDon,20181112,2
CS_D8-Weekday,20180904,1
CS_D8-Weekday,20180910,1
CS_D8-Weekday,20180911,1
CS_D8-Weekday,20180919,1
CS_D8-Weekday,20181008,1
CS_D8-Weekday,20181106,1
CS_D8-Weekday,20181112,1
CS_O8-Weekday,20181109,2
CS_O8-Weekday,20181112,2
CS_O8-Weekday,20181113,2
CS_O8-Weekday,20181114,2
CS_O8-Weekday,20181115,2
CS_O8-Weekday,20181116,2
CS_O8-Weekday,20181119,2
CS_O8-Weekday,20181120,2
CS_O8-Weekday,20181121,2
CS_O8-Weekday,20181122,2
CS_O8-Weekday,20181126,2
CS_O8-Weekday,20181127,2
CS_O8-Weekday,20181128,2
CS_O8-Weekday,20181129,2
CS_O8-Weekday,20181130,2
CS_O8-Weekday,20181203,2
CS_O8-Weekday,20181204,2
CS_O8-Weekday,20181205,2
CS_O8-Weekday,20181206,2
CS_O8-Weekday,20181207,2
CS_O8-Weekday,20181210,2
CS_O8-Weekday,20181211,2
CS_O8-Weekday,20181212,2
CS_O8-Weekday,20181213,2
CS_O8-Weekday,20181214,2
CS_O8-Weekday,20181217,2
CS_O8-Weekday,20181218,2
CS_O8-Weekday,20181219,2
CS_O8-Weekday,20181220,2
CS_O8-Weekday,20181221,2
CS_O8-Weekday,20181225,2
JA_D8-Sunday,20180903,1
JA_D8-Sunday,20181122,1
JA_D8-Sunday,20181225,1
JA_D8-Sunday,20190101,1
JA_D8-Weekday-SDon,20181108,2
