route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-030000_SIM9_301,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-031500_SIM9_302,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-033000_SIM9_303,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-038500_SIM9_304,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-040300_SIM9_305,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-042700_SIM9_306,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-045500_SIM9_307,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-049500_SIM9_308,GREENWICH VILL via WEST ST via 6 AV,0,SIM90010
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-088500_SIM9_305,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-091500_SIM9_306,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-093800_SIM9_301,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-095000_SIM9_302,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-096500_SIM9_303,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-101700_SIM9_304,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-104100_SIM9_305,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-107700_SIM9_306,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-111700_SIM9_307,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM9,CA_Q8-Weekday,CA_Q8-Weekday-116200_SIM9_308,ELTINGVILLE via F CAP via HYLAN BL,1,SIM90022
SIM15,CA_Q8-Weekday,CA_Q8-Weekday-039800_MISC_465,DOWNTOWN LOOP via CHRCH ST via  WATER ST,0,SIM150024
SIM32,CA_Q8-Weekday,CA_Q8-Weekday-036500_MISC_448,DOWNTOWN WORTH ST via CHURCH ST,0,SIM320033
SIM32,CA_Q8-Weekday,CA_Q8-Weekday-040500_MISC_414,DOWNTOWN WORTH ST via CHURCH ST,0,SIM320033
SIM7,CA_Q8-Weekday,CA_Q8-Weekday-087000_MISC_406,ELTNGVE TRAN CTR via HYLAN BL via RICH A,1,SIM70049
S40,CA_Q8-Weekday,CA_Q8-Weekday-006000_S4090_301,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-012000_S4090_302,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-018000_MISC_403,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-024000_S4090_301,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-030000_MISC_419,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-033000_MISC_429,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-036000_MISC_425,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-038500_MISC_434,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-040500_MISC_419,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-042000_MISC_457,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-043500_MISC_459,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-048000_S4090_302,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-050000_MISC_509,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-054000_MISC_487,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-056000_S4090_304,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-058000_MISC_436,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-060000_MISC_444,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-062000_MISC_452,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-064000_MISC_449,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-066000_MISC_451,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-068000_MISC_436,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-070000_MISC_444,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-072000_MISC_452,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-074000_MISC_449,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-076000_S4090_305,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-078000_S4090_303,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-080000_MISC_518,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-082000_S4090_306,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-084000_S4090_304,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-087000_S4090_305,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-088500_S4090_303,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-090000_MISC_537,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-099300_S4090_303,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-093300_S4090_306,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-094500_S4090_304,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-096300_MISC_515,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-097800_MISC_555,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-101300_S4090_308,ARLINGTON SOUTH AV ARLIGTON PL,1,S400083
S40,CA_Q8-Weekday,CA_Q8-Weekday-105300_MISC_559,ARLINGTON SOUTH AV ARLIGTON PL,1,S400083
S40,CA_Q8-Weekday,CA_Q8-Weekday-108300_MISC_555,ARLINGTON SOUTH AV ARLIGTON PL,1,S400083
S40,CA_Q8-Weekday,CA_Q8-Weekday-109800_MISC_537,ARLINGTON SOUTH AV ARLIGTON PL,1,S400083
S40,CA_Q8-Weekday,CA_Q8-Weekday-111000_MISC_559,MATRIX PT RICH TERR  via GULF AV,1,S400089
S40,CA_Q8-Weekday,CA_Q8-Weekday-112800_S4090_307,ARLINGTON SOUTH AV ARLIGTON PL,1,S400083
S90,CA_Q8-Weekday,CA_Q8-Weekday-101000_MISC_537,LTD MATRIX PK via RICH TERR via GULF AV,1,S900048
S90,CA_Q8-Weekday,CA_Q8-Weekday-103000_S4090_307,LTD MATRIX PK via RICH TERR via GULF AV,1,S900048
S90,CA_Q8-Weekday,CA_Q8-Weekday-105000_S4090_306,LTD MATRIX PK via RICH TERR via GULF AV,1,S900048
S90,CA_Q8-Weekday,CA_Q8-Weekday-108000_MISC_525,LTD MATRIX PK via RICH TERR via GULF AV,1,S900048
S90,CA_Q8-Weekday,CA_Q8-Weekday-109500_MISC_569,LTD MATRIX PK via RICH TERR via GULF AV,1,S900048
