"stop_id","stop_name","stop_desc","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"1","Long Island City","Borden Avenue and 2nd Street","40.74128","-73.95639","http://lirr42.mta.info/stationInfo.php?id=1","1"
"2","Hunterspoint Avenue","Hunterspoint Avenue and Skillman Avenue off Van Dam Street.","40.74238","-73.94679","http://lirr42.mta.info/stationInfo.php?id=2","2"
"8","Penn Station","34th Street between 7th & 8th Avenues. ","40.75058","-73.99358","http://lirr42.mta.info/stationInfo.php?id=8","1"
"9","Woodside","61st Street and Roosevelt Avenue","40.74584","-73.90297","http://lirr42.mta.info/stationInfo.php?id=9","1"
"10","Forest Hills","Continental Avenue  (71st Ave) & Austin Street, 2 blocks South of Queens Boulevard.","40.71957","-73.84481","http://lirr42.mta.info/stationInfo.php?id=10","1"
"11","Kew Gardens","Austin Street and Lefferts Boulevard, between Queens Boulevard and Metropolitan Avenue.","40.70964","-73.83089","http://lirr42.mta.info/stationInfo.php?id=11","1"
"12","Atlantic Terminal","Intersection of Atlantic and Flatbush Avenues and Hanson Place.","40.684901","-73.97768","http://lirr42.mta.info/stationInfo.php?id=12","1"
"13","Nostrand Avenue","Nostrand Avenue and Atlantic Avenue.","40.67838","-73.94822","http://lirr42.mta.info/stationInfo.php?id=13","2"
"14","East New York","Atlantic Avenue and Williams ","40.6758","-73.90281","http://lirr42.mta.info/stationInfo.php?id=14","2"
"15","Jamaica","93-02 Sutphin Blvd., Jamaica, NY 11435.  Corner of Sutphin Boulevard and Archer Avenue, 2 blocks south of Jamaica Avenue..The easiest way to Kennedy Airport is by Air Train.   AirTrain JFK leaves from the terminal adjacent to the Long Island Rail Road's Jamaica Station every 2 to 12 minutes, depending upon the time of day.","40.6996","-73.80853","http://lirr42.mta.info/stationInfo.php?id=15","1"
"17","Mets-Willets Point","Flushing Meadow Park, south of Roosevelt Avenue.","40.75239","-73.8437","http://lirr42.mta.info/stationInfo.php?id=17","2"
"18","Flushing Main Street","Main Street and 41st Avenue, off Kissena Boulevard.","40.75789","-73.83135","http://lirr42.mta.info/stationInfo.php?id=18","1"
"19","Murray Hill","150th Street and 41st Avenue, just south of Roosevelt Avenue.","40.7627","-73.81454","http://lirr42.mta.info/stationInfo.php?id=19","2"
"20","Broadway","Intersection of 162nd Street and Northern Boulevard.  ","40.76164","-73.80176","http://lirr42.mta.info/stationInfo.php?id=20","1"
"21","Auburndale","Off Station Road, between 192nd Street and 39th Avenue, just north of Northern Boulevard.","40.76143","-73.78996","http://lirr42.mta.info/stationInfo.php?id=21","1"
"22","Bayside","213th Street and  41st Avenue, off Bell Boulevard and just north of Northern Boulevard.","40.76314","-73.77125","http://lirr42.mta.info/stationInfo.php?id=22","1"
"23","Douglaston","235th Street and 41st Avenue, off Douglaston Parkway and Wainscott Avenue.  Just north of Northern Boulevard.","40.76806","-73.74941","http://lirr42.mta.info/stationInfo.php?id=23","1"
"24","Little Neck","Little Neck Parkway and 39th Road, just north of Northern Boulevard. ","40.77504","-73.74065","http://lirr42.mta.info/stationInfo.php?id=24","1"
"25","Great Neck","Middle Neck Road and Station Plaza at Great Neck Road, 1/4 mile North of Route 25A. ","40.78721","-73.7261","http://lirr42.mta.info/stationInfo.php?id=25","1"
"26","Manhasset","Plandome Road and Maple Place, off Park Avenue.  Five blocks North of Route 25A.","40.79672","-73.6999","http://lirr42.mta.info/stationInfo.php?id=26","1"
"27","Plandome","Off Stonytown Road and Rockwood Road, near W. Circle Drive and Colonial Drive.","40.81069","-73.69521","http://lirr42.mta.info/stationInfo.php?id=27","1"
"28","Port Washington","Main Street, between Haven Avenue and South Bayles Avenue","40.82903","-73.6874","http://lirr42.mta.info/stationInfo.php?id=28","1"
"30","Hollis","193rd Street and Woodhull Avenue, just South of Jamaica Avenue.","40.71017","-73.76675","http://lirr42.mta.info/stationInfo.php?id=30","2"
"31","Queens Village","Springfield Boulevard, between 219th Street and 97th Avenue, just South of Jamaica Avenue.","40.71745","-73.73646","http://lirr42.mta.info/stationInfo.php?id=31","1"
"32","Belmont","At Belmont Park.","40.71549","-73.72862","http://lirr42.mta.info/stationInfo.php?id=32","2"
"33","Bellerose","Commonwealth Boulevard and Superior Road,  1/4 mile South of Jericho Turnpike.","40.7222","-73.71665","http://lirr42.mta.info/stationInfo.php?id=33","2"
"34","Floral Park","Tulip and Atlantic Avenue, 1/4 mile South of Jericho Turnpike.","40.72463","-73.7064","http://lirr42.mta.info/stationInfo.php?id=34","2"
