service_id,date,exception_type
BPPD8-BP_D8-Sunday-50,20180903,1
BPPD8-BP_D8-Sunday-50,20181122,1
BPPD8-BP_D8-Sunday-50,20181225,1
BPPD8-BP_D8-Sunday-50,20190101,1
BPPD8-BP_D8-Weekday-50-SDon,20181122,2
BPPD8-BP_D8-Weekday-50-SDon,20181123,2
BPPD8-BP_D8-Weekday-50-SDon,20181225,2
BPPD8-BP_D8-Weekday-50-SDon,20190101,2
BPPD8-BP_D8-Weekday-50-SDon,20180904,2
BPPD8-BP_D8-Weekday-50-SDon,20180910,2
BPPD8-BP_D8-Weekday-50-SDon,20180911,2
BPPD8-BP_D8-Weekday-50-SDon,20180919,2
BPPD8-BP_D8-Weekday-50-SDon,20181008,2
BPPD8-BP_D8-Weekday-50-SDon,20181106,2
BPPD8-BP_D8-Weekday-50-SDon,20181112,2
BPPD8-BP_D8-Weekday-50-SDon,20181224,2
BPPD8-BP_D8-Weekday-50-SDon,20181226,2
BPPD8-BP_D8-Weekday-50-SDon,20181227,2
BPPD8-BP_D8-Weekday-50-SDon,20181228,2
BPPD8-BP_D8-Weekday-50-SDon,20181231,2
BPPD8-BP_D8-Weekday-50,20180904,1
BPPD8-BP_D8-Weekday-50,20180910,1
BPPD8-BP_D8-Weekday-50,20180911,1
BPPD8-BP_D8-Weekday-50,20180919,1
BPPD8-BP_D8-Weekday-50,20181008,1
BPPD8-BP_D8-Weekday-50,20181106,1
BPPD8-BP_D8-Weekday-50,20181112,1
BPPD8-BP_D8-Weekday-50,20181224,1
BPPD8-BP_D8-Weekday-50,20181226,1
BPPD8-BP_D8-Weekday-50,20181227,1
BPPD8-BP_D8-Weekday-50,20181228,1
BPPD8-BP_D8-Weekday-50,20181231,1
CPPD8-CP_D8-Sunday-10,20180903,1
CPPD8-CP_D8-Sunday-10,20181122,1
CPPD8-CP_D8-Sunday-10,20181225,1
CPPD8-CP_D8-Sunday-10,20190101,1
CPPD8-CP_D8-Weekday-10-SDon,20181122,2
CPPD8-CP_D8-Weekday-10-SDon,20181123,2
CPPD8-CP_D8-Weekday-10-SDon,20181225,2
CPPD8-CP_D8-Weekday-10-SDon,20190101,2
CPPD8-CP_D8-Weekday-10-SDon,20180904,2
CPPD8-CP_D8-Weekday-10-SDon,20180910,2
CPPD8-CP_D8-Weekday-10-SDon,20180911,2
CPPD8-CP_D8-Weekday-10-SDon,20180919,2
