service_id,date,exception_type
GH_C9-Weekday-SDon,20190704,2
GH_C9-Weekday-SDon-BM,20190703,2
GH_C9-Weekday-SDon,20190701,2
GH_C9-Weekday-SDon-BM,20190630,2
GH_C9-Weekday-SDon,20190702,2
GH_C9-Weekday-SDon-BM,20190701,2
GH_C9-Weekday-SDon,20190703,2
GH_C9-Weekday-SDon-BM,20190702,2
GH_C9-Weekday-SDon,20190705,2
GH_C9-Weekday-SDon-BM,20190704,2
GH_C9-Weekday-SDon,20190708,2
GH_C9-Weekday-SDon-BM,20190707,2
GH_C9-Weekday-SDon,20190709,2
GH_C9-Weekday-SDon-BM,20190708,2
GH_C9-Weekday-SDon,20190710,2
GH_C9-Weekday-SDon-BM,20190709,2
GH_C9-Weekday-SDon,20190711,2
GH_C9-Weekday-SDon-BM,20190710,2
GH_C9-Weekday-SDon,20190712,2
GH_C9-Weekday-SDon-BM,20190711,2
GH_C9-Weekday-SDon,20190715,2
GH_C9-Weekday-SDon-BM,20190714,2
GH_C9-Weekday-SDon,20190716,2
GH_C9-Weekday-SDon-BM,20190715,2
GH_C9-Weekday-SDon,20190717,2
GH_C9-Weekday-SDon-BM,20190716,2
GH_C9-Weekday-SDon,20190718,2
GH_C9-Weekday-SDon-BM,20190717,2
GH_C9-Weekday-SDon,20190719,2
GH_C9-Weekday-SDon-BM,20190718,2
GH_C9-Weekday-SDon,20190722,2
GH_C9-Weekday-SDon-BM,20190721,2
GH_C9-Weekday-SDon,20190723,2
GH_C9-Weekday-SDon-BM,20190722,2
GH_C9-Weekday-SDon,20190724,2
GH_C9-Weekday-SDon-BM,20190723,2
GH_C9-Weekday-SDon,20190725,2
GH_C9-Weekday-SDon-BM,20190724,2
GH_C9-Weekday-SDon,20190726,2
GH_C9-Weekday-SDon-BM,20190725,2
GH_C9-Weekday-SDon,20190729,2
GH_C9-Weekday-SDon-BM,20190728,2
GH_C9-Weekday-SDon,20190730,2
GH_C9-Weekday-SDon-BM,20190729,2
GH_C9-Weekday-SDon,20190731,2
GH_C9-Weekday-SDon-BM,20190730,2
GH_C9-Weekday-SDon,20190801,2
GH_C9-Weekday-SDon-BM,20190731,2
GH_C9-Weekday-SDon,20190802,2
GH_C9-Weekday-SDon-BM,20190801,2
GH_C9-Weekday-SDon,20190805,2
GH_C9-Weekday-SDon-BM,20190804,2
GH_C9-Weekday-SDon,20190806,2
GH_C9-Weekday-SDon-BM,20190805,2
GH_C9-Weekday-SDon,20190807,2
GH_C9-Weekday-SDon-BM,20190806,2
GH_C9-Weekday-SDon,20190808,2
GH_C9-Weekday-SDon-BM,20190807,2
GH_C9-Weekday-SDon,20190809,2
GH_C9-Weekday-SDon-BM,20190808,2
GH_C9-Weekday-SDon,20190812,2
GH_C9-Weekday-SDon-BM,20190811,2
GH_C9-Weekday-SDon,20190813,2
GH_C9-Weekday-SDon-BM,20190812,2
GH_C9-Weekday-SDon,20190814,2
GH_C9-Weekday-SDon-BM,20190813,2
GH_C9-Weekday-SDon,20190815,2
GH_C9-Weekday-SDon-BM,20190814,2
GH_C9-Weekday-SDon,20190816,2
GH_C9-Weekday-SDon-BM,20190815,2
GH_C9-Weekday-SDon,20190819,2
GH_C9-Weekday-SDon-BM,20190818,2
GH_C9-Weekday-SDon,20190820,2
GH_C9-Weekday-SDon-BM,20190819,2
GH_C9-Weekday-SDon,20190821,2
GH_C9-Weekday-SDon-BM,20190820,2
GH_C9-Weekday-SDon,20190822,2
GH_C9-Weekday-SDon-BM,20190821,2
GH_C9-Weekday-SDon,20190823,2
GH_C9-Weekday-SDon-BM,20190822,2
GH_C9-Weekday-SDon,20190826,2
GH_C9-Weekday-SDon-BM,20190825,2
GH_C9-Weekday-SDon,20190827,2
GH_C9-Weekday-SDon-BM,20190826,2
GH_C9-Weekday-SDon,20190828,2
GH_C9-Weekday-SDon-BM,20190827,2
GH_C9-Weekday-SDon,20190829,2
GH_C9-Weekday-SDon-BM,20190828,2
