route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX30,GH_O8-Weekday,GH_O8-Weekday-031500_BX30_201,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-036000_BX30_201,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-041500_BX30_201,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-033000_BX30_202,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-038000_BX30_202,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-044700_BX30_202,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-034000_BX30_203,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-039400_BX30_203,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-045300_BX30_203,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-052900_BX30_203,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-035000_BX26_102,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-040600_BX26_102,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-046700_BX26_102,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-036000_BX238_12,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-041600_BX238_12,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-048600_BX238_12,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-055500_BX238_12,CO-OP CITY EARHART LA,0,BX300092
BX30,GH_O8-Weekday,GH_O8-Weekday-061500_BX30_220,NORWOOD 205 ST STA,1,BX300091
BX30,GH_O8-Weekday,GH_O8-Weekday-067500_BX30_220,CO-OP CITY EARHART LA,0,BX300092
