service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,1,20180829,20180929
2,0,0,0,0,0,0,1,20180829,20180929
3,0,0,0,0,0,1,0,20180829,20180929
4,1,1,1,1,1,0,0,20180829,20180929
5,0,0,0,0,1,0,0,20180829,20180929
6949,0,0,0,0,0,0,0,20180829,20180929
7016,0,0,0,0,0,0,0,20180829,20180929
7017,0,0,0,0,0,0,0,20180829,20180929
7021,0,0,0,0,0,0,0,20180829,20180929
7026,0,0,0,0,0,0,0,20180829,20180929
7077,0,0,0,0,0,0,0,20180829,20180929
7083,0,0,0,0,0,0,0,20180829,20180929
7084,0,0,0,0,0,0,0,20180829,20180929
7085,0,0,0,0,0,0,0,20180829,20180929
