service_id,date,exception_type
7674,20190712,1
7675,20190713,1
7676,20190714,1
7683,20190715,1
7693,20190716,1
7693,20190717,1
7710,20190718,1
7714,20190719,1
7712,20190720,1
7713,20190721,1
7690,20190722,1
7691,20190723,1
7691,20190724,1
7691,20190725,1
7703,20190726,1
7701,20190727,1
7702,20190728,1
7690,20190729,1
7696,20190730,1
7697,20190731,1
7691,20190801,1
7706,20190802,1
7671,20190803,1
7672,20190804,1
7690,20190805,1
7691,20190806,1
7691,20190807,1
7707,20190808,1
7692,20190809,1
7688,20190810,1
7689,20190811,1
7683,20190812,1
7693,20190813,1
7697,20190814,1
7696,20190815,1
7694,20190816,1
7675,20190817,1
7676,20190818,1
7690,20190819,1
7691,20190820,1
7691,20190821,1
7691,20190822,1
7692,20190823,1
7688,20190824,1
7689,20190825,1
7690,20190826,1
7691,20190827,1
7691,20190828,1
7691,20190829,1
7692,20190830,1
7675,20190831,1
7676,20190901,1
7690,20190902,1
7691,20190903,1
7691,20190904,1
7691,20190905,1
7692,20190906,1
7688,20190907,1
7689,20190908,1
7690,20190909,1
7691,20190910,1
7691,20190911,1
7691,20190912,1
7692,20190913,1
7688,20190914,1
7689,20190915,1
7690,20190916,1
7691,20190917,1
7691,20190918,1
7691,20190919,1
7692,20190920,1
7675,20190921,1
7676,20190922,1
7690,20190923,1
7691,20190924,1
7691,20190925,1
7691,20190926,1
7692,20190927,1
7688,20190928,1
