shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M010192,40.821064,-73.935850,10001
M010192,40.820462,-73.936309,10002
M010192,40.820335,-73.936402,10003
M010192,40.820335,-73.936402,20001
M010192,40.820312,-73.936419,20002
M010192,40.819792,-73.936799,20003
M010192,40.819622,-73.936919,20004
M010192,40.819442,-73.937049,20005
M010192,40.819162,-73.937249,20006
M010192,40.818522,-73.937709,20007
M010192,40.818217,-73.937934,20008
M010192,40.818217,-73.937934,30001
M010192,40.817912,-73.938159,30002
M010192,40.817572,-73.938399,30003
M010192,40.817292,-73.938609,30004
M010192,40.816692,-73.939039,30005
M010192,40.816632,-73.938899,30006
M010192,40.816526,-73.938642,30007
M010192,40.816526,-73.938642,40001
M010192,40.816002,-73.937369,40002
M010192,40.815752,-73.936769,40003
M010192,40.815322,-73.935749,40004
M010192,40.815155,-73.935867,40005
M010192,40.815155,-73.935867,50001
M010192,40.814842,-73.936089,50002
M010192,40.814772,-73.936139,50003
M010192,40.814662,-73.936239,50004
M010192,40.814032,-73.936689,50005
M010192,40.813746,-73.936896,50006
M010192,40.813746,-73.936896,60001
M010192,40.813412,-73.937139,60002
M010192,40.812742,-73.937639,60003
M010192,40.812322,-73.937942,60004
M010192,40.812322,-73.937942,70001
M010192,40.812272,-73.937979,70002
M010192,40.811742,-73.938379,70003
M010192,40.811192,-73.938769,70004
M010192,40.810852,-73.939019,70005
M010192,40.810589,-73.939209,70006
M010192,40.810589,-73.939209,80001
M010192,40.810202,-73.939489,80002
M010192,40.809572,-73.939949,80003
M010192,40.809316,-73.940135,80004
M010192,40.809316,-73.940135,90001
M010192,40.809242,-73.940189,90002
M010192,40.808952,-73.940399,90003
M010192,40.808322,-73.940859,90004
M010192,40.808044,-73.941068,90005
M010192,40.808044,-73.941068,100001
M010192,40.807712,-73.941319,100002
M010192,40.807082,-73.941769,100003
M010192,40.806422,-73.942249,100004
M010192,40.806105,-73.942482,100005
M010192,40.806105,-73.942482,110001
M010192,40.805742,-73.942749,110002
M010192,40.805802,-73.942889,110003
M010192,40.805842,-73.942999,110004
M010192,40.805902,-73.943139,110005
M010192,40.806182,-73.943819,110006
M010192,40.806392,-73.944319,110007
M010192,40.806146,-73.944499,110008
M010192,40.806146,-73.944499,120001
M010192,40.805762,-73.944779,120002
M010192,40.805132,-73.945229,120003
M010192,40.804575,-73.945641,120004
M010192,40.804575,-73.945641,130001
M010192,40.804512,-73.945689,130002
M010192,40.804382,-73.945779,130003
M010192,40.803882,-73.946149,130004
M010192,40.803652,-73.945599,130005
M010192,40.803282,-73.944719,130006
M010192,40.803249,-73.944648,130007
M010192,40.803249,-73.944648,140001
M010192,40.803222,-73.944589,140002
M010192,40.802592,-73.945049,140003
M010192,40.801962,-73.945509,140004
M010192,40.801652,-73.945735,140005
M010192,40.801652,-73.945735,150001
M010192,40.801332,-73.945969,150002
M010192,40.800652,-73.946459,150003
M010192,40.800310,-73.946707,150004
M010192,40.800310,-73.946707,160001
M010192,40.799952,-73.946969,160002
M010192,40.798722,-73.947849,160003
M010192,40.798132,-73.948309,160004
M010192,40.798042,-73.948379,160005
M010192,40.797833,-73.948529,160006
M010192,40.797833,-73.948529,170001
M010192,40.797472,-73.948789,170002
M010192,40.797232,-73.948979,170003
M010192,40.797102,-73.949089,170004
M010192,40.796632,-73.949419,170005
M010192,40.796507,-73.949502,170006
M010192,40.796507,-73.949502,180001
M010192,40.796212,-73.949699,180002
M010192,40.795582,-73.950159,180003
M010192,40.795477,-73.950235,180004
M010192,40.795477,-73.950235,190001
M010192,40.794143,-73.951208,190002
M010192,40.794143,-73.951208,200001
M010192,40.793037,-73.952011,200002
M010192,40.793037,-73.952011,210001
M010192,40.791537,-73.953107,210002
M010192,40.791537,-73.953107,220001
M010192,40.789167,-73.954842,220002
M010192,40.789167,-73.954842,230001
M010192,40.788179,-73.955552,230002
M010192,40.788179,-73.955552,240001
M010192,40.786520,-73.956772,240002
M010192,40.786520,-73.956772,250001
M010192,40.785424,-73.957571,250002
M010192,40.785424,-73.957571,260001
M010192,40.785332,-73.957639,260002
M010192,40.784712,-73.958099,260003
M010192,40.784092,-73.958549,260004
M010192,40.783963,-73.958639,260005
M010192,40.783963,-73.958639,270001
M010192,40.783452,-73.958999,270002
M010192,40.783392,-73.959049,270003
M010192,40.782832,-73.959459,270004
M010192,40.782202,-73.959919,270005
M010192,40.782148,-73.959957,270006
M010192,40.782148,-73.959957,280001
M010192,40.781522,-73.960409,280002
M010192,40.781212,-73.960639,280003
M010192,40.780842,-73.960909,280004
M010192,40.780399,-73.961239,280005
M010192,40.780399,-73.961239,290001
M010192,40.778512,-73.962617,290002
M010192,40.778512,-73.962617,300001
M010192,40.776214,-73.964293,300002
M010192,40.776214,-73.964293,310001
M010192,40.775577,-73.964756,310002
M010192,40.775577,-73.964756,320001
M010192,40.774313,-73.965674,320002
M010192,40.774313,-73.965674,330001
M010192,40.771763,-73.967538,330002
M010192,40.771763,-73.967538,340001
M010192,40.770226,-73.968661,340002
M010192,40.770226,-73.968661,350001
M010192,40.768193,-73.970141,350002
M010192,40.768193,-73.970141,360001
M010192,40.768032,-73.970259,360002
M010192,40.767382,-73.970729,360003
M010192,40.767321,-73.970774,360004
M010192,40.767321,-73.970774,370001
M010192,40.766762,-73.971189,370002
M010192,40.766132,-73.971649,370003
M010192,40.766053,-73.971706,370004
M010192,40.766053,-73.971706,380001
M010192,40.764409,-73.972916,380002
M010192,40.764409,-73.972916,390001
M010192,40.764262,-73.973019,390002
M010192,40.764142,-73.973109,390003
M010192,40.763992,-73.973219,390004
M010192,40.763632,-73.973479,390005
M010192,40.763292,-73.973719,390006
M010192,40.763172,-73.973809,390007
M010192,40.762952,-73.973949,390008
M010192,40.762282,-73.974459,390009
M010192,40.761662,-73.974909,390010
M010192,40.761032,-73.975369,390011
M010192,40.760402,-73.975829,390012
M010192,40.760292,-73.975909,390013
M010192,40.760172,-73.975999,390014
M010192,40.759884,-73.976213,390015
M010192,40.759884,-73.976213,400001
M010192,40.757990,-73.977584,400002
M010192,40.757990,-73.977584,410001
M010192,40.756119,-73.978958,410002
M010192,40.756119,-73.978958,420001
M010192,40.754840,-73.979896,420002
M010192,40.754840,-73.979896,430001
M010192,40.752893,-73.981309,430002
M010192,40.752893,-73.981309,440001
M010192,40.750903,-73.982755,440002
M010192,40.750903,-73.982755,450001
M010192,40.750342,-73.983179,450002
M010192,40.749722,-73.983619,450003
M010192,40.749437,-73.983827,450004
M010192,40.749437,-73.983827,460001
M010192,40.749092,-73.984079,460002
M010192,40.748432,-73.984559,460003
M010192,40.748272,-73.984679,460004
M010192,40.747762,-73.985049,460005
M010192,40.747463,-73.985265,460006
M010192,40.747463,-73.985265,470001
M010192,40.747142,-73.985499,470002
M010192,40.746532,-73.985949,470003
M010192,40.746222,-73.986169,470004
M010192,40.746222,-73.986169,480001
M010192,40.745912,-73.986389,480002
M010192,40.745292,-73.986849,480003
M010192,40.745031,-73.987038,480004
M010192,40.745031,-73.987038,490001
M010192,40.744672,-73.987299,490002
M010192,40.744052,-73.987749,490003
M010192,40.743672,-73.988029,490004
M010192,40.743432,-73.988199,490005
M010192,40.743107,-73.988426,490006
M010192,40.743107,-73.988426,500001
M010192,40.742802,-73.988639,500002
M010192,40.742312,-73.988979,500003
M010192,40.741892,-73.989279,500004
M010192,40.741532,-73.989569,500005
M010192,40.741150,-73.989857,500006
M010192,40.741150,-73.989857,510001
M010192,40.740872,-73.990069,510002
M010192,40.740252,-73.990519,510003
M010192,40.739662,-73.990939,510004
M010192,40.739365,-73.991164,510005
M010192,40.739365,-73.991164,520001
M010192,40.739082,-73.991379,520002
M010192,40.738492,-73.991799,520003
M010192,40.737902,-73.992219,520004
M010192,40.737626,-73.992423,520005
M010192,40.737626,-73.992423,530001
M010192,40.737322,-73.992649,530002
M010192,40.736682,-73.993119,530003
M010192,40.735992,-73.993619,530004
M010192,40.735669,-73.993847,530005
M010192,40.735669,-73.993847,540001
M010192,40.735302,-73.994109,540002
M010192,40.734662,-73.994589,540003
M010192,40.734431,-73.994755,540004
M010192,40.734431,-73.994755,550001
M010192,40.734022,-73.995049,550002
M010192,40.733432,-73.995489,550003
M010192,40.733187,-73.995663,550004
M010192,40.733187,-73.995663,560001
M010192,40.732842,-73.995909,560002
M010192,40.732242,-73.996349,560003
M010192,40.732050,-73.995888,560004
M010192,40.732050,-73.995888,570001
M010192,40.731592,-73.994789,570002
M010192,40.731458,-73.994472,570003
M010192,40.731458,-73.994472,580001
M010192,40.731272,-73.994029,580002
M010192,40.730942,-73.993249,580003
M010192,40.730754,-73.992805,580004
M010192,40.730754,-73.992805,590001
M010192,40.730582,-73.992399,590002
M010192,40.730103,-73.991255,590003
M010192,40.730103,-73.991255,600001
M010192,40.730042,-73.991109,600002
M010192,40.729872,-73.990719,600003
M010192,40.730232,-73.990609,600004
M010192,40.730290,-73.990592,600005
M010193,40.821064,-73.935850,10001
M010193,40.820462,-73.936309,10002
M010193,40.820335,-73.936402,10003
M010193,40.820335,-73.936402,20001
M010193,40.820312,-73.936419,20002
M010193,40.819792,-73.936799,20003
M010193,40.819622,-73.936919,20004
M010193,40.819442,-73.937049,20005
M010193,40.819162,-73.937249,20006
M010193,40.818522,-73.937709,20007
M010193,40.818217,-73.937934,20008
M010193,40.818217,-73.937934,30001
M010193,40.817912,-73.938159,30002
M010193,40.817572,-73.938399,30003
M010193,40.817292,-73.938609,30004
M010193,40.816692,-73.939039,30005
M010193,40.816632,-73.938899,30006
M010193,40.816526,-73.938642,30007
M010193,40.816526,-73.938642,40001
M010193,40.816002,-73.937369,40002
M010193,40.815752,-73.936769,40003
M010193,40.815322,-73.935749,40004
M010193,40.815155,-73.935867,40005
M010193,40.815155,-73.935867,50001
M010193,40.814842,-73.936089,50002
M010193,40.814772,-73.936139,50003
M010193,40.814662,-73.936239,50004
M010193,40.814032,-73.936689,50005
M010193,40.813746,-73.936896,50006
M010193,40.813746,-73.936896,60001
M010193,40.813412,-73.937139,60002
M010193,40.812742,-73.937639,60003
M010193,40.812322,-73.937942,60004
M010193,40.812322,-73.937942,70001
M010193,40.812272,-73.937979,70002
