service_id,date,exception_type
CS_C9-Weekday-SDon,20190704,2
CS_C9-Weekday-SDon-BM,20190703,2
CS_C9-Weekday-SDon,20190701,2
CS_C9-Weekday-SDon-BM,20190630,2
CS_C9-Weekday-SDon,20190702,2
CS_C9-Weekday-SDon-BM,20190701,2
CS_C9-Weekday-SDon,20190703,2
CS_C9-Weekday-SDon-BM,20190702,2
CS_C9-Weekday-SDon,20190705,2
CS_C9-Weekday-SDon-BM,20190704,2
CS_C9-Weekday-SDon,20190708,2
CS_C9-Weekday-SDon-BM,20190707,2
CS_C9-Weekday-SDon,20190709,2
CS_C9-Weekday-SDon-BM,20190708,2
CS_C9-Weekday-SDon,20190710,2
CS_C9-Weekday-SDon-BM,20190709,2
CS_C9-Weekday-SDon,20190711,2
CS_C9-Weekday-SDon-BM,20190710,2
CS_C9-Weekday-SDon,20190712,2
CS_C9-Weekday-SDon-BM,20190711,2
CS_C9-Weekday-SDon,20190715,2
CS_C9-Weekday-SDon-BM,20190714,2
CS_C9-Weekday-SDon,20190716,2
CS_C9-Weekday-SDon-BM,20190715,2
CS_C9-Weekday-SDon,20190717,2
CS_C9-Weekday-SDon-BM,20190716,2
CS_C9-Weekday-SDon,20190718,2
CS_C9-Weekday-SDon-BM,20190717,2
CS_C9-Weekday-SDon,20190719,2
CS_C9-Weekday-SDon-BM,20190718,2
CS_C9-Weekday-SDon,20190722,2
CS_C9-Weekday-SDon-BM,20190721,2
CS_C9-Weekday-SDon,20190723,2
CS_C9-Weekday-SDon-BM,20190722,2
CS_C9-Weekday-SDon,20190724,2
CS_C9-Weekday-SDon-BM,20190723,2
CS_C9-Weekday-SDon,20190725,2
CS_C9-Weekday-SDon-BM,20190724,2
CS_C9-Weekday-SDon,20190726,2
CS_C9-Weekday-SDon-BM,20190725,2
CS_C9-Weekday-SDon,20190729,2
CS_C9-Weekday-SDon-BM,20190728,2
CS_C9-Weekday-SDon,20190730,2
CS_C9-Weekday-SDon-BM,20190729,2
CS_C9-Weekday-SDon,20190731,2
CS_C9-Weekday-SDon-BM,20190730,2
