shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010030,40.717871,-73.735625,10001
Q010030,40.717862,-73.735369,10002
Q010030,40.718052,-73.735339,10003
Q010030,40.718512,-73.735279,10004
Q010030,40.718642,-73.735279,10005
Q010030,40.718975,-73.735365,10006
Q010030,40.718975,-73.735365,20001
Q010030,40.718992,-73.735369,20002
Q010030,40.719842,-73.735719,20003
Q010030,40.720152,-73.735854,20004
Q010030,40.720152,-73.735854,30001
Q010030,40.720552,-73.736029,30002
Q010030,40.721102,-73.736269,30003
Q010030,40.721242,-73.736349,30004
Q010030,40.721402,-73.736420,30005
Q010030,40.721402,-73.736420,40001
Q010030,40.721782,-73.736589,40002
Q010030,40.721912,-73.736649,40003
Q010030,40.722472,-73.736909,40004
Q010030,40.722512,-73.736949,40005
Q010030,40.722712,-73.737158,40006
Q010030,40.722712,-73.737158,50001
Q010030,40.723632,-73.738119,50002
Q010030,40.724492,-73.739039,50003
Q010030,40.724592,-73.739139,50004
Q010030,40.724842,-73.739404,50005
Q010030,40.724842,-73.739404,60001
Q010030,40.725442,-73.740039,60002
Q010030,40.725692,-73.740329,60003
Q010030,40.725938,-73.740584,60004
Q010030,40.725938,-73.740584,70001
Q010030,40.726802,-73.741479,70002
Q010030,40.727052,-73.741745,70003
Q010030,40.727052,-73.741745,80001
Q010030,40.729032,-73.743849,80002
Q010030,40.729273,-73.744111,80003
Q010030,40.729273,-73.744111,90001
Q010030,40.729712,-73.744589,90002
Q010030,40.729902,-73.744789,90003
Q010030,40.729585,-73.745298,90004
Q010030,40.729585,-73.745298,100001
Q010030,40.729472,-73.745479,100002
Q010030,40.729232,-73.745879,100003
Q010030,40.729032,-73.746169,100004
Q010030,40.728742,-73.746609,100005
Q010030,40.728592,-73.746849,100006
Q010030,40.728522,-73.746959,100007
Q010030,40.728442,-73.747069,100008
Q010030,40.728426,-73.747072,100009
Q010030,40.728426,-73.747072,110001
Q010030,40.728352,-73.747089,110002
Q010030,40.728022,-73.747639,110003
Q010030,40.727792,-73.748029,110004
Q010030,40.727622,-73.748329,110005
Q010030,40.727562,-73.748449,110006
Q010030,40.727192,-73.749209,110007
Q010030,40.727031,-73.749555,110008
Q010030,40.727031,-73.749555,120001
Q010030,40.726812,-73.750029,120002
Q010030,40.726422,-73.750849,120003
Q010030,40.726002,-73.751749,120004
Q010030,40.725829,-73.752094,120005
Q010030,40.725829,-73.752094,130001
Q010030,40.725572,-73.752609,130002
Q010030,40.725362,-73.752979,130003
Q010030,40.725142,-73.753359,130004
Q010030,40.724972,-73.753639,130005
Q010030,40.724692,-73.754109,130006
Q010030,40.724480,-73.754446,130007
Q010030,40.724480,-73.754446,140001
Q010030,40.724232,-73.754839,140002
Q010030,40.724182,-73.754909,140003
Q010030,40.724132,-73.754999,140004
Q010030,40.723622,-73.755769,140005
Q010030,40.723399,-73.756084,140006
Q010030,40.723399,-73.756084,150001
Q010030,40.723072,-73.756549,150002
Q010030,40.722572,-73.757269,150003
Q010030,40.722512,-73.757349,150004
Q010030,40.722356,-73.757555,150005
Q010030,40.722356,-73.757555,160001
Q010030,40.722052,-73.757959,160002
Q010030,40.722012,-73.758009,160003
Q010030,40.721572,-73.758669,160004
Q010030,40.721062,-73.759419,160005
Q010030,40.720902,-73.759689,160006
Q010030,40.720722,-73.760089,160007
Q010030,40.720668,-73.760224,160008
Q010030,40.720668,-73.760224,170001
Q010030,40.720642,-73.760289,170002
Q010030,40.720332,-73.761139,170003
Q010030,40.720002,-73.761979,170004
Q010030,40.719867,-73.762285,170005
Q010030,40.719867,-73.762285,180001
Q010030,40.719822,-73.762389,180002
Q010030,40.719642,-73.762789,180003
Q010030,40.719282,-73.763619,180004
Q010030,40.718892,-73.764479,180005
Q010030,40.718825,-73.764593,180006
Q010030,40.718825,-73.764593,190001
Q010030,40.718342,-73.765419,190002
Q010030,40.718135,-73.765780,190003
Q010030,40.718135,-73.765780,200001
Q010030,40.717632,-73.766659,200002
Q010030,40.717352,-73.767169,200003
Q010030,40.717282,-73.767309,200004
Q010030,40.716972,-73.768199,200005
Q010030,40.716812,-73.768679,200006
Q010030,40.716662,-73.769089,200007
Q010030,40.716622,-73.769219,200008
Q010030,40.716500,-73.769571,200009
Q010030,40.716500,-73.769571,210001
Q010030,40.716322,-73.770089,210002
Q010030,40.716002,-73.770989,210003
Q010030,40.715962,-73.771089,210004
Q010030,40.715832,-73.771469,210005
Q010030,40.715832,-73.771469,220001
Q010030,40.715682,-73.771909,220002
Q010030,40.715382,-73.772759,220003
Q010030,40.715159,-73.773410,220004
Q010030,40.715159,-73.773410,230001
Q010030,40.715112,-73.773549,230002
Q010030,40.715022,-73.773939,230003
Q010030,40.714902,-73.774429,230004
Q010030,40.714697,-73.775237,230005
Q010030,40.714697,-73.775237,240001
Q010030,40.714682,-73.775299,240002
Q010030,40.714592,-73.775709,240003
Q010030,40.714462,-73.776209,240004
Q010030,40.714242,-73.777119,240005
Q010030,40.714042,-73.778009,240006
Q010030,40.713862,-73.778879,240007
Q010030,40.713662,-73.779729,240008
Q010030,40.713497,-73.780415,240009
Q010030,40.713497,-73.780415,250001
Q010030,40.713472,-73.780519,250002
Q010030,40.713452,-73.780599,250003
Q010030,40.713162,-73.781799,250004
Q010030,40.713112,-73.781979,250005
Q010030,40.713022,-73.782289,250006
Q010030,40.712982,-73.782439,250007
Q010030,40.712922,-73.782669,250008
Q010030,40.712832,-73.783009,250009
Q010030,40.712725,-73.783400,250010
Q010030,40.712725,-73.783400,260001
Q010030,40.712682,-73.783559,260002
Q010030,40.712482,-73.784469,260003
Q010030,40.712272,-73.785339,260004
Q010030,40.712162,-73.785772,260005
Q010030,40.712162,-73.785772,270001
Q010030,40.712062,-73.786169,270002
Q010030,40.711862,-73.786989,270003
Q010030,40.711812,-73.787189,270004
Q010030,40.711782,-73.787369,270005
Q010030,40.711772,-73.787639,270006
Q010030,40.711792,-73.787889,270007
Q010030,40.711812,-73.788009,270008
Q010030,40.711842,-73.788099,270009
Q010030,40.711912,-73.788269,270010
