service_id,date,exception_type
CA_D8-Sunday,20180903,1
CA_D8-Sunday,20181122,1
CA_D8-Sunday,20181225,1
CA_D8-Sunday,20190101,1
CA_D8-Weekday-SDon,20181122,2
CA_D8-Weekday-SDon,20181225,2
CA_D8-Weekday-SDon,20190101,2
CA_D8-Weekday-SDon,20180904,2
CA_D8-Weekday-SDon,20180910,2
CA_D8-Weekday-SDon,20180911,2
CA_D8-Weekday-SDon,20180919,2
CA_D8-Weekday-SDon,20181008,2
CA_D8-Weekday-SDon,20181106,2
CA_D8-Weekday-SDon,20181112,2
CA_D8-Weekday-SDon,20181123,2
CA_D8-Weekday-SDon,20181224,2
CA_D8-Weekday-SDon,20181226,2
CA_D8-Weekday-SDon,20181227,2
CA_D8-Weekday-SDon,20181228,2
CA_D8-Weekday-SDon,20181231,2
CA_D8-Weekday,20180904,1
CA_D8-Weekday,20180910,1
CA_D8-Weekday,20180911,1
CA_D8-Weekday,20180919,1
CA_D8-Weekday,20181008,1
CA_D8-Weekday,20181106,1
CA_D8-Weekday,20181112,1
CA_D8-Weekday,20181123,1
CA_D8-Weekday,20181224,1
CA_D8-Weekday,20181226,1
CA_D8-Weekday,20181227,1
CA_D8-Weekday,20181228,1
CA_D8-Weekday,20181231,1
CH_D8-Sunday,20180903,1
CH_D8-Sunday,20181122,1
CH_D8-Sunday,20181225,1
CH_D8-Sunday,20190101,1
CH_D8-Weekday-SDon,20181122,2
CH_D8-Weekday-SDon,20181225,2
CH_D8-Weekday-SDon,20190101,2
CH_D8-Weekday-SDon,20180904,2
CH_D8-Weekday-SDon,20180910,2
CH_D8-Weekday-SDon,20180911,2
CH_D8-Weekday-SDon,20180919,2
CH_D8-Weekday-SDon,20181008,2
CH_D8-Weekday-SDon,20181106,2
CH_D8-Weekday-SDon,20181112,2
CH_D8-Weekday-SDon,20181123,2
CH_D8-Weekday-SDon,20181224,2
CH_D8-Weekday-SDon,20181226,2
CH_D8-Weekday-SDon,20181227,2
CH_D8-Weekday-SDon,20181228,2
CH_D8-Weekday-SDon,20181231,2
CH_D8-Weekday,20180904,1
CH_D8-Weekday,20180910,1
CH_D8-Weekday,20180911,1
CH_D8-Weekday,20180919,1
CH_D8-Weekday,20181008,1
CH_D8-Weekday,20181106,1
CH_D8-Weekday,20181112,1
CH_D8-Weekday,20181123,1
CH_D8-Weekday,20181224,1
CH_D8-Weekday,20181226,1
CH_D8-Weekday,20181227,1
CH_D8-Weekday,20181228,1
CH_D8-Weekday,20181231,1
MA_D8-Sunday,20180903,1
MA_D8-Sunday,20181122,1
MA_D8-Sunday,20181225,1
MA_D8-Sunday,20190101,1
MA_D8-Weekday-SDon,20181122,2
MA_D8-Weekday-SDon,20181225,2
MA_D8-Weekday-SDon,20190101,2
MA_D8-Weekday-SDon,20180904,2
MA_D8-Weekday-SDon,20180910,2
MA_D8-Weekday-SDon,20180911,2
MA_D8-Weekday-SDon,20180919,2
MA_D8-Weekday-SDon,20181008,2
MA_D8-Weekday-SDon,20181106,2
MA_D8-Weekday-SDon,20181112,2
MA_D8-Weekday-SDon,20181123,2
MA_D8-Weekday-SDon,20181224,2
MA_D8-Weekday-SDon,20181226,2
MA_D8-Weekday-SDon,20181227,2
MA_D8-Weekday-SDon,20181228,2
MA_D8-Weekday-SDon,20181231,2
MA_D8-Weekday,20180904,1
MA_D8-Weekday,20180910,1
MA_D8-Weekday,20180911,1
MA_D8-Weekday,20180919,1
MA_D8-Weekday,20181008,1
MA_D8-Weekday,20181106,1
MA_D8-Weekday,20181112,1
MA_D8-Weekday,20181123,1
MA_D8-Weekday,20181224,1
MA_D8-Weekday,20181226,1
MA_D8-Weekday,20181227,1
MA_D8-Weekday,20181228,1
MA_D8-Weekday,20181231,1
YU_D8-Sunday,20180903,1
YU_D8-Sunday,20181122,1
YU_D8-Sunday,20181225,1
YU_D8-Sunday,20190101,1
YU_D8-Weekday-SDon,20181122,2
YU_D8-Weekday-SDon,20181225,2
YU_D8-Weekday-SDon,20190101,2
YU_D8-Weekday-SDon,20180904,2
YU_D8-Weekday-SDon,20180910,2
YU_D8-Weekday-SDon,20180911,2
YU_D8-Weekday-SDon,20180919,2
YU_D8-Weekday-SDon,20181008,2
YU_D8-Weekday-SDon,20181106,2
YU_D8-Weekday-SDon,20181112,2
YU_D8-Weekday-SDon,20181123,2
YU_D8-Weekday-SDon,20181224,2
YU_D8-Weekday-SDon,20181226,2
YU_D8-Weekday-SDon,20181227,2
YU_D8-Weekday-SDon,20181228,2
YU_D8-Weekday-SDon,20181231,2
YU_D8-Weekday,20180904,1
YU_D8-Weekday,20180910,1
YU_D8-Weekday,20180911,1
YU_D8-Weekday,20180919,1
YU_D8-Weekday,20181008,1
YU_D8-Weekday,20181106,1
YU_D8-Weekday,20181112,1
YU_D8-Weekday,20181123,1
YU_D8-Weekday,20181224,1
YU_D8-Weekday,20181226,1
YU_D8-Weekday,20181227,1
YU_D8-Weekday,20181228,1
YU_D8-Weekday,20181231,1
