route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
SIM7,CA_D8-Weekday,CA_D8-Weekday-087000_MISC_600,ELTNGVE TRAN CTR via HYLAN BL via RICH A,1,SIM70049
S40,CA_D8-Weekday,CA_D8-Weekday-006000_S4090_301,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-012000_S4090_302,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-018000_MISC_403,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-024000_S4090_301,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-030000_MISC_417,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-033000_MISC_426,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-036000_MISC_423,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-038500_MISC_430,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-040500_MISC_417,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-042000_MISC_452,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-043500_MISC_454,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-048000_S4090_302,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-050000_MISC_500,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-054000_MISC_480,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-056000_S4090_304,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-058000_MISC_432,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-060000_MISC_441,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-062000_MISC_447,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-064000_MISC_444,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-066000_MISC_479,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-068000_MISC_432,MATRIX PT RICH TERR  via GULF AV,1,S400082
S40,CA_D8-Weekday,CA_D8-Weekday-070000_MISC_441,MATRIX PT RICH TERR  via GULF AV,1,S400082
