stop_id,stop_name,trains
101,Van Cortlandt Park - 242 St,1
103,238 St,1
104,231 St,1
201,Wakefield - 241 St,2
204,Nereid Av,2 5
205,233 St,2 5
206,225 St,2 5
207,219 St,2 5
208,Gun Hill Rd,2 5
209,Burke Av,2 5
210,Allerton Av,2 5
211,Pelham Pkwy,2 5
212,Bronx Park East,2 5
213,E 180 St,2 5
214,West Farms Sq - E Tremont Av,2 5
215,174 St,2 5
216,Freeman St,2 5
217,Simpson St,2 5
218,Intervale Av,2 5
219,Prospect Av,2 5
220,Jackson Av,2 5
221,3 Av - 149 St,2 5
222,149 St - Grand Concourse,2
401,Woodlawn,4
402,Mosholu Pkwy,4
405,Bedford Park Blvd - Lehman College,4
406,Kingsbridge Rd,4
407,Fordham Rd,4
408,183 St,4
409,Burnside Av,4
410,176 St,4
411,Mt Eden Av,4
412,170 St,4
413,167 St,4
414,161 St - Yankee Stadium,4
415,149 St - Grand Concourse,4 5
416,138 St - Grand Concourse,4 5
501,Eastchester - Dyre Av,5
502,Baychester Av,5
503,Gun Hill Rd,5
504,Pelham Pkwy,5
505,Morris Park,5
601,Pelham Bay Park,6
602,Buhre Av,6
603,Middletown Rd,6
604,Westchester Sq - E Tremont Av,6
606,Zerega Av,6
607,Castle Hill Av,6
608,Parkchester,6
609,St Lawrence Av,6
610,Morrison Av- Sound View,6
611,Elder Av,6
612,Whitlock Av,6
613,Hunts Point Av,6
614,Longwood Av,6
615,E 149 St,6
616,E 143 St - St Mary's St,6
617,Cypress Av,6
618,Brook Av,6
619,3 Av - 138 St,6
D01,Norwood - 205 St,D
D03,Bedford Park Blvd,B D
D04,Kingsbridge Rd,B D
D05,Fordham Rd,B D
D06,182-183 Sts,B D
D07,Tremont Av,B D
D08,174-175 Sts,B D
D09,170 St,B D
D10,167 St,B D
D11,161 St - Yankee Stadium,B D
106,Marble Hill - 225 St,1
107,215 St,1
108,207 St,1
109,Dyckman St,1
110,191 St,1
111,181 St,1
112,168 St - Washington Hts,1
113,157 St,1
114,145 St,1
115,137 St - City College,1
116,125 St,1
117,116 St - Columbia University,1
118,Cathedral Pkwy,1
119,103 St,1
120,96 St,1 2 3
121,86 St,1
122,79 St,1
123,72 St,1 2 3
124,66 St - Lincoln Center,1
125,59 St - Columbus Circle,1
126,50 St,1
127,Times Sq - 42 St,1 2 3
128,34 St - Penn Station,1 2 3
129,28 St,1
130,23 St,1
131,18 St,1
132,14 St,1 2 3
133,Christopher St - Sheridan Sq,1
134,Houston St,1
135,Canal St,1
136,Franklin St,1
137,Chambers St,1 2 3
138,Cortlandt St (Closed),1
139,Rector St,1
140,South Ferry Loop,1
224,135 St,2 3
225,125 St,2 3
226,116 St,2 3
227,Central Park North (110 St),2 3
228,Park Pl,2 3
229,Fulton St,2 3
230,Wall St,2 3
301,Harlem - 148 St,3
302,145 St,3
418,Fulton St,4 5
419,Wall St,4 5
420,Bowling Green,4 5
621,125 St,4 5 6
622,116 St,6
623,110 St,6
624,103 St,6
625,96 St,6
626,86 St,4 5 6
627,77 St,6
628,68 St - Hunter College,6
629,59 St,4 5 6
630,51 St,6
631,Grand Central - 42 St,4 5 6
632,33 St,6
633,28 St,6
634,23 St,6
635,14 St - Union Sq,4 5 6
636,Astor Pl,6
637,Bleecker St,6
638,Spring St,6
639,Canal St,6
640,Brooklyn Bridge - City Hall,4 5 6
723,Grand Central - 42 St,7
724,5 Av,7
725,Times Sq - 42 St,7
726,34 St - 11 Av,7
901,Grand Central - 42 St,S
902,Times Sq - 42 St,S
A02,Inwood - 207 St,A
A03,Dyckman St,A
A05,190 St,A
A06,181 St,A
A07,175 St,A
A09,168 St,A C
A10,163 St - Amsterdam Av,C
A11,155 St,C
A12,145 St,A B C D
A14,135 St,B C
A15,125 St,A B C D
A16,116 St,B C
A17,Cathedral Pkwy (110 St),B C
A18,103 St,B C
A19,96 St,B C
A20,86 St,B C
A21,81 St - Museum of Natural History,B C
A22,72 St,B C
A24,59 St - Columbus Circle,A B C D
A25,50 St,C E
A27,42 St - Port Authority Bus Terminal,A C E
A28,34 St - Penn Station,A C E
A30,23 St,C E
A31,14 St,A C E
A32,W 4 St,A B C D E F M
A33,Spring St,C E
A34,Canal St,A C E
A36,Chambers St,A C
A38,Fulton St,A C
B06,Roosevelt Island,F
B08,Lexington Av/63 St,F
B10,57 St,F
D12,155 St,B D
D14,7 Av,B D E
D15,47-50 Sts - Rockefeller Ctr,B D F M
D16,42 St - Bryant Pk,B D F M
D17,34 St - Herald Sq,B D F M
D18,23 St,F M
D19,14 St,F M
D21,Broadway-Lafayette St,B D F M
D22,Grand St,B D
E01,World Trade Center,E
F11,Lexington Av/53 St,E M
F12,5 Av/53 St,E M
F14,2 Av,F
