service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
EN_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
EN_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
EN_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
FB_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
FB_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
FB_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
FP_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
FP_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
FP_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
GA_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
GA_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
GA_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
JG_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
JG_F0-Saturday-BM,0,0,0,0,1,0,0,20200410,20200626
JG_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
JG_F0-Sunday-BM,0,0,0,0,0,1,0,20200404,20200620
JG_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
JG_F0-Weekday-BM,1,1,1,1,0,0,1,20200405,20200625
UP_F0-Saturday,0,0,0,0,0,1,0,20200411,20200627
UP_F0-Sunday,0,0,0,0,0,0,1,20200405,20200621
UP_F0-Weekday,1,1,1,1,1,0,0,20200406,20200626
