shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
BX010056,10001,40.881498,-73.909427
BX010056,10002,40.881392,-73.909509
BX010056,10003,40.881322,-73.909369
BX010056,10004,40.881152,-73.909039
BX010056,10005,40.880812,-73.908399
BX010056,10006,40.880392,-73.907629
BX010056,10007,40.880195,-73.907275
BX010056,20001,40.880195,-73.907275
BX010056,20002,40.879802,-73.906569
BX010056,20003,40.879412,-73.905789
BX010056,20004,40.879002,-73.904989
BX010056,20005,40.878932,-73.904849
BX010056,20006,40.878852,-73.904629
BX010056,20007,40.878832,-73.904589
BX010056,20008,40.878753,-73.904379
BX010056,30001,40.878753,-73.904379
BX010056,30002,40.878522,-73.903759
BX010056,30003,40.878462,-73.903619
BX010056,30004,40.878092,-73.902594
BX010056,40001,40.878092,-73.902594
BX010056,40002,40.878022,-73.902399
BX010056,40003,40.877402,-73.902939
BX010056,40004,40.876912,-73.903359
BX010056,40005,40.876812,-73.903259
BX010056,40006,40.876712,-73.903039
BX010056,40007,40.876572,-73.902669
BX010056,40008,40.876860,-73.902399
BX010056,50001,40.876860,-73.902399
BX010056,50002,40.878112,-73.901229
BX010056,50003,40.878346,-73.901004
BX010056,60001,40.878346,-73.901004
BX010056,60002,40.878352,-73.900999
BX010056,60003,40.878442,-73.900879
BX010056,60004,40.878592,-73.900609
BX010056,60005,40.878692,-73.900319
BX010056,60006,40.878722,-73.900169
BX010056,60007,40.878752,-73.899839
BX010056,60008,40.878742,-73.899609
BX010056,60009,40.878682,-73.899369
BX010056,60010,40.878612,-73.899159
BX010056,60011,40.878502,-73.898749
BX010056,60012,40.878492,-73.898589
BX010056,60013,40.878482,-73.898479
BX010056,60014,40.878452,-73.898359
BX010056,60015,40.878402,-73.898149
BX010056,60016,40.878502,-73.898059
BX010056,60017,40.878690,-73.897798
BX010056,70001,40.878690,-73.897798
BX010056,70002,40.878892,-73.897519
BX010056,70003,40.879372,-73.897139
BX010056,70004,40.879742,-73.896879
BX010056,70005,40.879882,-73.896799
BX010056,70006,40.880022,-73.896739
BX010056,70007,40.880182,-73.896699
BX010056,70008,40.881252,-73.896569
BX010056,70009,40.881509,-73.896508
BX010056,80001,40.881509,-73.896508
BX010056,80002,40.881592,-73.896489
BX010056,80003,40.881812,-73.896399
BX010056,80004,40.882042,-73.896179
BX010056,80005,40.882222,-73.895919
BX010056,80006,40.882572,-73.895259
BX010056,80007,40.882802,-73.894789
BX010056,80008,40.882862,-73.894649
BX010056,80009,40.882952,-73.894439
BX010056,80010,40.882964,-73.894388
BX010056,90001,40.882964,-73.894388
BX010056,90002,40.882992,-73.894279
BX010056,90003,40.883012,-73.894119
BX010056,90004,40.882992,-73.893969
BX010056,90005,40.882932,-73.893759
BX010056,90006,40.882852,-73.893639
BX010056,90007,40.882792,-73.893479
BX010056,90008,40.882752,-73.893339
BX010056,90009,40.882702,-73.893039
BX010056,90010,40.882712,-73.892739
BX010056,90011,40.882612,-73.892639
BX010056,90012,40.882542,-73.892529
BX010056,90013,40.882452,-73.892339
BX010056,90014,40.882444,-73.892321
BX010056,100001,40.882444,-73.892321
BX010056,100002,40.882322,-73.892019
BX010056,100003,40.882282,-73.891849
BX010056,100004,40.882262,-73.891689
BX010056,100005,40.882262,-73.891499
BX010056,100006,40.882342,-73.891099
BX010056,100007,40.882402,-73.890719
BX010056,100008,40.882472,-73.890299
BX010056,100009,40.882632,-73.889149
BX010056,100010,40.882665,-73.888894
BX010056,110001,40.882665,-73.888894
BX010056,110002,40.882702,-73.888619
BX010056,110003,40.882752,-73.888289
BX010056,110004,40.882762,-73.888089
BX010056,110005,40.882752,-73.887839
BX010056,110006,40.882712,-73.887629
BX010056,110007,40.882652,-73.887439
BX010056,110008,40.882572,-73.887249
BX010056,110009,40.882532,-73.887039
BX010056,110010,40.882412,-73.886989
BX010056,110011,40.882332,-73.886949
BX010056,110012,40.881972,-73.886789
BX010056,110013,40.881642,-73.886609
BX010056,110014,40.881562,-73.886559
BX010056,110015,40.880892,-73.886169
BX010056,110016,40.880642,-73.886019
BX010056,110017,40.880624,-73.886010
BX010056,120001,40.880624,-73.886010
BX010056,120002,40.880472,-73.885939
BX010056,120003,40.879792,-73.885819
BX010056,120004,40.879522,-73.885799
BX010056,120005,40.879316,-73.885768
BX010056,130001,40.879316,-73.885768
BX010056,130002,40.879252,-73.885759
BX010056,130003,40.879212,-73.885639
BX010056,130004,40.879092,-73.885419
BX010056,130005,40.879032,-73.885309
BX010056,130006,40.878862,-73.885029
BX010056,130007,40.878622,-73.884869
BX010056,130008,40.878352,-73.885009
BX010056,130009,40.877892,-73.885199
BX010056,130010,40.877372,-73.885429
BX010056,130011,40.877152,-73.885529
BX010056,130012,40.877002,-73.885599
BX010056,130013,40.876929,-73.885631
BX010056,140001,40.876929,-73.885631
BX010056,140002,40.876552,-73.885799
BX010056,140003,40.876122,-73.885979
BX010056,140004,40.875902,-73.886099
BX010056,140005,40.875382,-73.886339
BX010056,140006,40.874812,-73.886619
BX010056,140007,40.874712,-73.886669
BX010056,140008,40.874622,-73.886709
BX010056,140009,40.874372,-73.886809
BX010056,140010,40.874289,-73.886846
BX010056,150001,40.874289,-73.886846
BX010056,150002,40.874012,-73.886969
BX010056,150003,40.873842,-73.887049
BX010056,150004,40.873622,-73.887149
BX010056,150005,40.873382,-73.887249
BX010056,150006,40.873022,-73.887409
BX010056,150007,40.872742,-73.887559
BX010056,150008,40.872672,-73.887599
BX010056,150009,40.872612,-73.887639
BX010056,150010,40.872522,-73.887709
BX010056,150011,40.872282,-73.887889
BX010056,150012,40.872202,-73.887959
BX010056,150013,40.872132,-73.888039
BX010056,150014,40.871962,-73.888219
BX010056,150015,40.871696,-73.888592
BX010056,160001,40.871696,-73.888592
BX010056,160002,40.871692,-73.888599
BX010056,160003,40.871582,-73.888799
BX010056,160004,40.871522,-73.888899
BX010056,160005,40.870592,-73.890509
BX010056,160006,40.870466,-73.890725
BX010056,170001,40.870466,-73.890725
BX010056,170002,40.870232,-73.891129
BX010056,170003,40.870082,-73.891329
BX010056,170004,40.869952,-73.891489
BX010056,170005,40.869812,-73.891639
BX010056,170006,40.869582,-73.891869
