route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
BX41,GH_F0-Saturday-000300_BX41_1,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX24,GH_F0-Saturday-001000_BX24_401,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX40,GH_F0-Saturday-002000_BX402_1,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096,0.0,0
BX4,GH_F0-Saturday-002000_BX44A_X42,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX24,GH_F0-Saturday-003000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX41,GH_F0-Saturday-003900_BX41_1,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305,0.0,0
BX12,GH_F0-Saturday-004000_BX12_1,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121559,0.0,0
BX28,GH_F0-Saturday-004000_BX238_1,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-004000_BX402_X54,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096,0.0,0
BX4,GH_F0-Saturday-004000_BX44A_X43,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX41,GH_F0-Saturday-005300_BX41_2,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX22,GH_F0-Saturday-006000_BX22_1,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX28,GH_F0-Saturday-006000_BX238_X50,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-006000_BX402_1,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-006000_BX402_2,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-006000_BX402_X55,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400096,0.0,0
BX4,GH_F0-Saturday-006000_BX44A_X42,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-006000_BX44A_X44,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX24,GH_F0-Saturday-007000_BX24_401,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX39,GH_F0-Saturday-007300_BX41_1,GH_F0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157,0.0,0
BX12,GH_F0-Saturday-008000_BX12_2,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121559,0.0,0
BX28,GH_F0-Saturday-008000_BX238_1,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-008000_BX238_2,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-008000_BX402_X54,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-008000_BX402_X56,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-008000_BX44A_X43,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-008000_BX44A_X45,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX12,GH_F0-Saturday-009000_BX12_1,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX22,GH_F0-Saturday-009000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
BX24,GH_F0-Saturday-009000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-009000_BX24_X35,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX39,GH_F0-Saturday-009500_BX41_1,GH_F0-Saturday,GUN HILL RD,1,BX390167,0.0,0
BX41,GH_F0-Saturday-009900_BX41_2,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305,0.0,0
BX28,GH_F0-Saturday-010000_BX238_X50,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX28,GH_F0-Saturday-010000_BX238_X51,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX40,GH_F0-Saturday-010000_BX402_X55,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX40,GH_F0-Saturday-010000_BX402_X57,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX4,GH_F0-Saturday-010000_BX44A_X42,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX4,GH_F0-Saturday-010000_BX44A_X44,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX24,GH_F0-Saturday-011000_BX24_X35,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-011000_BX24_X36,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX41,GH_F0-Saturday-011300_BX41_1,GH_F0-Saturday,THE HUB 150 ST via WEBSTER,1,BX410304,0.0,0
BX22,GH_F0-Saturday-012000_BX22_1,GH_F0-Saturday,PELHAM PKY,0,BX220115,0.0,0
BX28,GH_F0-Saturday-012000_BX238_1,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX28,GH_F0-Saturday-012000_BX238_2,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-012000_BX402_1,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-012000_BX402_2,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX4,GH_F0-Saturday-012000_BX44A_X43,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX4,GH_F0-Saturday-012000_BX44A_X45,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX12,GH_F0-Saturday-013000_BX12_1,GH_F0-Saturday,INWOOD BWAY-207 ST via PELHAM via FORDHM,1,BX121593,0.0,0
BX12,GH_F0-Saturday-013000_BX12_2,GH_F0-Saturday,EDSON AV via FORDHAM RD via PELHAM PKY,0,BX121516,0.0,0
BX24,GH_F0-Saturday-013000_BX24_401,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX24,GH_F0-Saturday-013000_BX24_X36,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX39,GH_F0-Saturday-013300_BX41_2,GH_F0-Saturday,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390157,0.0,0
BX28,GH_F0-Saturday-014000_BX238_X50,GH_F0-Saturday,NORWOOD 205 ST STATION via GUNHILL,1,BX280270,0.0,0
BX28,GH_F0-Saturday-014000_BX238_X51,GH_F0-Saturday,CO-OP CITY EARHART LANE via GUNHILL,0,BX280261,0.0,0
BX40,GH_F0-Saturday-014000_BX402_X54,GH_F0-Saturday,RIVER PARK TOWER via TREMONT,1,BX400112,0.0,0
BX40,GH_F0-Saturday-014000_BX402_X56,GH_F0-Saturday,THROGGS NECK FORT SCHUYLR via TREMONT,0,BX400134,0.0,0
BX4,GH_F0-Saturday-014000_BX44A_X42,GH_F0-Saturday,WESTCHTR SQ via WESTCHTR AV,0,BX040204,0.0,0
BX4,GH_F0-Saturday-014000_BX44A_X44,GH_F0-Saturday,THE HUB 3 AV via WESTCHESTER AV,1,BX040086,0.0,0
BX22,GH_F0-Saturday-015000_BX22_1,GH_F0-Saturday,CASTLE HILL ZEREGA AV,1,BX220116,0.0,0
BX24,GH_F0-Saturday-015000_BX24_401,GH_F0-Saturday,HUTCHINSON METRO CENTER,1,BX240087,0.0,0
BX24,GH_F0-Saturday-015000_BX24_X37,GH_F0-Saturday,PELHAM BAY STATION,0,BX240070,0.0,0
BX39,GH_F0-Saturday-015500_BX41_2,GH_F0-Saturday,GUN HILL RD,1,BX390167,0.0,0
BX41,GH_F0-Saturday-015900_BX41_1,GH_F0-Saturday,WILLAMSBRIDGE GUN HILL RD via WEBSTER,0,BX410305,0.0,0
