service_id,date,exception_type
8393,20200507,1
8410,20200508,1
8411,20200509,1
8407,20200510,1
8408,20200511,1
8409,20200512,1
8409,20200513,1
8409,20200514,1
8410,20200515,1
8417,20200516,1
8418,20200517,1
8419,20200518,1
8420,20200519,1
8420,20200520,1
8420,20200521,1
8421,20200522,1
8417,20200523,1
8418,20200524,1
8419,20200525,1
8420,20200526,1
8420,20200527,1
8420,20200528,1
8421,20200529,1
8417,20200530,1
8412,20200531,1
8413,20200601,1
8414,20200602,1
8414,20200603,1
8414,20200604,1
8415,20200605,1
8416,20200606,1
8412,20200607,1
8413,20200608,1
8414,20200609,1
8414,20200610,1
8414,20200611,1
8415,20200612,1
8416,20200613,1
8412,20200614,1
8413,20200615,1
8414,20200616,1
8414,20200617,1
8414,20200618,1
8415,20200619,1
8416,20200620,1
8412,20200621,1
8413,20200622,1
8414,20200623,1
8414,20200624,1
8414,20200625,1
8415,20200626,1
8416,20200627,1
8412,20200628,1
8413,20200629,1
8414,20200630,1
8414,20200701,1
8414,20200702,1
8415,20200703,1
8416,20200704,1
8412,20200705,1
8413,20200706,1
8414,20200707,1
8414,20200708,1
8414,20200709,1
8415,20200710,1
8416,20200711,1
8412,20200712,1
8413,20200713,1
8414,20200714,1
8414,20200715,1
8414,20200716,1
8415,20200717,1
8416,20200718,1
8412,20200719,1
8413,20200720,1
8414,20200721,1
8414,20200722,1
8414,20200723,1
8415,20200724,1
8416,20200725,1
8412,20200726,1
8413,20200727,1
8414,20200728,1
8414,20200729,1
8414,20200730,1
8415,20200731,1
8416,20200801,1
8412,20200802,1
8413,20200803,1
8414,20200804,1
8414,20200805,1
8414,20200806,1
8415,20200807,1
8416,20200808,1
8412,20200809,1
8413,20200810,1
8414,20200811,1
8414,20200812,1
8414,20200813,1
8415,20200814,1
8416,20200815,1
8412,20200816,1
8413,20200817,1
8414,20200818,1
8414,20200819,1
8414,20200820,1
8415,20200821,1
8416,20200822,1
8412,20200823,1
8413,20200824,1
8414,20200825,1
8414,20200826,1
8414,20200827,1
8415,20200828,1
8416,20200829,1
8412,20200830,1
8413,20200831,1
8414,20200901,1
8414,20200902,1
8414,20200903,1
8415,20200904,1
8416,20200905,1
8412,20200906,1
8413,20200907,1
8414,20200908,1
8414,20200909,1
8414,20200910,1
8415,20200911,1
8416,20200912,1
8412,20200913,1
8413,20200914,1
8414,20200915,1
8414,20200916,1
8414,20200917,1
8415,20200918,1
8416,20200919,1
8412,20200920,1
8413,20200921,1
8414,20200922,1
8414,20200923,1
8414,20200924,1
8415,20200925,1
8416,20200926,1
8412,20200927,1
8413,20200928,1
8414,20200929,1
8414,20200930,1
8414,20201001,1
8415,20201002,1
8416,20201003,1
