from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9974596,9974554,1,
124,124,,,9974597,9974555,1,
124,124,,,9974599,9974557,1,
124,124,,,9974601,9974559,1,
124,124,,,9974603,9974561,1,
124,124,,,9974605,9974563,1,
124,124,,,9974607,9974565,1,
124,124,,,9974609,9974567,1,
124,124,,,9974611,9974569,1,
124,124,,,9974613,9974571,1,
124,124,,,9974615,9974573,1,
124,124,,,9974617,9974575,1,
124,124,,,9974619,9974577,1,
124,124,,,9974621,9974579,1,
124,124,,,9974623,9974581,1,
124,124,,,9974625,9974583,1,
124,124,,,9974627,9974585,1,
124,124,,,9974629,9974587,1,
124,124,,,9974667,9974587,1,
124,124,,,9974631,9974589,1,
124,124,,,9974633,9974591,1,
124,124,,,9974635,9974592,1,
124,124,,,9974637,9974599,1,
124,124,,,9974558,9974600,1,
124,124,,,9974639,9974601,1,
140,140,,,9974880,9974601,1,
124,124,,,9974560,9974602,1,
124,124,,,9974641,9974603,1,
131,131,,,9974674,9974603,1,
140,140,,,9974882,9974603,1,
124,124,,,9974562,9974604,1,
124,124,,,9974643,9974605,1,
124,124,,,9974564,9974606,1,
124,124,,,9974645,9974607,1,
124,124,,,9974566,9974608,1,
124,124,,,9974647,9974609,1,
131,131,,,9974676,9974609,1,
140,140,,,9974884,9974609,1,
124,124,,,9974568,9974610,1,
124,124,,,9974649,9974611,1,
124,124,,,9974570,9974612,1,
124,124,,,9974651,9974613,1,
124,124,,,9974572,9974614,1,
124,124,,,9974653,9974615,1,
131,131,,,9974678,9974615,1,
140,140,,,9974886,9974615,1,
124,124,,,9974574,9974616,1,
124,124,,,9974655,9974617,1,
124,124,,,9974576,9974618,1,
124,124,,,9974657,9974619,1,
124,124,,,9974578,9974620,1,
124,124,,,9974659,9974621,1,
131,131,,,9974680,9974621,1,
140,140,,,9974889,9974621,1,
124,124,,,9974580,9974622,1,
124,124,,,9974661,9974623,1,
140,140,,,9974891,9974623,1,
124,124,,,9974582,9974624,1,
124,124,,,9974663,9974625,1,
124,124,,,9974584,9974626,1,
124,124,,,9974665,9974627,1,
131,131,,,9974681,9974627,1,
140,140,,,9974892,9974627,1,
124,124,,,9974586,9974628,1,
124,124,,,9974667,9974629,1,
124,124,,,9974588,9974630,1,
124,124,,,9974669,9974631,1,
124,124,,,9974590,9974632,1,
124,124,,,9974671,9974633,1,
140,140,,,9974894,9974633,1,
124,124,,,9974593,9974634,1,
131,131,,,9974684,9974634,1,
124,124,,,9974598,9974636,1,
124,124,,,9974600,9974638,1,
124,124,,,9974602,9974640,1,
124,124,,,9974604,9974642,1,
124,124,,,9974606,9974644,1,
124,124,,,9974608,9974646,1,
124,124,,,9974610,9974648,1,
124,124,,,9974612,9974650,1,
124,124,,,9974614,9974652,1,
124,124,,,9974616,9974654,1,
124,124,,,9974618,9974656,1,
124,124,,,9974620,9974658,1,
124,124,,,9974622,9974660,1,
124,124,,,9974624,9974662,1,
124,124,,,9974626,9974664,1,
124,124,,,9974628,9974666,1,
124,124,,,9974630,9974668,1,
124,124,,,9974635,9974672,1,
131,131,,,9974602,9974673,1,
131,131,,,9974608,9974675,1,
131,131,,,9974614,9974677,1,
131,131,,,9974620,9974679,1,
131,131,,,9974628,9974682,1,
