shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
M010227,10001,40.720670,-73.997748
M010227,10002,40.720692,-73.997729
M010227,10003,40.720812,-73.997659
M010227,10004,40.720952,-73.997609
M010227,10005,40.721122,-73.997549
M010227,10006,40.721452,-73.997439
M010227,10007,40.721792,-73.997299
M010227,10008,40.722152,-73.997159
M010227,10009,40.722302,-73.997119
M010227,10010,40.722445,-73.997071
M010227,20001,40.722445,-73.997071
M010227,20002,40.722632,-73.997009
M010227,20003,40.722992,-73.996879
M010227,20004,40.723282,-73.996759
M010227,20005,40.723572,-73.996589
M010227,20006,40.723692,-73.996499
M010227,20007,40.724062,-73.996199
M010227,20008,40.724412,-73.995899
M010227,20009,40.724542,-73.995769
M010227,20010,40.725082,-73.995319
M010227,20011,40.725178,-73.995242
M010227,30001,40.725178,-73.995242
M010227,30002,40.725922,-73.994649
M010227,30003,40.726282,-73.994379
M010227,30004,40.726632,-73.994129
M010227,30005,40.727262,-73.993639
M010227,30006,40.727452,-73.993489
M010227,30007,40.727862,-73.993149
M010227,30008,40.728109,-73.992937
M010227,40001,40.728109,-73.992937
M010227,40002,40.729785,-73.991497
M010227,50001,40.729785,-73.991497
M010227,50002,40.729842,-73.991449
M010227,50003,40.730042,-73.991109
M010227,50004,40.730242,-73.990929
M010227,50005,40.730502,-73.990719
M010227,50006,40.730612,-73.990629
M010227,50007,40.730722,-73.990569
M010227,50008,40.730962,-73.990459
M010227,50009,40.731282,-73.990389
M010227,50010,40.731353,-73.990370
M010227,60001,40.731353,-73.990370
M010227,60002,40.731982,-73.990209
M010227,60003,40.732621,-73.990059
M010227,70001,40.732621,-73.990059
M010227,70002,40.732752,-73.990029
M010227,70003,40.733112,-73.989939
M010227,70004,40.733362,-73.989879
M010227,70005,40.733512,-73.989859
M010227,70006,40.733938,-73.989850
M010227,80001,40.733938,-73.989850
M010227,80002,40.733972,-73.989849
M010227,80003,40.734422,-73.989899
M010227,80004,40.734762,-73.989989
M010227,80005,40.734832,-73.989999
M010227,80006,40.735022,-73.990039
M010227,80007,40.735152,-73.990049
M010227,80008,40.735332,-73.989909
M010227,80009,40.735595,-73.989720
M010227,90001,40.735595,-73.989720
M010227,90002,40.735752,-73.989609
M010227,90003,40.735972,-73.989449
M010227,90004,40.736512,-73.989019
M010227,90005,40.736572,-73.988919
M010227,90006,40.736642,-73.988849
M010227,90007,40.736742,-73.988769
M010227,90008,40.736823,-73.988712
M010227,100001,40.736823,-73.988712
M010227,100002,40.737112,-73.988509
M010227,100003,40.737702,-73.988089
M010227,100004,40.738282,-73.987669
M010227,100005,40.738872,-73.987239
M010227,100006,40.739011,-73.987138
M010227,110001,40.739011,-73.987138
M010227,110002,40.739492,-73.986789
M010227,110003,40.739572,-73.986729
M010227,110004,40.740152,-73.986299
M010227,110005,40.740513,-73.986040
M010227,120001,40.740513,-73.986040
M010227,120002,40.740822,-73.985819
M010227,120003,40.741442,-73.985359
M010227,120004,40.741482,-73.985459
M010227,120005,40.741511,-73.985530
M010227,130001,40.741511,-73.985530
M010227,130002,40.742142,-73.987049
M010227,130003,40.742762,-73.986599
M010227,130004,40.743382,-73.986149
M010227,130005,40.744002,-73.985699
M010227,130006,40.744233,-73.985527
M010227,140001,40.744233,-73.985527
M010227,140002,40.744622,-73.985239
M010227,140003,40.745242,-73.984789
M010227,140004,40.745542,-73.984567
M010227,150001,40.745542,-73.984567
M010227,150002,40.745852,-73.984339
M010227,150003,40.746472,-73.983899
M010227,150004,40.747092,-73.983439
M010227,150005,40.747762,-73.982959
M010227,150006,40.748361,-73.982514
M010227,160001,40.748361,-73.982514
M010227,160002,40.750172,-73.981193
M010227,170001,40.750172,-73.981193
M010227,170002,40.750272,-73.981119
M010227,170003,40.750902,-73.980669
M010227,170004,40.751512,-73.980219
M010227,170005,40.752053,-73.979826
M010227,180001,40.752053,-73.979826
M010227,180002,40.752132,-73.979769
M010227,180003,40.752352,-73.979609
M010227,180004,40.752542,-73.979479
M010227,180005,40.752822,-73.979269
M010227,180006,40.753377,-73.978850
M010227,190001,40.753377,-73.978850
M010227,190002,40.753472,-73.978779
M010227,190003,40.754002,-73.978399
M010227,190004,40.754052,-73.978359
M010227,190005,40.754092,-73.978329
M010227,190006,40.754722,-73.977869
M010227,190007,40.755263,-73.977476
M010227,200001,40.755263,-73.977476
M010227,200002,40.755342,-73.977419
M010227,200003,40.755972,-73.976959
M010227,200004,40.756524,-73.976549
M010227,210001,40.756524,-73.976549
M010227,210002,40.756592,-73.976499
M010227,210003,40.756972,-73.976239
M010227,210004,40.757222,-73.976049
M010227,210005,40.757784,-73.975647
M010227,220001,40.757784,-73.975647
M010227,220002,40.757852,-73.975599
M010227,220003,40.758482,-73.975129
M010227,220004,40.759092,-73.974679
M010227,220005,40.759669,-73.974263
M010227,230001,40.759669,-73.974263
M010227,230002,40.759732,-73.974219
M010227,230003,40.760352,-73.973769
M010227,230004,40.760982,-73.973299
M010227,230005,40.761540,-73.972893
M010227,240001,40.761540,-73.972893
M010227,240002,40.761602,-73.972849
M010227,240003,40.762282,-73.972359
M010227,240004,40.762890,-73.971914
M010227,250001,40.762890,-73.971914
M010227,250002,40.764719,-73.970581
M010227,260001,40.764719,-73.970581
M010227,260002,40.764832,-73.970499
M010227,260003,40.765462,-73.970039
M010227,260004,40.766082,-73.969579
M010227,260005,40.766474,-73.969298
M010227,270001,40.766474,-73.969298
M010227,270002,40.766712,-73.969129
M010227,270003,40.767342,-73.968669
M010227,270004,40.767874,-73.968274
M010227,280001,40.767874,-73.968274
M010227,280002,40.768849,-73.967569
M010227,290001,40.768849,-73.967569
M010227,290002,40.770113,-73.966648
M010227,300001,40.770113,-73.966648
M010227,300002,40.771834,-73.965383
M010227,310001,40.771834,-73.965383
M010227,310002,40.772452,-73.964929
M010227,310003,40.772802,-73.964677
M010227,320001,40.772802,-73.964677
M010227,320002,40.773092,-73.964469
M010227,320003,40.773722,-73.964009
M010227,320004,40.774362,-73.963549
M010227,320005,40.774992,-73.963089
M010227,320006,40.775357,-73.962826
M010227,330001,40.775357,-73.962826
M010227,330002,40.777486,-73.961273
M010227,340001,40.777486,-73.961273
M010227,340002,40.778828,-73.960292
M010227,350001,40.778828,-73.960292
M010227,350002,40.781189,-73.958562
M010227,360001,40.781189,-73.958562
M010227,360002,40.782709,-73.957452
M010227,370001,40.782709,-73.957452
M010227,370002,40.784398,-73.956225
M010227,380001,40.784398,-73.956225
M010227,380002,40.785673,-73.955290
M010227,390001,40.785673,-73.955290
M010227,390002,40.787127,-73.954244
M010227,400001,40.787127,-73.954244
M010227,400002,40.788449,-73.953263
M010227,410001,40.788449,-73.953263
M010227,410002,40.790342,-73.951890
M010227,420001,40.790342,-73.951890
M010227,420002,40.791407,-73.951109
M010227,430001,40.791407,-73.951109
M010227,430002,40.792193,-73.950530
M010227,440001,40.792193,-73.950530
M010227,440002,40.793472,-73.949602
M010227,450001,40.793472,-73.949602
M010227,450002,40.794588,-73.948783
M010227,460001,40.794588,-73.948783
M010227,460002,40.794902,-73.948559
M010227,460003,40.795532,-73.948099
M010227,460004,40.795850,-73.947866
M010227,470001,40.795850,-73.947866
M010227,470002,40.796162,-73.947639
M010227,470003,40.796792,-73.947179
M010227,470004,40.797442,-73.946699
M010227,470005,40.797529,-73.946633
M010227,480001,40.797529,-73.946633
M010227,480002,40.797852,-73.946389
M010227,480003,40.798032,-73.946259
M010227,480004,40.798502,-73.945909
M010227,480005,40.798523,-73.945893
M010227,490001,40.798523,-73.945893
M010227,490002,40.799282,-73.945349
M010227,490003,40.799982,-73.944849
M010227,490004,40.800419,-73.944527
M010227,500001,40.800419,-73.944527
M010227,500002,40.800662,-73.944349
M010227,500003,40.801282,-73.943889
M010227,500004,40.801541,-73.943699
M010227,510001,40.801541,-73.943699
M010227,510002,40.801912,-73.943429
M010227,510003,40.802532,-73.942979
M010227,510004,40.803182,-73.942569
M010227,510005,40.803432,-73.942389
M010227,510006,40.803523,-73.942325
M010227,520001,40.803523,-73.942325
M010227,520002,40.803602,-73.942269
M010227,520003,40.803732,-73.942169
M010227,520004,40.803822,-73.942099
M010227,520005,40.803952,-73.941999
M010227,520006,40.804442,-73.941649
M010227,520007,40.804802,-73.941387
M010227,530001,40.804802,-73.941387
M010227,530002,40.804992,-73.941249
M010227,530003,40.805062,-73.941159
M010227,530004,40.805122,-73.941089
M010227,530005,40.805732,-73.940629
M010227,530006,40.806039,-73.940408
M010227,540001,40.806039,-73.940408
M010227,540002,40.806402,-73.940149
