stop_id,stop_name,stop_lat,stop_lon
400001,4 AV/E 10 ST,40.731342,-73.990292
400002,4 AV/E 12 ST,40.732608,-73.989958
400003,4 AV/E 13 ST,40.733936,-73.989720
400007,PARK AV S/E 21 ST,40.738976,-73.987053
400026,MADISON AV/E 63 ST,40.766274,-73.969329
400027,MADISON AV/E 65 ST,40.767580,-73.968375
400028,MADISON AV/E 67 ST,40.768812,-73.967483
400029,MADISON AV/E 69 ST,40.770075,-73.966558
400030,MADISON AV/E 72 ST,40.771802,-73.965308
400031,MADISON AV/E 74 ST,40.772774,-73.964610
400032,MADISON AV/E 77 ST,40.775322,-73.962739
400033,MADISON AV/E 81 ST,40.777452,-73.961191
400034,MADISON AV/E 83 ST,40.778793,-73.960206
400036,MADISON AV/E 86 ST,40.781155,-73.958483
400037,MADISON AV/E 89 ST,40.782676,-73.957373
400038,MADISON AV/E 91 ST,40.784360,-73.956137
400039,MADISON AV/E 93 ST,40.785636,-73.955205
400041,MADISON AV/E 98 ST,40.788413,-73.953180
400042,MADISON AV/E 101 ST,40.790304,-73.951799
400043,MADISON AV/E 102 ST,40.791371,-73.951022
400044,MADISON AV/E 104 ST,40.792159,-73.950447
400045,MADISON AV/E 106 ST,40.793434,-73.949511
400046,MADISON AV/E 107 ST,40.794551,-73.948694
400047,MADISON AV/E 109 ST,40.795813,-73.947779
400048,MADISON AV/E 112 ST,40.797494,-73.946553
400050,MADISON AV/E 116 ST,40.800405,-73.944495
400051,MADISON AV/E 118 ST,40.801507,-73.943618
400053,MADISON AV/E 123 ST,40.804777,-73.941328
400054,MADISON AV/E 125 ST,40.806015,-73.940348
400055,MADISON AV/E 127 ST,40.807247,-73.939459
400056,MADISON AV/E 129 ST,40.808511,-73.938536
400057,MADISON AV/E 132 ST,40.810426,-73.937108
400059,5 AV/E 135 ST,40.813125,-73.937224
400060,5 AV/E 138 ST,40.814463,-73.936251
400061,W 139 ST/5 AV,40.815616,-73.936283
400062,MALCOLM X BL/W 139 ST,40.816940,-73.938615
400065,MALCOLM X BL/W 145 ST,40.820680,-73.935873
400066,W 147 ST/MALCOLM X BL,40.821952,-73.935729
400067,W 147 ST/ADAM C POWELL BL,40.822853,-73.937867
400069,GREENWICH ST/MORRIS ST,40.706025,-74.014308
400070,TRINITY PL/RECTOR ST,40.708007,-74.012714
400071,CHURCH ST/LIBERTY ST,40.710016,-74.011358
400081,CLEVELAND  PL/SPRING ST,40.722433,-73.997008
400083,LAFAYETTE ST/E HOUSTON ST,40.725227,-73.995147
400085,LAFAYETTE ST/E 4 ST,40.728066,-73.992849
400086,LAFAYETTE ST/ASTOR PL,40.729751,-73.991427
400087,W 146 ST/MALCOLM X BL,40.821178,-73.935956
400088,MALCOLM X BL/W 145 ST,40.820359,-73.936460
400089,MALCOLM X BL/W 142 ST,40.818247,-73.938003
400091,W 139 ST/MALCOLM X BL,40.816381,-73.938746
400092,5 AV/W 138 ST,40.815202,-73.935980
400093,5 AV/W 137 ST,40.813791,-73.937003
400094,5 AV/W 135 ST,40.812365,-73.938045
400095,5 AV/W 132 ST,40.810620,-73.939282
400096,5 AV/W 130 ST,40.809347,-73.940208
400097,5 AV/W 128 ST,40.808076,-73.941141
400098,5 AV/W 125 ST,40.806137,-73.942555
400099,MT MORRIS PK W/W 124 ST,40.806190,-73.944603
400100,MT MORRIS PK W/W 121 ST,40.804583,-73.945660
400101,W 120 ST/5 AV,40.803220,-73.944671
400102,5 AV/W 118 ST,40.801694,-73.945835
400103,5 AV/W 116 ST,40.800355,-73.946815
400105,5 AV/W 112 ST,40.797860,-73.948595
400107,5 AV/EAST 109 ST,40.796533,-73.949570
400108,5 AV/E 108 ST,40.795513,-73.950319
400109,5 AV/E 106 ST,40.794176,-73.951287
400110,5 AV/E 104 ST,40.793073,-73.952097
400111,5 AV/E 102 ST,40.791570,-73.953182
400115,5 AV/E 94 ST,40.786559,-73.956865
400116,5 AV/E 92 ST,40.785462,-73.957660
400117,5 AV/E 90 ST,40.783993,-73.958712
400118,5 AV/E 87 ST,40.782181,-73.960036
400119,5 AV/E 84 ST,40.780435,-73.961321
400122,5 AV/E 77 ST,40.775610,-73.964837
400123,5 AV/E 75 ST,40.774356,-73.965776
400124,5 AV/E 72 ST,40.771799,-73.967626
400125,5 AV/E 69 ST,40.770259,-73.968739
400126,5 AV/W 66 ST,40.768234,-73.970238
400127,5 AV/E 63 ST,40.767349,-73.970841
400128,5 AV/E 61 ST,40.766083,-73.971777
400153,BROADWAY/WAVERLY PL,40.729400,-73.993516
400154,BROADWAY/W 3 ST,40.727539,-73.995100
400155,BROADWAY/BLEECKER ST,40.726263,-73.996172
400157,BROADWAY/SPRING ST,40.722843,-73.999066
400159,BROADWAY/GRAND ST,40.720691,-74.000891
400161,BROADWAY/WALKER ST,40.718758,-74.002543
400163,BROADWAY/THOMAS ST,40.715865,-74.004977
400166,BROADWAY/PARK PL,40.712679,-74.007665
400168,BROADWAY/CORTLANDT ST,40.709969,-74.009942
400170,BROADWAY/RECTOR ST,40.707554,-74.011960
400176,E 9 ST/BROADWAY,40.731425,-73.992408
400224,CENTRAL PK N/MALCOLM X BL,40.798395,-73.952601
400225,CENTRAL PK N/ADAM C POWELL BL,40.799354,-73.954975
400226,ADAM C POWELL BL/W 113 ST,40.801484,-73.953579
400227,ADAM C POWELL BL/W 137 ST,40.816789,-73.942405
400228,ADAM C POWELL BL/W 116 ST,40.803426,-73.952158
400230,ADAM C POWELL BL/W 121 ST,40.806598,-73.949844
400231,ADAM C POWELL BL/W 123 ST,40.807520,-73.949175
400233,ADAM C POWELL BL/W 127 ST,40.810475,-73.947009
400234,ADAM C POWELL BL/W 129 ST,40.811718,-73.946105
400236,ADAM C POWELL BL/W 133 ST,40.814190,-73.944300
400237,ADAM C POWELL BL/W 135 ST,40.815549,-73.943309
400238,ADAM C POWELL BL/W 139 ST,40.818034,-73.941490
400239,ADAM C POWELL BL/W 141 ST,40.819296,-73.940571
400240,ADAM C POWELL BL/W 143 ST,40.820515,-73.939681
400241,ADAM C POWELL BL/W 145 ST,40.821878,-73.938687
400242,ADAM C POWELL BL/W 147 ST,40.823105,-73.937789
400248,EDGECOMBE AV/W 155 ST,40.830904,-73.940279
400249,EDGECOMBE AV/W 158 ST,40.832912,-73.939461
400250,EDGECOMBE AV/W 160 ST,40.834045,-73.938133
400251,EDGECOMBE AV/W 162 ST,40.835242,-73.937496
400252,EDGECOMBE AV/W 164 ST,40.836657,-73.936852
400258,BROADWAY/W 168 ST,40.841041,-73.939971
400259,W 166 ST/ST NICHOLAS AV,40.839624,-73.940184
400263,EDGECOMBE AV/W 164 ST,40.836219,-73.937231
400264,EDGECOMBE AV/W 162 ST,40.835011,-73.937775
400265,EDGECOMBE AV/W 160 ST,40.833653,-73.938817
400266,EDGECOMBE AV/W 158 ST,40.832421,-73.939905
400267,EDGECOMBE AV/W 155 ST,40.830618,-73.940438
400268,W 155 ST/EDGECOMBE AV,40.830182,-73.939846
400271,ADAM C POWELL BL/W 154 ST,40.827305,-73.935386
400272,ADAM C POWELL BL/W 151 ST,40.826047,-73.936048
400273,ADAM C POWELL BL/W 149 ST,40.824628,-73.937101
400274,ADAM C POWELL BL/W 148 ST,40.823366,-73.938028
400275,ADAM C POWELL BL/W 145 ST,40.821387,-73.939471
400276,ADAM C POWELL BL/W 142 ST,40.819535,-73.940820
400277,ADAM C POWELL BL/W 140 ST,40.818303,-73.941721
400278,ADAM C POWELL BL/W 138 ST,40.817028,-73.942661
400279,ADAM C POWELL BL/W 135 ST,40.815277,-73.943909
400280,ADAM C POWELL BL/W 132 ST,40.813155,-73.945461
400281,ADAM C POWELL BL/W 130 ST,40.812037,-73.946257
400282,ADAM C POWELL BL/W 128 ST,40.810701,-73.947255
400283,ADAM C POWELL BL/W 125 ST,40.809180,-73.948379
400284,ADAM C POWELL BL/W 122 ST,40.806837,-73.950097
400285,ADAM C POWELL BL/W 120 ST,40.805602,-73.950997
400287,ADAM C POWELL BL/W 116 ST,40.803591,-73.952433
400288,ADAM C POWELL BL/W 114 ST,40.801714,-73.953836
400289,ADAM C POWELL BL/W 112 ST,40.800460,-73.954750
400290,CENTRAL PK N/ADAM C POWELL BL,40.799173,-73.954860
400292,CENTRAL PK N/5 AV,40.796597,-73.949515
400322,5 AV/W 39 ST,40.751310,-73.982589
400323,5 AV/W 35 ST,40.749477,-73.983921
400324,5 AV/W 33 ST,40.747494,-73.985338
400325,5 AV/W 31 ST,40.746263,-73.986268
400326,5 AV/W 29 ST,40.745072,-73.987134
400327,5 AV/W 26 ST,40.743132,-73.988487
400329,5 AV/W 23 ST,40.741240,-73.990062
400330,5 AV/W 20 ST,40.739407,-73.991260
400331,5 AV/W 17 ST,40.737670,-73.992523
400333,5 AV/W 12 ST,40.734469,-73.994847
400334,5 AV/W 10 ST,40.733223,-73.995749
400335,E 8 ST/5 AV,40.731996,-73.995926
400336,E 8 ST/UNIVERSITY PL,40.731417,-73.994502
400337,E 8 ST/MERCER ST,40.730709,-73.992838
400352,MADISON AV/E 30 ST,40.745510,-73.984493
400353,32 ST/MADISON AV,40.746522,-73.984127
400354,MADISON AV/E 34 ST,40.748328,-73.982437
400358,MADISON AV/E 45 ST,40.755233,-73.977403
400359,MADISON AV/E 47 ST,40.756492,-73.976474
400360,MADISON AV/E 49 ST,40.757755,-73.975576
400361,MADISON AV/E 52 ST,40.759636,-73.974182
400362,MADISON AV/E 55  ST,40.761509,-73.972820
400363,MADISON AV/E 57 ST,40.762858,-73.971838
400364,MADISON AV/E 60  ST,40.764673,-73.970473
400390,CATHEDRAL PY/FRED DOUGLASS BL,40.800780,-73.958486
400394,MANHATTAN AV/W 116 ST,40.804877,-73.956842
400395,MANHATTAN AV/W 119 ST,40.807171,-73.955168
400396,MANHATTAN AV/W 121 ST,40.808447,-73.954236
