route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
M191,M191_A0-Saturday-035400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-036000_M191_X01,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-037400_M191_X01,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-038000_M191_1,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-039400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-040000_M191_X01,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-041400_M191_X01,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-042000_M191_1,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-043400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-044000_M191_X01,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-045400_M191_X01,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-046000_M191_1,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-047400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-048000_M191_X02,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-049400_M191_X02,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-050000_M191_1,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-051400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-052000_M191_X02,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-053400_M191_X02,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-054000_M191_1,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
M191,M191_A0-Saturday-055400_M191_1,M191_A0-Saturday,191 ST LOOP ST NICHOLAS AV via 181 ST,0,M1910016
M191,M191_A0-Saturday-056000_M191_X02,M191_A0-Saturday,191 ST LOOP BROADWAY via 181 ST,1,M1910015
