shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010002,40.707930,-73.795743,10001
Q010002,40.707923,-73.795762,10002
Q010002,40.707722,-73.796309,10003
Q010002,40.708342,-73.796719,10004
Q010002,40.708592,-73.796889,10005
Q010002,40.709122,-73.797221,10006
Q010002,40.709122,-73.797221,20001
Q010002,40.709262,-73.797309,20002
Q010002,40.709382,-73.796859,20003
Q010002,40.709512,-73.796399,20004
Q010002,40.709742,-73.795559,20005
Q010002,40.709872,-73.795139,20006
Q010002,40.709992,-73.794749,20007
Q010002,40.710102,-73.794459,20008
Q010002,40.710309,-73.793976,20009
Q010002,40.710309,-73.793976,30001
Q010002,40.710342,-73.793899,30002
Q010002,40.710512,-73.793479,30003
Q010002,40.710702,-73.793039,30004
Q010002,40.710932,-73.792429,30005
Q010002,40.711072,-73.792039,30006
Q010002,40.711442,-73.791019,30007
Q010002,40.711479,-73.790909,30008
Q010002,40.711479,-73.790909,40001
Q010002,40.711712,-73.790229,40002
Q010002,40.711852,-73.789799,40003
Q010002,40.711982,-73.789399,40004
Q010002,40.712012,-73.789299,40005
Q010002,40.712042,-73.789159,40006
Q010002,40.712062,-73.788989,40007
Q010002,40.712052,-73.788779,40008
Q010002,40.712022,-73.788639,40009
Q010002,40.711982,-73.788449,40010
Q010002,40.711912,-73.788269,40011
Q010002,40.711842,-73.788099,40012
Q010002,40.711812,-73.788009,40013
Q010002,40.711792,-73.787889,40014
Q010002,40.711772,-73.787639,40015
Q010002,40.711782,-73.787369,40016
Q010002,40.711812,-73.787189,40017
Q010002,40.711862,-73.786989,40018
Q010002,40.712003,-73.786408,40019
Q010002,40.712003,-73.786408,50001
Q010002,40.712062,-73.786169,50002
Q010002,40.712272,-73.785339,50003
Q010002,40.712482,-73.784469,50004
Q010002,40.712682,-73.783559,50005
Q010002,40.712832,-73.783009,50006
Q010002,40.712922,-73.782669,50007
Q010002,40.712982,-73.782439,50008
Q010002,40.713022,-73.782289,50009
Q010002,40.713112,-73.781979,50010
Q010002,40.713121,-73.781948,50011
Q010002,40.713121,-73.781948,60001
Q010002,40.713162,-73.781799,60002
Q010002,40.713452,-73.780599,60003
Q010002,40.713472,-73.780519,60004
Q010002,40.713627,-73.779873,60005
Q010002,40.713627,-73.779873,70001
Q010002,40.713662,-73.779729,70002
Q010002,40.713862,-73.778879,70003
Q010002,40.714042,-73.778009,70004
Q010002,40.714147,-73.777540,70005
Q010002,40.714147,-73.777540,80001
Q010002,40.714242,-73.777119,80002
Q010002,40.714462,-73.776209,80003
Q010002,40.714535,-73.775928,80004
Q010002,40.714535,-73.775928,90001
Q010002,40.714592,-73.775709,90002
Q010002,40.714682,-73.775299,90003
Q010002,40.714902,-73.774429,90004
Q010002,40.715022,-73.773939,90005
Q010002,40.715112,-73.773549,90006
Q010002,40.715350,-73.772851,90007
Q010002,40.715350,-73.772851,100001
Q010002,40.715382,-73.772759,100002
Q010002,40.715682,-73.771909,100003
Q010002,40.715962,-73.771089,100004
Q010002,40.716002,-73.770989,100005
Q010002,40.716088,-73.770745,100006
Q010002,40.716088,-73.770745,110001
Q010002,40.716322,-73.770089,110002
Q010002,40.716622,-73.769219,110003
Q010002,40.716662,-73.769089,110004
Q010002,40.716798,-73.768715,110005
Q010002,40.716798,-73.768715,120001
Q010002,40.716812,-73.768679,120002
Q010002,40.716972,-73.768199,120003
Q010002,40.717282,-73.767309,120004
Q010002,40.717352,-73.767169,120005
Q010002,40.717412,-73.767059,120006
Q010002,40.717412,-73.767059,130001
Q010002,40.717632,-73.766659,130002
Q010002,40.718342,-73.765419,130003
Q010002,40.718892,-73.764479,130004
Q010002,40.719223,-73.763749,130005
Q010002,40.719223,-73.763749,140001
Q010002,40.719282,-73.763619,140002
Q010002,40.719642,-73.762789,140003
Q010002,40.719822,-73.762389,140004
Q010002,40.719956,-73.762084,140005
Q010002,40.719956,-73.762084,150001
Q010002,40.720002,-73.761979,150002
Q010002,40.720332,-73.761139,150003
Q010002,40.720642,-73.760289,150004
Q010002,40.720722,-73.760089,150005
Q010002,40.720902,-73.759689,150006
Q010002,40.720966,-73.759580,150007
Q010002,40.720966,-73.759580,160001
Q010002,40.721062,-73.759419,160002
Q010002,40.721572,-73.758669,160003
Q010002,40.721777,-73.758361,160004
Q010002,40.721777,-73.758361,170001
Q010002,40.722012,-73.758009,170002
Q010002,40.722052,-73.757959,170003
Q010002,40.722512,-73.757349,170004
Q010002,40.722572,-73.757269,170005
Q010002,40.723072,-73.756549,170006
Q010002,40.723271,-73.756267,170007
Q010002,40.723271,-73.756267,180001
Q010002,40.723622,-73.755769,180002
Q010002,40.724132,-73.754999,180003
Q010002,40.724182,-73.754909,180004
Q010002,40.724232,-73.754839,180005
Q010002,40.724692,-73.754109,180006
Q010002,40.724902,-73.753756,180007
Q010002,40.724902,-73.753756,190001
Q010002,40.724972,-73.753639,190002
Q010002,40.725142,-73.753359,190003
Q010002,40.725362,-73.752979,190004
Q010002,40.725572,-73.752609,190005
Q010002,40.726002,-73.751749,190006
Q010002,40.726185,-73.751356,190007
Q010002,40.726185,-73.751356,200001
Q010002,40.726422,-73.750849,200002
Q010002,40.726812,-73.750029,200003
Q010002,40.727192,-73.749209,200004
Q010002,40.727294,-73.749000,200005
Q010002,40.727294,-73.749000,210001
Q010002,40.727562,-73.748449,210002
Q010002,40.727622,-73.748329,210003
Q010002,40.727792,-73.748029,210004
Q010002,40.728022,-73.747639,210005
Q010002,40.728352,-73.747089,210006
Q010002,40.728352,-73.747009,210007
Q010002,40.728372,-73.746959,210008
Q010002,40.728381,-73.746943,210009
Q010002,40.728381,-73.746943,220001
Q010002,40.728442,-73.746849,220002
Q010002,40.728642,-73.746479,220003
Q010002,40.728682,-73.746369,220004
Q010002,40.728822,-73.746069,220005
Q010002,40.729062,-73.745669,220006
Q010002,40.729262,-73.745289,220007
Q010002,40.729665,-73.744661,220008
Q010002,40.729665,-73.744661,230001
Q010002,40.729712,-73.744589,230002
Q010002,40.730192,-73.743839,230003
Q010002,40.729951,-73.742693,230004
Q010002,40.729951,-73.742693,240001
Q010002,40.729902,-73.742459,240002
Q010002,40.729882,-73.742359,240003
Q010002,40.729782,-73.741939,240004
Q010002,40.729702,-73.741589,240005
Q010002,40.729502,-73.740739,240006
Q010002,40.729412,-73.740379,240007
Q010002,40.729336,-73.740043,240008
Q010002,40.729336,-73.740043,250001
Q010002,40.729252,-73.739669,250002
Q010002,40.729102,-73.739089,250003
Q010002,40.728962,-73.738419,250004
Q010002,40.728882,-73.738019,250005
Q010002,40.728703,-73.737249,250006
Q010002,40.728703,-73.737249,260001
Q010002,40.728682,-73.737159,260002
Q010002,40.728592,-73.736709,260003
Q010002,40.728512,-73.736349,260004
Q010002,40.728442,-73.736039,260005
Q010002,40.728352,-73.735659,260006
Q010002,40.728336,-73.735581,260007
Q010002,40.728336,-73.735581,270001
Q010002,40.728322,-73.735509,270002
Q010002,40.728302,-73.735439,270003
Q010002,40.728224,-73.735096,270004
Q010002,40.728224,-73.735096,280001
Q010002,40.728122,-73.734649,280002
Q010002,40.728082,-73.734449,280003
Q010002,40.727912,-73.733639,280004
Q010002,40.727892,-73.733549,280005
Q010002,40.727873,-73.733480,280006
Q010002,40.727873,-73.733480,290001
Q010002,40.727852,-73.733399,290002
Q010002,40.727782,-73.733079,290003
Q010002,40.727702,-73.732739,290004
Q010002,40.727482,-73.731899,290005
Q010002,40.727467,-73.731834,290006
Q010002,40.727467,-73.731834,300001
Q010002,40.727452,-73.731769,300002
Q010002,40.727392,-73.731529,300003
Q010002,40.727182,-73.730899,300004
Q010002,40.727102,-73.730669,300005
Q010002,40.727024,-73.730439,300006
Q010002,40.727024,-73.730439,310001
Q010002,40.726942,-73.730199,310002
Q010002,40.726892,-73.730059,310003
Q010002,40.726802,-73.729799,310004
Q010002,40.726712,-73.729499,310005
Q010002,40.726642,-73.729189,310006
Q010002,40.726501,-73.728603,310007
Q010002,40.726501,-73.728603,320001
Q010002,40.726472,-73.728479,320002
Q010002,40.726432,-73.728249,320003
Q010002,40.726332,-73.727489,320004
Q010002,40.726202,-73.726549,320005
Q010002,40.726192,-73.726489,320006
Q010002,40.726172,-73.726409,320007
