route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Q20B,CS_F0-Weekday,CS_F0-Weekday-036000_Q20_19,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-042000_Q20_19,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-054000_Q20_20,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-054000_Q20_19,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-048000_Q20_19,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-048000_Q20_20,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-060000_Q20_21,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-060000_Q20_20,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-078000_Q20_19,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-078000_Q20_22,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-066000_Q20_19,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-066000_Q20_21,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-084000_Q20_22,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-084000_Q20_19,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-072000_Q20_22,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-072000_Q20_19,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-090000_Q20_20,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-090000_Q20_22,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-096000_Q20_21,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-096000_Q20_20,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-102000_Q20_22,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-102000_Q20_21,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-120000_Q20_21,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-120000_Q20_22,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-108000_Q20_21,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-108000_Q20_22,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-114000_Q20_22,FLUSHING  MAIN ST STA,1,Q20B0034
Q20B,CS_F0-Weekday,CS_F0-Weekday-114000_Q20_21,COLLEGE PT via MAIN ST via 14 AV,0,Q20B0035
Q20B,CS_F0-Weekday,CS_F0-Weekday-042000_Q20_20,FLUSHING  MAIN ST STA,1,Q20B0034
Q12,CS_F0-Weekday,CS_F0-Weekday-010400_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q12,CS_F0-Weekday,CS_F0-Weekday-016900_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q12,CS_F0-Weekday,CS_F0-Weekday-023300_Q12_2,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q12,CS_F0-Weekday,CS_F0-Weekday-030000_Q12_2,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q12,CS_F0-Weekday,CS_F0-Weekday-013800_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-019800_Q12_2,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-026700_Q12_2,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-007200_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-150900_Q12_23,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074
Q12,CS_F0-Weekday,CS_F0-Weekday-030700_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-034700_Q12_2,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-036700_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-040700_Q12_4,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-042700_Q12_6,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-044700_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-046500_Q12_7,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-048000_Q12_5,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-131400_Q12_18,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-132600_Q12_21,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-134100_Q12_17,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-137400_Q12_22,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-139400_Q12_23,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
Q12,CS_F0-Weekday,CS_F0-Weekday-147500_Q12_23,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076
