shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
S400094,10001,40.643412,-74.073901
S400094,10002,40.643264,-74.074327
S400094,10003,40.643399,-74.074410
S400094,10004,40.643332,-74.074579
S400094,10005,40.643172,-74.074819
S400094,10006,40.643012,-74.074989
S400094,10007,40.642882,-74.075129
S400094,10008,40.642822,-74.075319
S400094,10009,40.642822,-74.075419
S400094,10010,40.642838,-74.075503
S400094,20001,40.642838,-74.075503
S400094,20002,40.642862,-74.075629
S400094,20003,40.643502,-74.076129
S400094,20004,40.644462,-74.076849
S400094,20005,40.644736,-74.077059
S400094,30001,40.644736,-74.077059
S400094,30002,40.645532,-74.077669
S400094,30003,40.645692,-74.077789
S400094,30004,40.645932,-74.077989
S400094,30005,40.646032,-74.078129
S400094,30006,40.646172,-74.078349
S400094,30007,40.646262,-74.078499
S400094,30008,40.646273,-74.078519
S400094,40001,40.646273,-74.078519
S400094,40002,40.646312,-74.078589
S400094,40003,40.646662,-74.079219
S400094,40004,40.646812,-74.079479
S400094,40005,40.647042,-74.079899
S400094,40006,40.647122,-74.080069
S400094,40007,40.647212,-74.080289
S400094,40008,40.647262,-74.080469
S400094,40009,40.647312,-74.080669
S400094,40010,40.647330,-74.080783
S400094,50001,40.647330,-74.080783
S400094,50002,40.647352,-74.080919
S400094,50003,40.647502,-74.081759
S400094,50004,40.647622,-74.082409
S400094,50005,40.647672,-74.082619
S400094,50006,40.647732,-74.082829
S400094,50007,40.648012,-74.083719
S400094,50008,40.648042,-74.083829
S400094,50009,40.648242,-74.084499
S400094,50010,40.648272,-74.084609
S400094,50011,40.648278,-74.084631
S400094,60001,40.648278,-74.084631
S400094,60002,40.648342,-74.084859
S400094,60003,40.648382,-74.085039
S400094,60004,40.648392,-74.085189
S400094,60005,40.648392,-74.085489
S400094,60006,40.648352,-74.085799
S400094,60007,40.648322,-74.085919
S400094,60008,40.648272,-74.086109
S400094,60009,40.648162,-74.086399
S400094,60010,40.647972,-74.086749
S400094,60011,40.647902,-74.086869
S400094,60012,40.647852,-74.086959
S400094,60013,40.647632,-74.087359
S400094,60014,40.647592,-74.087419
S400094,60015,40.647367,-74.087823
S400094,70001,40.647367,-74.087823
S400094,70002,40.647192,-74.088139
S400094,70003,40.646992,-74.088439
S400094,70004,40.646912,-74.088559
S400094,70005,40.646652,-74.088939
S400094,70006,40.646538,-74.089160
S400094,80001,40.646538,-74.089160
S400094,80002,40.646472,-74.089289
S400094,80003,40.646372,-74.089489
S400094,80004,40.646292,-74.089699
S400094,80005,40.646192,-74.090009
S400094,80006,40.646032,-74.090639
S400094,80007,40.645842,-74.091399
S400094,80008,40.645632,-74.092229
S400094,80009,40.645505,-74.092728
S400094,90001,40.645505,-74.092728
S400094,90002,40.645472,-74.092859
S400094,90003,40.645042,-74.094669
S400094,90004,40.644972,-74.094979
S400094,90005,40.644882,-74.095429
S400094,90006,40.644812,-74.095959
S400094,90007,40.644770,-74.096435
S400094,100001,40.644770,-74.096435
S400094,100002,40.644702,-74.097219
S400094,100003,40.644662,-74.098139
S400094,100004,40.644662,-74.098403
S400094,110001,40.644662,-74.098403
S400094,110002,40.644662,-74.098479
S400094,110003,40.644742,-74.099279
S400094,110004,40.644752,-74.099689
S400094,110005,40.644752,-74.100069
S400094,110006,40.644742,-74.100479
S400094,110007,40.644742,-74.100649
S400094,110008,40.644752,-74.100789
S400094,110009,40.644762,-74.100879
S400094,110010,40.644792,-74.101009
S400094,110011,40.644832,-74.101129
S400094,110012,40.644962,-74.101449
S400094,110013,40.645022,-74.101609
S400094,110014,40.645052,-74.101689
S400094,110015,40.645117,-74.101883
S400094,120001,40.645117,-74.101883
S400094,120002,40.645152,-74.101989
S400094,120003,40.645242,-74.102319
S400094,120004,40.645312,-74.102619
S400094,120005,40.645352,-74.102839
S400094,120006,40.645372,-74.103009
S400094,120007,40.645372,-74.103419
S400094,120008,40.645362,-74.103619
S400094,120009,40.645362,-74.103679
S400094,120010,40.645332,-74.104119
S400094,120011,40.645295,-74.104624
S400094,130001,40.645295,-74.104624
S400094,130002,40.645292,-74.104669
S400094,130003,40.645272,-74.105399
S400094,130004,40.645222,-74.107419
S400094,130005,40.645216,-74.107638
S400094,140001,40.645216,-74.107638
S400094,140002,40.645212,-74.107779
S400094,140003,40.645192,-74.108139
S400094,140004,40.645162,-74.108469
S400094,140005,40.645122,-74.108719
S400094,140006,40.644952,-74.109449
S400094,140007,40.644752,-74.110359
S400094,140008,40.644702,-74.110569
S400094,140009,40.644682,-74.110639
S400094,140010,40.644664,-74.110715
S400094,150001,40.644664,-74.110715
S400094,150002,40.644642,-74.110809
S400094,150003,40.644522,-74.111119
S400094,150004,40.644352,-74.111519
S400094,150005,40.644262,-74.111698
S400094,150006,40.644112,-74.111979
S400094,150007,40.643952,-74.112198
S400094,150008,40.643862,-74.112289
S400094,150009,40.643822,-74.112319
S400094,150010,40.643742,-74.112358
S400094,150011,40.643662,-74.112389
S400094,150012,40.643532,-74.112398
S400094,150013,40.643312,-74.112399
S400094,150014,40.643252,-74.112409
S400094,150015,40.643212,-74.112439
S400094,150016,40.643182,-74.112479
S400094,150017,40.643162,-74.112519
S400094,150018,40.643132,-74.112639
S400094,150019,40.643102,-74.112769
S400094,150020,40.643062,-74.113049
S400094,150021,40.643052,-74.113099
S400094,150022,40.643022,-74.113389
S400094,150023,40.642992,-74.113559
S400094,150024,40.642952,-74.113689
S400094,150025,40.642882,-74.113859
S400094,150026,40.642741,-74.114124
S400094,160001,40.642741,-74.114124
S400094,160002,40.642702,-74.114199
S400094,160003,40.642592,-74.114369
S400094,160004,40.642432,-74.114619
S400094,160005,40.642232,-74.114899
S400094,160006,40.642202,-74.114939
S400094,160007,40.642142,-74.115039
S400094,160008,40.641912,-74.115399
S400094,160009,40.641832,-74.115519
S400094,160010,40.641642,-74.115809
S400094,160011,40.641398,-74.116208
S400094,170001,40.641398,-74.116208
S400094,170002,40.641392,-74.116219
