"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"1","B63A45A3","GO503_19_2","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_3","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_4","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_5","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_6","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_7","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_8","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_9","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_11","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_12","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_13","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_14","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_15","Atlantic Terminal","","1","C85CC273"
"1","B63A45A3","GO503_19_16","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_17","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_18","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_19","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_22","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_24","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_25","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_27","Atlantic Terminal","","1","C85CC273"
"1","B63A45A3","GO503_19_28","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_29","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_31","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_32","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_33","Atlantic Terminal","","1","C85CC273"
"1","B63A45A3","GO503_19_34","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_35","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_36","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_38","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_39","Atlantic Terminal","","1","C85CC273"
"1","55F2EC72","GO503_19_42","Babylon","","0","DF671E6C"
"1","6C02BB86","GO503_19_42_1","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_43","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_44","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_45","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_47","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_48","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_49","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_50","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_51","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_52","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_53","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_55","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_57","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_59","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_61","Penn Station","","1","5E99E8D9"
"1","B63A45A3","GO503_19_63","Penn Station","","1","DF671E6C"
"1","9FB63C2D","GO503_19_65","Penn Station","","1","5E99E8D9"
"1","6C02BB86","GO503_19_65_1","Penn Station","","1","5E99E8D9"
"1","B63A45A3","GO503_19_67","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_69","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_102","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_103","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_104","Babylon","","0","DF671E6C"
"1","6C02BB86","GO503_19_105_1","Penn Station","","1","5E99E8D9"
"1","B63A45A3","GO503_19_107","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_108","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_109","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_110","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_111","Penn Station","","1","DF671E6C"
"1","9FB63C2D","GO503_19_113","Penn Station","","1","5E99E8D9"
"1","84D080FC","GO503_19_113_1","Penn Station","","1","5E99E8D9"
"1","B63A45A3","GO503_19_114","Babylon","","0","DF671E6C"
"1","6C02BB86","GO503_19_115_1","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_117","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_119","Penn Station","","1","DF671E6C"
"1","6C02BB86","GO503_19_120_1","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_123","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_125","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_126","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_127","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_129","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_131","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_132","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_133","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_134","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_135","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_137","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_138","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_139","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_140","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_142","Babylon","","0","C85CC273"
"1","B63A45A3","GO503_19_143","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_144","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_145","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_146","Babylon","","0","C85CC273"
"1","B63A45A3","GO503_19_147","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_148","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_149","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_150","Babylon","","0","C85CC273"
"1","B63A45A3","GO503_19_151","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_152","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_153","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_154","Babylon","","0","C85CC273"
"1","EFF63171","GO503_19_155","Penn Station","","1","DF671E6C"
"1","B4788A96","GO503_19_155_1","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_156","Babylon","","0","DF671E6C"
"1","EFF63171","GO503_19_157","Penn Station","","1","A8F61878"
"1","B4788A96","GO503_19_157_1","Penn Station","","1","A8F61878"
"1","B63A45A3","GO503_19_158","Babylon","","0","C85CC273"
"1","B63A45A3","GO503_19_159","Penn Station","","1","5E99E8D9"
"1","B63A45A3","GO503_19_160","Babylon","","0","DF671E6C"
"1","EFF63171","GO503_19_161","Penn Station","","1","DF671E6C"
"1","B4788A96","GO503_19_161_1","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_162","Babylon","","0","C85CC273"
"1","B63A45A3","GO503_19_163","Penn Station","","1","DF671E6C"
"1","B63A45A3","GO503_19_164","Babylon","","0","5E99E8D9"
"1","B63A45A3","GO503_19_166","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_168","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_170","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_172","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_174","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_176","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_180","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_182","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_184","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_186","Babylon","","0","A8F61878"
"1","B63A45A3","GO503_19_188","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_190","Babylon","","0","DF671E6C"
"1","B63A45A3","GO503_19_192","Babylon","","0","DF671E6C"
"1","EFF63171","GO503_19_194","Babylon","","0","A8F61878"
"1","B4788A96","GO503_19_194_1","Babylon","","0","A8F61878"
"1","EFF63171","GO503_19_196","Babylon","","0","DF671E6C"
"1","B4788A96","GO503_19_196_1","Babylon","","0","DF671E6C"
"1","EFF63171","GO503_19_198","Babylon","","0","DF671E6C"
"1","B4788A96","GO503_19_198_1","Babylon","","0","DF671E6C"
"4","B63A45A3","GO503_19_201","Ronkonkoma","","1","54C9D02A"
"4","B63A45A3","GO503_19_202","Greenport","","0","54C9D02A"
"4","B63A45A3","GO503_19_203","Ronkonkoma","","1","54C9D02A"
"4","B63A45A3","GO503_19_250","Greenport","","0","54C9D02A"
"4","B63A45A3","GO503_19_251","Ronkonkoma","","1","54C9D02A"
"4","5D8173E7","GO503_19_252","Yaphank","","0","BF914065"
"4","5D8173E7","GO503_19_253","Ronkonkoma","","1","BF914065"
"4","3E992965","GO503_19_254","Greenport","","0","54C9D02A"
"4","3E992965","GO503_19_255","Jamaica","","1","3E60E111"
"4","B63A45A3","GO503_19_256","Greenport","","0","54C9D02A"
"4","B63A45A3","GO503_19_257","Ronkonkoma","","1","54C9D02A"
"9","B63A45A3","GO503_19_300","Great Neck","","0","09646F9B"
"9","B63A45A3","GO503_19_301","Penn Station","","1","09646F9B"
"9","B63A45A3","GO503_19_303","Penn Station","","1","BF4A44C1"
"9","B63A45A3","GO503_19_305","Penn Station","","1","BF4A44C1"
"9","B63A45A3","GO503_19_307","Penn Station","","1","09646F9B"
"9","B63A45A3","GO503_19_309","Penn Station","","1","09646F9B"
"9","B63A45A3","GO503_19_311","Penn Station","","1","09646F9B"
"9","B63A45A3","GO503_19_313","Penn Station","","1","09646F9B"
"9","B63A45A3","GO503_19_315","Penn Station","","1","09646F9B"
