service_id,date,exception_type
EN_D9-Sunday,20190902,1
EN_D9-Sunday,20191128,1
EN_D9-Sunday,20191225,1
EN_D9-Sunday,20200101,1
EN_D9-Weekday,20190904,2
EN_D9-Weekday,20190905,2
EN_D9-Weekday,20190906,2
EN_D9-Weekday,20190909,2
EN_D9-Weekday,20190910,2
EN_D9-Weekday,20190911,2
EN_D9-Weekday,20190912,2
EN_D9-Weekday,20190913,2
EN_D9-Weekday,20190916,2
EN_D9-Weekday,20190917,2
EN_D9-Weekday,20190918,2
EN_D9-Weekday,20190919,2
EN_D9-Weekday,20190920,2
EN_D9-Weekday,20190923,2
EN_D9-Weekday,20190924,2
EN_D9-Weekday,20190925,2
EN_D9-Weekday,20190926,2
EN_D9-Weekday,20190927,2
EN_D9-Weekday,20191002,2
EN_D9-Weekday,20191003,2
EN_D9-Weekday,20191004,2
EN_D9-Weekday,20191007,2
EN_D9-Weekday,20191008,2
EN_D9-Weekday,20191010,2
EN_D9-Weekday,20191011,2
EN_D9-Weekday,20191014,2
EN_D9-Weekday,20191015,2
EN_D9-Weekday,20191016,2
EN_D9-Weekday,20191017,2
EN_D9-Weekday,20191018,2
EN_D9-Weekday,20191021,2
EN_D9-Weekday,20191022,2
EN_D9-Weekday,20191023,2
EN_D9-Weekday,20191024,2
EN_D9-Weekday,20191025,2
EN_D9-Weekday,20191028,2
EN_D9-Weekday,20191029,2
EN_D9-Weekday,20191030,2
EN_D9-Weekday,20191031,2
EN_D9-Weekday,20191101,2
EN_D9-Weekday,20191104,2
EN_D9-Weekday,20191106,2
EN_D9-Weekday,20191107,2
EN_D9-Weekday,20191108,2
EN_D9-Weekday-SDon,20190930,2
EN_D9-Weekday-SDon,20191001,2
EN_D9-Weekday-SDon,20191009,2
EN_D9-Weekday-SDon,20191014,2
EN_D9-Weekday-SDon,20191105,2
EN_D9-Weekday-SDon,20191111,2
EN_D9-Weekday-SDon,20191128,2
EN_D9-Weekday-SDon,20191129,2
EN_D9-Weekday-SDon,20191224,2
EN_D9-Weekday-SDon,20191225,2
EN_D9-Weekday-SDon,20191226,2
EN_D9-Weekday-SDon,20191227,2
EN_D9-Weekday-SDon,20191230,2
EN_D9-Weekday-SDon,20191231,2
EN_D9-Weekday-SDon,20200101,2
EN_O9-Weekday,20191015,2
EN_O9-Weekday,20191016,2
EN_O9-Weekday,20191017,2
EN_O9-Weekday,20191018,2
EN_O9-Weekday,20191021,2
EN_O9-Weekday,20191022,2
EN_O9-Weekday,20191023,2
EN_O9-Weekday,20191024,2
EN_O9-Weekday,20191025,2
EN_O9-Weekday,20191028,2
EN_O9-Weekday,20191029,2
EN_O9-Weekday,20191030,2
EN_O9-Weekday,20191031,2
EN_O9-Weekday,20191101,2
EN_O9-Weekday,20191104,2
EN_O9-Weekday,20191105,2
EN_O9-Weekday,20191106,2
EN_O9-Weekday,20191107,2
EN_O9-Weekday,20191108,2
EN_O9-Weekday,20191111,2
EN_O9-Weekday,20191112,2
EN_O9-Weekday,20191113,2
EN_O9-Weekday,20191114,2
EN_O9-Weekday,20191115,2
EN_O9-Weekday,20191118,2
EN_O9-Weekday,20191119,2
EN_O9-Weekday,20191120,2
EN_O9-Weekday,20191121,2
EN_O9-Weekday,20191122,2
EN_O9-Weekday,20191125,2
EN_O9-Weekday,20191126,2
EN_O9-Weekday,20191127,2
EN_O9-Weekday,20191128,2
EN_O9-Weekday,20191202,2
EN_O9-Weekday,20191203,2
EN_O9-Weekday,20191204,2
EN_O9-Weekday,20191205,2
EN_O9-Weekday,20191206,2
EN_O9-Weekday,20191209,2
EN_O9-Weekday,20191210,2
EN_O9-Weekday,20191211,2
EN_O9-Weekday,20191212,2
EN_O9-Weekday,20191213,2
EN_O9-Weekday,20191216,2
EN_O9-Weekday,20191217,2
EN_O9-Weekday,20191218,2
EN_O9-Weekday,20191219,2
EN_O9-Weekday,20191220,2
EN_O9-Weekday,20191223,2
EN_O9-Weekday,20191225,2
FB_D9-Sunday,20190902,1
FB_D9-Sunday,20191128,1
FB_D9-Sunday,20191225,1
FB_D9-Sunday,20200101,1
FB_D9-Weekday,20190904,2
FB_D9-Weekday,20190905,2
FB_D9-Weekday,20190906,2
FB_D9-Weekday,20190909,2
FB_D9-Weekday,20190910,2
FB_D9-Weekday,20190911,2
FB_D9-Weekday,20190912,2
FB_D9-Weekday,20190913,2
FB_D9-Weekday,20190916,2
FB_D9-Weekday,20190917,2
FB_D9-Weekday,20190918,2
FB_D9-Weekday,20190919,2
FB_D9-Weekday,20190920,2
FB_D9-Weekday,20190923,2
FB_D9-Weekday,20190924,2
FB_D9-Weekday,20190925,2
FB_D9-Weekday,20190926,2
FB_D9-Weekday,20190927,2
FB_D9-Weekday,20191002,2
FB_D9-Weekday,20191003,2
FB_D9-Weekday,20191004,2
FB_D9-Weekday,20191007,2
FB_D9-Weekday,20191008,2
FB_D9-Weekday,20191010,2
FB_D9-Weekday,20191011,2
FB_D9-Weekday,20191014,2
FB_D9-Weekday,20191015,2
FB_D9-Weekday,20191016,2
FB_D9-Weekday,20191017,2
FB_D9-Weekday,20191018,2
FB_D9-Weekday,20191021,2
FB_D9-Weekday,20191022,2
FB_D9-Weekday,20191023,2
FB_D9-Weekday,20191024,2
FB_D9-Weekday,20191025,2
FB_D9-Weekday,20191028,2
FB_D9-Weekday,20191029,2
FB_D9-Weekday,20191030,2
FB_D9-Weekday,20191031,2
FB_D9-Weekday,20191101,2
FB_D9-Weekday,20191104,2
FB_D9-Weekday,20191106,2
FB_D9-Weekday,20191107,2
FB_D9-Weekday,20191108,2
FB_D9-Weekday-SDon,20190930,2
FB_D9-Weekday-SDon,20191001,2
FB_D9-Weekday-SDon,20191009,2
FB_D9-Weekday-SDon,20191014,2
FB_D9-Weekday-SDon,20191105,2
FB_D9-Weekday-SDon,20191111,2
FB_D9-Weekday-SDon,20191128,2
FB_D9-Weekday-SDon,20191129,2
FB_D9-Weekday-SDon,20191224,2
FB_D9-Weekday-SDon,20191225,2
FB_D9-Weekday-SDon,20191226,2
FB_D9-Weekday-SDon,20191227,2
FB_D9-Weekday-SDon,20191230,2
FB_D9-Weekday-SDon,20191231,2
FB_D9-Weekday-SDon,20200101,2
FB_O9-Weekday,20191015,2
FB_O9-Weekday,20191016,2
FB_O9-Weekday,20191017,2
FB_O9-Weekday,20191018,2
FB_O9-Weekday,20191021,2
FB_O9-Weekday,20191022,2
FB_O9-Weekday,20191023,2
FB_O9-Weekday,20191024,2
FB_O9-Weekday,20191025,2
FB_O9-Weekday,20191028,2
FB_O9-Weekday,20191029,2
FB_O9-Weekday,20191030,2
FB_O9-Weekday,20191031,2
FB_O9-Weekday,20191101,2
FB_O9-Weekday,20191104,2
FB_O9-Weekday,20191105,2
FB_O9-Weekday,20191106,2
FB_O9-Weekday,20191107,2
FB_O9-Weekday,20191108,2
FB_O9-Weekday,20191111,2
FB_O9-Weekday,20191112,2
FB_O9-Weekday,20191113,2
FB_O9-Weekday,20191114,2
FB_O9-Weekday,20191115,2
FB_O9-Weekday,20191118,2
FB_O9-Weekday,20191119,2
FB_O9-Weekday,20191120,2
FB_O9-Weekday,20191121,2
FB_O9-Weekday,20191122,2
FB_O9-Weekday,20191125,2
FB_O9-Weekday,20191126,2
FB_O9-Weekday,20191127,2
FB_O9-Weekday,20191128,2
FB_O9-Weekday,20191202,2
FB_O9-Weekday,20191203,2
FB_O9-Weekday,20191204,2
FB_O9-Weekday,20191205,2
FB_O9-Weekday,20191206,2
FB_O9-Weekday,20191209,2
FB_O9-Weekday,20191210,2
FB_O9-Weekday,20191211,2
FB_O9-Weekday,20191212,2
FB_O9-Weekday,20191213,2
FB_O9-Weekday,20191216,2
FB_O9-Weekday,20191217,2
FB_O9-Weekday,20191218,2
FB_O9-Weekday,20191219,2
FB_O9-Weekday,20191220,2
FB_O9-Weekday,20191223,2
FB_O9-Weekday,20191225,2
FP_D9-Sunday,20190902,1
FP_D9-Sunday,20191128,1
FP_D9-Sunday,20191225,1
FP_D9-Sunday,20200101,1
FP_D9-Weekday,20190904,2
FP_D9-Weekday,20190905,2
FP_D9-Weekday,20190906,2
FP_D9-Weekday,20190909,2
FP_D9-Weekday,20190910,2
FP_D9-Weekday,20190911,2
FP_D9-Weekday,20190912,2
FP_D9-Weekday,20190913,2
FP_D9-Weekday,20190916,2
FP_D9-Weekday,20190917,2
FP_D9-Weekday,20190918,2
FP_D9-Weekday,20190919,2
FP_D9-Weekday,20190920,2
FP_D9-Weekday,20190923,2
FP_D9-Weekday,20190924,2
FP_D9-Weekday,20190925,2
FP_D9-Weekday,20190926,2
FP_D9-Weekday,20190927,2
FP_D9-Weekday,20191002,2
FP_D9-Weekday,20191003,2
FP_D9-Weekday,20191004,2
FP_D9-Weekday,20191007,2
FP_D9-Weekday,20191008,2
FP_D9-Weekday,20191010,2
FP_D9-Weekday,20191011,2
FP_D9-Weekday,20191014,2
FP_D9-Weekday,20191015,2
FP_D9-Weekday,20191016,2
FP_D9-Weekday,20191017,2
FP_D9-Weekday,20191018,2
FP_D9-Weekday,20191021,2
FP_D9-Weekday,20191022,2
FP_D9-Weekday,20191023,2
FP_D9-Weekday,20191024,2
FP_D9-Weekday,20191025,2
FP_D9-Weekday,20191028,2
FP_D9-Weekday,20191029,2
FP_D9-Weekday,20191030,2
FP_D9-Weekday,20191031,2
FP_D9-Weekday,20191101,2
FP_D9-Weekday,20191104,2
FP_D9-Weekday,20191106,2
FP_D9-Weekday,20191107,2
FP_D9-Weekday,20191108,2
FP_D9-Weekday-SDon,20190930,2
FP_D9-Weekday-SDon,20191001,2
FP_D9-Weekday-SDon,20191009,2
FP_D9-Weekday-SDon,20191014,2
FP_D9-Weekday-SDon,20191105,2
FP_D9-Weekday-SDon,20191111,2
FP_D9-Weekday-SDon,20191128,2
FP_D9-Weekday-SDon,20191129,2
FP_D9-Weekday-SDon,20191224,2
FP_D9-Weekday-SDon,20191225,2
FP_D9-Weekday-SDon,20191226,2
FP_D9-Weekday-SDon,20191227,2
FP_D9-Weekday-SDon,20191230,2
FP_D9-Weekday-SDon,20191231,2
FP_D9-Weekday-SDon,20200101,2
FP_O9-Weekday,20191015,2
FP_O9-Weekday,20191016,2
FP_O9-Weekday,20191017,2
FP_O9-Weekday,20191018,2
FP_O9-Weekday,20191021,2
FP_O9-Weekday,20191022,2
