route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
Q06,MTABC,Q6,"Sutphin Boulevard","Via Sutphin Blvd / Rockaway Blvd",3,http://web.mta.info/busco/schedules/q006cur.pdf,B933AD,FFFFFF
Q07,MTABC,Q7,"Rockaway Boulevard","Via Rockaway Blvd",3,http://web.mta.info/busco/schedules/q007cur.pdf,6CBE45,FFFFFF
Q08,MTABC,Q8,"101St Avenue","Via 101St Av",3,http://web.mta.info/busco/schedules/q008cur.pdf,B933AD,FFFFFF
Q09,MTABC,Q9,"Lincoln Street","Via Van Wyck Expwy / 135Th St / Lincoln St",3,http://web.mta.info/busco/schedules/q009cur.pdf,B933AD,FFFFFF
Q10,MTABC,Q10,"Kew Gardens - Jfk Airport","Via Lefferts Blvd",3,http://web.mta.info/busco/schedules/q010cur.pdf,FAA61A,FFFFFF
Q11,MTABC,Q11,"Woodhaven Blvd","Via Woodhaven Blvd",3,http://web.mta.info/busco/schedules/q011cur.pdf,6CBE45,FFFFFF
Q18,MTABC,Q18,"30 Ave - 58 St - 65 Pl","Via 65Th Pl / 58Th St / 30Th Av",3,http://web.mta.info/busco/schedules/q018cur.pdf,00AEEF,FFFFFF
Q19,MTABC,Q19,"Astoria Blvd","",3,http://web.mta.info/busco/schedules/q019cur.pdf,00AEEF,FFFFFF
Q21,MTABC,Q21,"Cross Bay - Woodhaven Blvds","Via Woodhaven Blvd / Cross Bay Blvd",3,http://web.mta.info/busco/schedules/q011cur.pdf,006CB7,FFFFFF
Q22,MTABC,Q22,"Rockaway Beach Blvd - Beach Channel Dr","Via Rockaway Beach Blvd / Beach Channel Dr",3,http://web.mta.info/busco/schedules/q022cur.pdf,EE352E,FFFFFF
Q23,MTABC,Q23,"108 Street","",3,http://web.mta.info/busco/schedules/q023cur.pdf,FAA61A,FFFFFF
Q25,MTABC,Q25,"127 Street - Kissena Bl - Parsons Bl","Via Parsons Blvd/Kissena Blvd/127Th St",3,http://web.mta.info/busco/schedules/q025cur.pdf,00AEEF,FFFFFF
Q29,MTABC,Q29,"Dry Harbor Road - 80 Street","Via Dry Harbor Rd / 80Th St",3,http://web.mta.info/busco/schedules/q029cur.pdf,00AEEF,FFFFFF
Q33,MTABC,Q33,"82 St/83 St - 95 St & Ditmars Blvd","Via Roosevelt Av / 82Nd & 83Rd St",3,http://web.mta.info/busco/schedules/q033cur.pdf,EE352E,FFFFFF
Q34,MTABC,Q34,"Willets Pt Bl - Kissena Bl - Parsons Bl","Via Parsons / Kissena / Willets Pt Blvd",3,http://web.mta.info/busco/schedules/q025cur.pdf,FAA61A,FFFFFF
Q35,MTABC,Q35,"Rockaway Park - Brooklyn College","",3,http://web.mta.info/busco/schedules/q035cur.pdf,006CB7,FFFFFF
Q37,MTABC,Q37,"111Th Street","Via 135Th Av / 111St St / Park Ln South",3,http://web.mta.info/busco/schedules/q037cur.pdf,00AEEF,FFFFFF
Q38,MTABC,Q38,"Eliot Ave - Penelope Ave","Via Penelope Av/Metropolitan Av/Eliot Av",3,http://web.mta.info/busco/schedules/q038cur.pdf,EE352E,FFFFFF
Q39,MTABC,Q39,"48 Ave - 58 St - Forest Ave","Via Forest Av / 58Th St / 48Th Av",3,http://web.mta.info/busco/schedules/q039cur.pdf,B933AD,FFFFFF
Q40,MTABC,Q40,"142Nd Street","Via 142Nd St / Lakewood Av / Sutphin Blvd",3,http://web.mta.info/busco/schedules/q040cur.pdf,6CBE45,FFFFFF
Q41,MTABC,Q41,"127Th Street - 109Th Avenue","",3,http://web.mta.info/busco/schedules/q041cur.pdf,B933AD,FFFFFF
Q47,MTABC,Q47,"Atlas Mall - Laguardia Main Term","Via Atlas Mall / 80Th St / 74Th St Bus Terminal",3,http://web.mta.info/busco/schedules/q047cur.pdf,6CBE45,FFFFFF
Q49,MTABC,Q49,"35 Ave","Via 35Th Av / 89Th & 92Nd St / Astoria Blvd",3,http://web.mta.info/busco/schedules/q049cur.pdf,006CB7,FFFFFF
Q50,MTABC,Q50,"Co-Op City/Pelham Bay - Flushing","",3,http://web.mta.info/busco/schedules/q050cur.pdf,FAA61A,FFFFFF
Q60,MTABC,Q60,"Queens Boulevard","Via Sutphin Blvd / Queens Blvd",3,http://web.mta.info/busco/schedules/q060cur.pdf,EE352E,FFFFFF
Q64,MTABC,Q64,"Jewel Ave","",3,http://web.mta.info/busco/schedules/q064cur.pdf,EE352E,FFFFFF
Q65,MTABC,Q65,"College Point Bl - 164 St","",3,http://web.mta.info/busco/schedules/q065cur.pdf,00AEEF,FFFFFF
Q66,MTABC,Q66,"Northern Blvd/Queens Plaza S","Via Northern Blvd / 21St St / Queens Plz",3,http://web.mta.info/busco/schedules/q066cur.pdf,EE352E,FFFFFF
Q67,MTABC,Q67,"Borden Ave - 69 Street","Via 69Th St / Borden Av",3,http://web.mta.info/busco/schedules/q067cur.pdf,FAA61A,FFFFFF
Q69,MTABC,Q69,"21 St - Ditmars Blvd","Via 21St St / Ditmars Blvd",3,http://web.mta.info/busco/schedules/q069cur.pdf,00AEEF,FFFFFF
Q72,MTABC,Q72,"Junction Blvd - Laguardia Main Term","Via Junction Blvd / 94Th St",3,http://web.mta.info/busco/schedules/q072cur.pdf,B933AD,FFFFFF
B100,MTABC,B100,"Mill Basin - Midwood","",3,http://web.mta.info/busco/schedules/b100cur.pdf,B933AD,FFFFFF
B103,MTABC,B103,"Canarsie - Downtown Brooklyn Ltd","",3,http://web.mta.info/busco/schedules/b103cur.pdf,FAA61A,FFFFFF
BM1,MTABC,BM1,"Mill Basin - Downtown/Midtown","Via Cortelyou Rd / Ave K / E 66Th St",3,http://web.mta.info/busco/schedules/bm001cur.pdf,00933C,FFFFFF
BM2,MTABC,BM2,"Canarsie/Spring Creek - Downtown/Midtown","",3,http://web.mta.info/busco/schedules/bm002cur.pdf,00933C,FFFFFF
BM3,MTABC,BM3,"Sheepshead Bay - Downtown/Midtown","",3,http://web.mta.info/busco/schedules/bm003cur.pdf,00933C,FFFFFF
BM4,MTABC,BM4,"Gerritsen Beach - Downtown/Midtown","Via Gerritsen Av / Nostrand Av / Ocean Av",3,http://web.mta.info/busco/schedules/bm004cur.pdf,00933C,FFFFFF
BM5,MTABC,BM5,"Spring Creek - Midtown","Via Pennsylvania Av / Woodhaven Blvd",3,http://web.mta.info/busco/schedules/bm005cur.pdf,00933C,FFFFFF
BX23,MTABC,Bx23,"Pelham Bay - Co-Op City","",3,http://web.mta.info/busco/schedules/bx023cur.pdf,B933AD,FFFFFF
BXM1,MTABC,BxM1,"Riverdale - Midtown Via 3 Ave","Via Riverdale / H. Hudson / Lex & 3 Av",3,http://web.mta.info/busco/schedules/bxm1cur.pdf,00933C,FFFFFF
BXM10,MTABC,BxM10,"Williamsbridge/Morris Park - Midtown","Via Eastchester / Morris Pk",3,http://web.mta.info/busco/schedules/bxm10cur.pdf,00933C,FFFFFF
BXM11,MTABC,BxM11,"Wakefield - Midtown","Via White Plains Rd / 5Th & Madison Av",3,http://web.mta.info/busco/schedules/bxm11cur.pdf,00933C,FFFFFF
BXM18,MTABC,BxM18,"Riverdale - Downtown","Via Riverdale / H. Hudsn / Bway & Trnty",3,http://web.mta.info/busco/schedules/bxm18cur.pdf,00933C,FFFFFF
BXM2,MTABC,BxM2,"Riverdale - Midtown Via 7 Ave","Via Riverdale / H. Hudson / 6Th & 7Th Av",3,http://web.mta.info/busco/schedules/bxm2cur.pdf,00933C,FFFFFF
BXM3,MTABC,BxM3,"Yonkers - Midtown","Via Bway / Sedgwick Av / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm3cur.pdf,00933C,FFFFFF
BXM4,MTABC,BxM4,"Woodlawn - Midtown","",3,http://web.mta.info/busco/schedules/bxm4cur.pdf,00933C,FFFFFF
BXM6,MTABC,BxM6,"Parkchester - Midtown","Via Metropolitan Oval / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm6cur.pdf,00933C,FFFFFF
BXM7,MTABC,BxM7,"Co-Op City - Midtown","Via Co-Op City Bl / Bartow / 5Th & Mad",3,http://web.mta.info/busco/schedules/bxm7cur.pdf,00933C,FFFFFF
BXM8,MTABC,BxM8,"Pelham Bay/City Island - Midtown","Via Bruckner Blvd / 5Th & Madison",3,http://web.mta.info/busco/schedules/bxm8cur.pdf,00933C,FFFFFF
BXM9,MTABC,BxM9,"Throgs Neck - Midtown","",3,http://web.mta.info/busco/schedules/bxm9cur.pdf,00933C,FFFFFF
Q100,MTABC,Q100,"Rikers Island - Long Island City","Via 20Th Av / 21St St",3,http://web.mta.info/busco/schedules/q100cur.pdf,FAA61A,FFFFFF
Q101,MTABC,Q101,"Steinway Street","",3,http://web.mta.info/busco/schedules/q101cur.pdf,6CBE45,FFFFFF
Q102,MTABC,Q102,"31 St - Roosevelt Island","",3,http://web.mta.info/busco/schedules/q102cur.pdf,006CB7,FFFFFF
Q103,MTABC,Q103,"27 Ave - Borden Ave","Via Vernon Blvd",3,http://web.mta.info/busco/schedules/q103cur.pdf,EE352E,FFFFFF
Q104,MTABC,Q104,"Broadway - 48 Street","Via 48Th St / Broadway",3,http://web.mta.info/busco/schedules/q104cur.pdf,B933AD,FFFFFF
Q110,MTABC,Q110,"Jamaica Ave - Hempstead Ave","",3,http://web.mta.info/busco/schedules/q110cur.pdf,006CB7,FFFFFF
Q111,MTABC,Q111,"Guy Brewer Blvd - 147Th Ave","",3,http://web.mta.info/busco/schedules/q111cur.pdf,EE352E,FFFFFF
Q112,MTABC,Q112,"Liberty Ave","",3,http://web.mta.info/busco/schedules/q112cur.pdf,EE352E,FFFFFF
Q113,MTABC,Q113,"Guy Brewer Blvd - Nassau Expwy Ltd","",3,http://web.mta.info/busco/schedules/q113cur.pdf,EE352E,FFFFFF
Q114,MTABC,Q114,"Guy Brewer Blvd Ltd - Rockaway Tpk","",3,http://web.mta.info/busco/schedules/q113cur.pdf,FAA61A,FFFFFF
QM1,MTABC,QM1,"Fresh Meadows - Midtown Via 6 Av","Via 188Th St / Union Turnpike",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM10,MTABC,QM10,"Lefrak City - Midtown Via 6 Av","Via 63Rd Rd / 57Th Av",3,http://web.mta.info/busco/schedules/qm010cur.pdf,00933C,FFFFFF
QM11,MTABC,QM11,"Forest Hills - Downtown","Via Queens Blvd / 63Rd Rd / 57Th Av",3,http://web.mta.info/busco/schedules/qm010cur.pdf,00933C,FFFFFF
QM12,MTABC,QM12,"Forest Hills - Midtown Via 6 Av","",3,http://web.mta.info/busco/schedules/qm012cur.pdf,00933C,FFFFFF
QM15,MTABC,QM15,"Lindenwood - Midtown Express","Via 157Th Av / Woodhaven Blvd",3,http://web.mta.info/busco/schedules/qm015cur.pdf,00933C,FFFFFF
QM16,MTABC,QM16,"Neponsit - Midtown Express","Via Rockaway Beach Blvd / Cross Bay Blvd",3,http://web.mta.info/busco/schedules/qm16cur.pdf,00933C,FFFFFF
QM17,MTABC,QM17,"Far Rockaway - Midtown Express","Via Beach Channel Dr / Rockaway Beach Blvd / Cross Bay Blvd",3,http://web.mta.info/busco/schedules/qm16cur.pdf,00933C,FFFFFF
QM18,MTABC,QM18,"South Ozone Park - Midtown Express","Via Lefferts Blvd / Queens Blvd",3,http://web.mta.info/busco/schedules/qm18cur.pdf,00933C,FFFFFF
QM2,MTABC,QM2,"Bay Terrace - Midtown Via 6 Av","Via Cross Island Pkwy / Whitestone Expwy",3,http://web.mta.info/busco/schedules/qm002cur.pdf,00933C,FFFFFF
QM20,MTABC,QM20,"Bay Terrace - Midtown","Via 26 Ave / Utopia Pkwy / Willets Pt Bl",3,http://web.mta.info/busco/schedules/qm020cur.pdf,00933C,FFFFFF
QM21,MTABC,QM21,"Rochdale Village - Midtown","",3,http://web.mta.info/busco/schedules/qm21cur.pdf,00933C,FFFFFF
QM24,MTABC,QM24,"Glendale - Midtown Via 6 Av","Via Myrtle Av / Fresh Pond Rd / Eliot Av",3,http://web.mta.info/busco/schedules/qm024cur.pdf,00933C,FFFFFF
QM25,MTABC,QM25,"Glendale - Downtown","",3,http://web.mta.info/busco/schedules/qm025cur.pdf,00933C,FFFFFF
QM3,MTABC,QM3,"Little Neck - Midtown","Via Northern Blvd",3,http://web.mta.info/busco/schedules/qm003cur.pdf,00933C,FFFFFF
QM31,MTABC,QM31,"Fresh Meadows - Midtown Via 3 Av","Via 188Th St / Union Turnpike",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM32,MTABC,QM32,"Bay Terrace - Midtown Via 3 Av","Via Cross Island Pkwy / Whitestone Expwy",3,http://web.mta.info/busco/schedules/qm002cur.pdf,00933C,FFFFFF
QM34,MTABC,QM34,"Glendale - Midtown Via 3 Av","",3,http://web.mta.info/busco/schedules/qm024cur.pdf,00933C,FFFFFF
QM35,MTABC,QM35,"Glen Oaks - Midtown Via 3 Av","Via Horace Harding Exp/73 Ave/Union Tpk",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM36,MTABC,QM36,"Lake Success - Midtown Via 3 Av","Via North Shore Towers / Union Turnpike",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM4,MTABC,QM4,"Electchester - Midtown Via 6Th Ave","",3,http://web.mta.info/busco/schedules/qm004cur.pdf,00933C,FFFFFF
QM40,MTABC,QM40,"Lefrak City - Midtown Via 3 Av","Via 63Rd Rd / 57Th Av",3,http://web.mta.info/busco/schedules/qm010cur.pdf,00933C,FFFFFF
QM42,MTABC,QM42,"Forest Hills - Midtown Via 3 Av","",3,http://web.mta.info/busco/schedules/qm012cur.pdf,00933C,FFFFFF
QM44,MTABC,QM44,"Electchester - Midtown Via 3Rd Ave","",3,http://web.mta.info/busco/schedules/qm004cur.pdf,00933C,FFFFFF
QM5,MTABC,QM5,"Glen Oaks - Midtown Via 6 Av","Via Horace Harding Exp/73 Ave/Union Tpk",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM6,MTABC,QM6,"Lake Success - Midtown Via 6 Av","Via North Shore Towers / Union Turnpike",3,http://web.mta.info/busco/schedules/qm001cur.pdf,00933C,FFFFFF
QM7,MTABC,QM7,"Fresh Meadows - Downtown","Via 188Th St / Union Turnpike",3,http://web.mta.info/busco/schedules/qm007cur.pdf,00933C,FFFFFF
QM8,MTABC,QM8,"Glen Oaks - Downtown","Via Little Neck Pkwy / H H Expwy / 73 Av",3,http://web.mta.info/busco/schedules/qm007cur.pdf,00933C,FFFFFF
Q52+,MTABC,Q52-SBS,"Elmhurst - Arverne","Via Woodhaven Blvd / Cross Bay Blvd",3,http://web.mta.info/busco/schedules/q052scur.pdf,FAA61A,FFFFFF
Q53+,MTABC,Q53-SBS,"Woodside - Rockaway Park","Via Broadway /Queens Blvd / Woodhaven Blvd / Cross Bay Blvd",3,http://web.mta.info/busco/schedules/q052scur.pdf,FAA61A,FFFFFF
Q70+,MTABC,Q70-SBS,"LaGuardia Link","Woodside LIRR, Jackson Heights E F M R 7 Subway, LaGuardia Airport",3,http://web.mta.info/busco/schedules/q070scur.pdf,EE352E,FFFFFF
